"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Я во многом не согласна с Пьерпонтом, но он весьма прозорливо решил, что злить Безликого опасно. Класзуремское соглашение меня совсем не радует, ведь хрономантия — вещь хорошая. Но знаете, что ещё хорошо? Когда время в твоём мире никто не уничтожил."
"DCG_VO_viper_permanent_attack_04"	"Целые армии сгинули в моей пасти."
"DCG_VO_viper_permanent_attack_05"	"Тот, кто не сдастся, сгинет в моей кислоте..."
"DCG_VO_viper_permanent_health_01"	"Мой яд заживляет любые раны."
"DCG_VO_viper_permanent_health_02"	"Я силён как никогда..."
"DCG_VO_viper_permanent_health_03"	"Я выдержу их натиск."
"DCG_VO_viper_permanent_health_04"	"Я жажду выжить..."
"DCG_VO_viper_permanent_health_05"	"Я встречу их лицом к лицу."
"DCG_VO_viper_cast_spell_01"	"Тёмные сны из Пределов бездны."
"DCG_VO_viper_cast_spell_02"	"Как легко рушится внешний мир..."
"DCG_VO_viper_cast_spell_03"	"Колдовство, украденное у безумного мага."
"DCG_VO_viper_cast_spell_04"	"Меня смешит жалкая магия этих мест."
"DCG_VO_viper_cast_spell_05"	"Я многому научился у магов..."
"DCG_VO_viper_cast_spell_06"	"Узрите мощь низшего дракона..."
"DCG_VO_viper_cast_spell_07"	"Склонись, и останешься в живых..."
"DCG_VO_viper_cast_spell_08"	"Никто не выстоит против меня..."
"DCG_VO_viper_cast_spell_09"	"Здесь я хозяин..."
"DCG_VO_viper_cast_spell_10"	"Бегите, несчастные!"
"DCG_VO_viper_buff_ally_01"	"Ты в тени низшего дракона. Не бойся."
"DCG_VO_viper_buff_ally_02"	"Я забочусь о верных слугах."
"DCG_VO_viper_buff_ally_03"	"Враги страшатся моей тени. Встань и сражайся."
"DCG_VO_viper_buff_ally_04"	"Подарок другу..."
"DCG_VO_viper_buff_ally_05"	"Я забочусь о друзьях..."
"DCG_VO_viper_buff_ally_06"	"Держись подле меня."
"DCG_VO_viper_buff_ally_07"	"Ты под защитой низшего дракона..."
"DCG_VO_viper_buff_ally_08"	"Мы будем неумолимы..."
"DCG_VO_viper_buff_ally_09"	"Врагам нас не сломить."
"DCG_VO_viper_buff_ally_10"	"Вместе мы убьём их всех."
"DCG_VO_viper_debuff_enemy_01"	"Отрава растекается и делает своё дело."
"DCG_VO_viper_debuff_enemy_02"	"Так сладостно видеть твои мучения."
"DCG_VO_viper_debuff_enemy_03"	"Это лишь начало..."
"DCG_VO_viper_debuff_enemy_04"	"Чувствуешь?.."
"DCG_VO_viper_debuff_enemy_05"	"У тебя не хватит сил выжить."
"DCG_VO_viper_debuff_enemy_06"	"Тебя трясёт? Хорошо."
"DCG_VO_viper_debuff_enemy_07"	"Слишком поздно умирать достойно. Кричи, если хочешь."
"DCG_VO_viper_debuff_enemy_08"	"Тебя ждёт неизбежный ужас..."
"DCG_VO_viper_debuff_enemy_09"	"Глупо было приходить сюда!"
"DCG_VO_viper_debuff_enemy_10"	"Тебе не выжить в этой битве."
"DCG_VO_viper_single_target_damage_01"	"Кричи мне на забаву!"
"DCG_VO_viper_single_target_damage_02"	"Мои челюсти смыкаются."
"DCG_VO_viper_single_target_damage_03"	"Яд пропитает тебя."
"DCG_VO_viper_single_target_damage_04"	"Отрава из Бездны омывает тебя."
"DCG_VO_viper_single_target_damage_05"	"Это конец."
"DCG_VO_viper_single_target_damage_06"	"Я заставлю их мучиться..."
"DCG_VO_viper_single_target_damage_07"	"Против низшего дракона не выстоять."
"DCG_VO_viper_single_target_damage_08"	"Твои надежды умрут вместе с тобой..."
"DCG_VO_viper_single_target_damage_09"	"Я о тебе позабочусь..."
"DCG_VO_viper_single_target_damage_10"	"Ха-ха-ха!"
"DCG_VO_viper_multi_damage_small_01"	"Ваше время вышло."
"DCG_VO_viper_multi_damage_small_02"	"Наши враги вкусят смерть...."
"DCG_VO_viper_multi_damage_small_03"	"Вы будете страдать..."
"DCG_VO_viper_multi_damage_small_04"	"Челюсти Бездны сжимают вас."
"DCG_VO_viper_multi_damage_small_05"	"Я нападу на них сверху..."
"DCG_VO_viper_multi_damage_small_06"	"И целой армии будет мало..."
"DCG_VO_viper_multi_damage_small_07"	"Я сею ужас во врагах..."
"DCG_VO_viper_multi_damage_small_08"	"Они умрут в криках..."
"DCG_VO_viper_multi_damage_small_09"	"Их жизнь подходит к концу..."
"DCG_VO_viper_multi_damage_small_10"	"Я натравлю на них смерть..."
"DCG_VO_viper_multi_damage_large_01"	"ВСЕХ УБЬЮ!"
"DCG_VO_viper_multi_damage_large_02"	"После меня останутся только оплавленные тела..."
"DCG_VO_viper_multi_damage_large_03"	"Молите о пощаде!"
"DCG_VO_viper_multi_damage_large_04"	"Я обращу их армию в бегство..."
"DCG_VO_viper_multi_damage_large_05"	"Мой яд истребит врагов..."
"DCG_VO_viper_multi_damage_large_06"	"Отправляйтесь к своим друзьям..."
"DCG_VO_viper_multi_damage_large_07"	"Сдавайтесь!"
"DCG_VO_viper_multi_damage_large_08"	"Я легко заберу их жизни..."
"DCG_VO_viper_multi_damage_large_09"	"Один мой выдох обращает армии в бегство..."
"DCG_VO_viper_multi_damage_large_10"	"Поддайтесь страху..."
"DCG_VO_viper_pleased_01"	"Как хорошо на свободе."
"DCG_VO_viper_pleased_02"	"Восхитительно."
"DCG_VO_viper_pleased_03"	"Победа близка..."
"DCG_VO_viper_pleased_04"	"Теперь нас не остановить."
"DCG_VO_viper_pleased_05"	"Как занятно."
"DCG_VO_viper_pleased_06"	"Хорошо!"
"DCG_VO_viper_pleased_07"	"Как чудесно!"
"DCG_VO_viper_pleased_08"	"Прекрасные мгновения!"
"DCG_VO_viper_pleased_09"	"Восхитительно!"
"DCG_VO_viper_pleased_10"	"Всё складывается удачно..."
"DCG_VO_viper_concerned_01"	"Как?!"
"DCG_VO_viper_concerned_02"	"Надо быть осторожным..."
"DCG_VO_viper_concerned_03"	"Плохо дело..."
"DCG_VO_viper_concerned_04"	"Почему они выигрывают?"
"DCG_VO_viper_concerned_05"	"Не может быть!"
"DCG_VO_viper_concerned_06"	"Как это могло случиться?"
"DCG_VO_viper_concerned_07"	"Я не позволю себя поймать..."
"DCG_VO_viper_concerned_08"	"Меня не убить в бою..."
"DCG_VO_viper_concerned_09"	"Я избежал рабства, избегу и поражения..."
"DCG_VO_viper_concerned_10"	"Нужно быть начеку..."
"DCG_VO_viper_angry_01"	"Отрава на ваши земли!"
"DCG_VO_viper_angry_02"	"Вам не найти пощады!"
"DCG_VO_viper_angry_03"	"Вы сгорите у меня на глазах!"
"DCG_VO_viper_angry_04"	"Мой смех станет вашей болью!"
"DCG_VO_viper_angry_05"	"Мой яд растечётся по вашей армии..."
"DCG_VO_viper_angry_06"	"Я сожру твой пузырящийся труп..."
"DCG_VO_viper_angry_07"	"Ты станешь моим рабом."
"DCG_VO_viper_angry_08"	"Ты будешь рыдать на коленях."
"DCG_VO_viper_angry_09"	"Как ты смеешь меня злить?!"
"DCG_VO_viper_angry_10"	"Моли о пощаде."
"DCG_VO_viper_arrogant_01"	"Я чувствую твой ужас..."
"DCG_VO_viper_arrogant_02"	"Сдавайтесь на мою милость."
"DCG_VO_viper_arrogant_03"	"На что ты рассчитываешь?"
"DCG_VO_viper_arrogant_04"	"Постарайся, чтобы твою смерть запомнили..."
"DCG_VO_viper_arrogant_05"	"Склонись перед низшим драконом..."
"DCG_VO_viper_arrogant_06"	"Мой зверинец будет полон волшебников..."
"DCG_VO_viper_arrogant_07"	"Я ваш новый бог..."
"DCG_VO_viper_arrogant_08"	"Если у вас есть ещё армия, зовите её на помощь."
"DCG_VO_viper_arrogant_09"	"Ты будешь жить, пока забавляешь меня..."
"DCG_VO_viper_arrogant_10"	"Сила Бездны течёт сквозь меня..."
"DCG_VO_viper_enigmatic_01"	"Этот садист многому меня научил..."
"DCG_VO_viper_enigmatic_02"	"Я вернусь в Пределы бездны королём-завоевателем..."
"DCG_VO_viper_enigmatic_03"	"Меня ничто не удержит..."
"DCG_VO_viper_enigmatic_04"	"Вам меня не обхитрить..."
"DCG_VO_viper_enigmatic_05"	"Ну уж нет..."
"DCG_VO_viper_enigmatic_06"	"Я приспособлюсь к чему угодно..."
"DCG_VO_viper_enigmatic_07"	"Маги склонятся передо мной. Сначала один, за ним второй. Потом — тысячи."
"DCG_VO_viper_enigmatic_08"	"Мне неведомы границы."
"DCG_VO_viper_enigmatic_09"	"Я свободен и силён..."
"DCG_VO_viper_enigmatic_10"	"Смерть не властна над Бездной."
"DCG_VO_viper_death_01"	"<i>(кричит)</i>"
"DCG_VO_rix_intro"	"Меня взяли в Бронзовый легион, когда я был ещё ребёнком. Воины в сияющих доспехах пришли в мою деревню и обещали славу — я вступил, даже не задумываясь. Я улыбнулся, когда на моей руке поставили метку рекрута... Ведь я знал, что за усердную службу, беспрекословное подчинение, храбрость и мастерство в бою я получу заслуженное признание и перестану быть очередным бестолковым дикарём. И я служил. Сражался. Убивал. И с каждым захваченным городом, подавленным мятежом и усмирённым мною противником девиз Легиона «За славный Стоунхолл» терял частицу благородства, а бронзовая метка, которую я носил с гордостью, становилась всё тяжелее. Теперь наш путь лежит через Розолист, где мы должны разбить Орду Красного тумана, и мой командир... Она велела «поговорить с дикарями из моего народа»... Что ж, я так и сделаю... И когда закончу, они поймут, что я буду сражаться за них, пока последний солдат не вернётся в Стоунхолл в бронзовом гробу."
"DCG_VO_rix_truth_to_power_intro"	"Сильные не дают слабым права голоса. Заставляют безропотно смириться. Встать на колени. Принять судьбу. Слишком долго я помогал Стоунхоллу захватывать власть. Всё закончится сегодня. Я стану голосом своего народа, и ничто не заставит меня замолчать."
"DCG_VO_rix_act_of_defiance_intro"	"Я не забуду день, когда началось восстание. Тресдин велела мне отправиться к фермерам Розолиста и собрать провизию, которая пригодилась бы в обороне города от Красного тумана... Но год выдался неурожайным. Я сообщил Тресдин, что припасов будет мало, и тогда она отправила своих головорезов к фермерам и приказала забрать всё необходимое силой... В конце концов, «это было для их же блага». Но когда её люди пришли, они встретили не беззащитных фермеров. Они увидели армию, которую я буду вести в бой до последнего вздоха. Мужчины, женщины и дети Розолиста заслужили жизнь, свободную от гнёта Стоунхолла. И пусть цена такой свободы измеряется кровью, мы готовы её заплатить. "
"DCG_VO_rix_equip_generic_weapon_01"	"Сгодится."
"DCG_VO_rix_equip_generic_weapon_02"	"Пригодится в бою."
"DCG_VO_rix_equip_generic_weapon_03"	"Настала пора порубить легионеров."
"DCG_VO_rix_equip_generic_weapon_04"	"Готов к бою."
"DCG_VO_rix_equip_generic_weapon_05"	"Я готов сражаться."
"DCG_VO_rix_equip_generic_armor_01"	"Защита никогда не помешает."
"DCG_VO_rix_equip_generic_armor_02"	"Генерал не имеет права пасть в бою."
"DCG_VO_rix_equip_generic_armor_03"	"Врагам придётся потрудиться, чтобы убить меня."
"DCG_VO_rix_equip_generic_armor_04"	"Легион будет меня бояться."
"DCG_VO_rix_equip_generic_armor_05"	"Это поможет мне выстоять."
"DCG_VO_rix_equip_generic_accessory_01"	"Пора превратить их жизнь в сущий ад."
"DCG_VO_rix_equip_generic_accessory_02"	"Теперь им меня не сломить."
"DCG_VO_rix_equip_generic_accessory_03"	"Раз я теперь командир, нужно выглядеть посолиднее."
"DCG_VO_rix_equip_generic_accessory_04"	"Я заставлю Легион заплатить."
"DCG_VO_rix_equip_generic_accessory_05"	"Легион и опомниться не успеет."
"DCG_VO_rix_kill_rival_01"	"Прочь!"
"DCG_VO_rix_kill_rival_02"	"Воулы не служат никому!"
"DCG_VO_rix_kill_rival_03"	"Любого угнетателя ждёт смерть!"
"DCG_VO_rix_kill_rival_04"	"Мы никогда не преклонимся!"
"DCG_VO_rix_kill_rival_05"	"Пора умирать."
"DCG_VO_rix_kill_rival_06"	"Твоя смерть станет уроком другим."
"DCG_VO_rix_kill_rival_07"	"Я не боюсь никого и ничего."
"DCG_VO_rix_kill_rival_08"	"Я смерти не боюсь. А ты?"
"DCG_VO_rix_kill_rival_09"	"Как ягнята на бойне."
"DCG_VO_rix_kill_rival_10"	"Думаешь, всё так просто, да?"
"DCG_VO_rix_use_include_01"	"Мы не станем молчать!"
"DCG_VO_rix_use_include_02"	"У вас больше нет власти."
"DCG_VO_rix_use_include_03"	"Мы устали от ваших речей."
"DCG_VO_rix_unique_01"	"К оружию!"
"DCG_VO_rix_unique_02"	"Нас много, и мы сильны духом!"
"DCG_VO_rix_unique_03"	"Мы не будем рабами!"
"DCG_VO_rix_unique_04"	"Восстание не остановить."
"DCG_VO_rix_unique_05"	"Лучше умереть в бою, чем жить в рабстве."
"DCG_VO_rix_unique_06"	"Мы выиграем эту битву, но жертвы неизбежны."
"DCG_VO_rix_unique_07"	"Этому суждено было случиться."
"DCG_VO_rix_unique_08"	"В Розолисте больше не будет знамён Легиона."
"DCG_VO_rix_unique_09"	"Я с радостью прикончу тебя, командир."
"DCG_VO_rix_unique_10"	"Хм, враг моего врага... Да, Сорла?"
"DCG_VO_rix_unique_11"	"Сегодня мы объединились против общей угрозы."
"DCG_VO_rix_unique_12"	"Мы сработаемся, Сорла, ведь мы оба хотим смерти Тресдин."
"DCG_VO_rix_unique_13"	"Мы оба не хотим, чтобы Розолист попал в лапы к этим дикарям."
"DCG_VO_rix_unique_14"	"Я не хочу помогать тебе, но Красный туман нужно остановить."
"DCG_VO_rix_unique_15"	"Мы ещё успеем убить друг друга — сейчас нужно остановить Красный туман."
"DCG_VO_rix_unique_16"	"Твоей тирании конец!"
"DCG_VO_rix_unique_17"	"Ты отдала свой последний приказ."
"DCG_VO_rix_unique_18"	"Молчать, Сорла!"
"DCG_VO_rix_unique_19"	"Хватит тебе командовать, Сорла."
"DCG_VO_rix_unique_20"	"Я заплачу любую цену, чтобы уничтожить Бронзовый легион."
"DCG_VO_rix_healed_01"	"Ах..."
"DCG_VO_rix_healed_02"	"Спасибо."
"DCG_VO_rix_healed_03"	"Я не подведу."
"DCG_VO_rix_healed_04"	"Спасибо за поддержку."
"DCG_VO_rix_healed_05"	"Повстанцы благодарны тебе."
"DCG_VO_rix_taunt_generic_01"	"Никакой пощады!"
"DCG_VO_rix_taunt_generic_02"	"Сражайтесь за родину!"
"DCG_VO_rix_taunt_generic_03"	"Не сдаваться!"
"DCG_VO_rix_taunt_generic_04"	"Сегодня мы победим!"
"DCG_VO_rix_taunt_generic_05"	"Восстаньте!"
"DCG_VO_rix_taunt_generic_06"	"Мы будем сражаться до конца!"
"DCG_VO_rix_taunt_generic_07"	"Враги не должны победить!"
"DCG_VO_rix_taunt_generic_08"	"Победа близка!"
"DCG_VO_rix_taunt_generic_09"	"За наш дом!"
"DCG_VO_rix_taunt_generic_10"	"Вы заплатите!"
"DCG_VO_rix_potential_kill_01"	"Теперь не уйдёшь."
"DCG_VO_rix_potential_kill_02"	"Тебе конец."
"DCG_VO_rix_potential_kill_03"	"Твоя смерть — лишь вопрос времени."
"DCG_VO_rix_potential_kill_04"	"Это только начало."
"DCG_VO_rix_potential_kill_05"	"Думаешь, я с тобой закончил?"
"DCG_VO_rix_potential_save_01"	"Меня не так легко убить."
"DCG_VO_rix_potential_save_02"	"Меня так легко не пробьёшь."
"DCG_VO_rix_potential_save_03"	"Не думай, что я лёгкая добыча."
"DCG_VO_rix_potential_save_04"	"Плохо стараешься."
"DCG_VO_rix_potential_save_05"	"Тебе не остановить восстание."
"DCG_VO_rix_permanent_armor_01"	"Хотелось бы всё же вернуться домой живым."
"DCG_VO_rix_permanent_armor_02"	"Будь сильнее, Рикс, на тебя рассчитывают."
"DCG_VO_rix_permanent_armor_03"	"Легионеры закованы в броню. Нужно сравнять шансы."
"DCG_VO_rix_permanent_armor_04"	"Я должен быть готов к битве с Тресдин."
"DCG_VO_rix_permanent_armor_05"	"Тресдин вызовет меня на дуэль. Я должен быть готов."
"DCG_VO_rix_permanent_attack_01"	"Становлюсь сильнее."
"DCG_VO_rix_permanent_attack_02"	"Тренировка никому не повредит."
"DCG_VO_rix_permanent_attack_03"	"<i>(рычит)</i>"
"DCG_VO_rix_permanent_attack_04"	"Разорвём врагов на куски."
"DCG_VO_rix_permanent_attack_05"	"Враги пожалеют, что пришли сюда."
"DCG_VO_rix_permanent_health_01"	"Я не отступлю."
"DCG_VO_rix_permanent_health_02"	"Я никогда не сдамся."
"DCG_VO_rix_permanent_health_03"	"Я не смогу вести повстанцев, если умру."
"DCG_VO_rix_permanent_health_04"	"Здоровье прежде всего."
"DCG_VO_rix_permanent_health_05"	"Мне нельзя умирать, я нужен своему народу."
"DCG_VO_rix_cast_spell_01"	"В Легионе я кое-чему научился."
"DCG_VO_rix_cast_spell_02"	"Нельзя, чтобы враг отдыхал."
"DCG_VO_rix_cast_spell_03"	"Посмотрим, чем они ответят."
"DCG_VO_rix_cast_spell_04"	"Застанем врага врасплох."
"DCG_VO_rix_cast_spell_05"	"Ударим по ним со всех сторон."
"DCG_VO_rix_cast_spell_06"	"Нужно действовать с умом."
"DCG_VO_rix_cast_spell_07"	"Посмотрим, готовы ли они к такому."
"DCG_VO_rix_cast_spell_08"	"Теперь ты в моей власти."
"DCG_VO_rix_cast_spell_09"	"Давай!"
"DCG_VO_rix_cast_spell_10"	"Время для особого манёвра."
"DCG_VO_rix_death_01"	"<i>(кричит)</i>"
"DCG_VO_tinker_intro"	"Перспектива работать с Маззи меня... не очень радует. Но у Снайпера отличные аргументы: смышлёнцы слишком долго были разобщены, и, по крайней мере, он не визжит на деревья. Однако я не могу забыть наше с ним прошлое. Будем ли мы друзьями? Нет. Способен ли я вытерпеть его присутствие и не убить его «случайным» выстрелом в затылок? Может, если напьюсь хорошенько. Время покажет."
"DCG_VO_tinker_keenfolk_golem"	"Маззи много чего не умеет. Быть надёжным. Быть трезвым. Хранить секреты. Но надо отдать ему должное: он умеет строить огромных роботов.  "
"DCG_VO_tinker_march_of_the_machines"	"Каждый из нашего народа чем-то одержим. Снайпер любит стрелять. Древопил валит деревья. Я придумываю новые увлекательные способы убить Маззи. Не всем нравится, что я пытаюсь его грохнуть, но он не построил бы свой робокостюм, если бы ему не нужно было прятаться от моих дронов. Так что, выходит, он у меня в долгу."
"DCG_VO_tinker_steam_cannon"	"Снайпер как-то попросил сделать ему ружьё. Ну, я и увлёкся."
"DCG_VO_tinker_use_ability_01"	"Кому нужна магия?"
"DCG_VO_tinker_use_ability_02"	"Трепещите перед силой науки!"
"DCG_VO_tinker_use_ability_03"	"Цель захвачена..."
"DCG_VO_tinker_use_ability_04"	"Сейчас будет красиво..."
"DCG_VO_tinker_use_ability_05"	"О, какие растерянные лица..."
"DCG_VO_tinker_equip_generic_weapon_01"	"Можно даже улучшить..."
"DCG_VO_tinker_equip_generic_weapon_02"	"Примитивно, но эффективно..."
"DCG_VO_tinker_equip_generic_weapon_03"	"Воспользуемся тем, что есть..."
"DCG_VO_tinker_equip_generic_weapon_04"	"В бою пригодится..."
"DCG_VO_tinker_equip_generic_weapon_05"	"Да... Этой штукой убить можно."
"DCG_VO_tinker_equip_generic_armor_01"	"Так будет спокойней..."
"DCG_VO_tinker_equip_generic_armor_02"	"Живой изобретатель лучше мёртвого..."
"DCG_VO_tinker_equip_generic_armor_03"	"Сегодня я не умру..."
"DCG_VO_tinker_equip_generic_armor_04"	"Лучше перестраховаться..."
"DCG_VO_tinker_equip_generic_armor_05"	"Безопасность прежде всего!"
"DCG_VO_tinker_equip_generic_accessory_01"	"Любопытное устройство..."
"DCG_VO_tinker_equip_generic_accessory_02"	"А как оно работает?.."
"DCG_VO_tinker_equip_generic_accessory_03"	"Любопытно...."
"DCG_VO_tinker_equip_generic_accessory_04"	"Новая игрушка..."
"DCG_VO_tinker_equip_generic_accessory_05"	"О, а мне нравится!"
"DCG_VO_tinker_kill_rival_01"	"Перехитрим и перестреляем."
"DCG_VO_tinker_kill_rival_02"	"Слишком просто..."
"DCG_VO_tinker_kill_rival_03"	"Кто следующий?"
"DCG_VO_tinker_kill_rival_04"	"Ещё претенденты?"
"DCG_VO_tinker_kill_rival_05"	"Здесь мог быть только один исход..."
"DCG_VO_tinker_kill_rival_06"	"Это моё поле боя!"
"DCG_VO_tinker_kill_rival_07"	"С моим умом и огневой мощью никто не сравнится...."
"DCG_VO_tinker_kill_rival_08"	"Надо было сдаваться..."
"DCG_VO_tinker_kill_rival_09"	"Одной мишенью меньше..."
"DCG_VO_tinker_kill_rival_10"	"Снайпер умрёт от зависти..."
"DCG_VO_tinker_use_include_01"	"Марш! Марш! Марш!"
"DCG_VO_tinker_use_include_02"	"Я тут для вас кое-что смастерил..."
"DCG_VO_tinker_use_include_03"	"Мои механизмы порвут вас в клочья!"
"DCG_VO_tinker_unique_01"	"Да ты старик, Снайпер. Как у тебя ещё сердце не отказало?"
"DCG_VO_tinker_unique_02"	"Лазер заряжен."
"DCG_VO_tinker_unique_03"	"Оружие готово к бою."
"DCG_VO_tinker_unique_04"	"Лазер включён."
"DCG_VO_tinker_unique_05"	"Оружие у тебя старомодное, но ты прозорливый, надо признать..."
"DCG_VO_tinker_unique_06"	"Ты прав, Снайпер. Смышлёнцам нужно держаться вместе."
"DCG_VO_tinker_unique_07"	"Ладно, Маззи, я готов забыть наше прошлое..."
"DCG_VO_tinker_unique_08"	"Маззи, мы сотрудничаем, а не дружим..."
"DCG_VO_tinker_unique_09"	"Забудь уже про деревья и сосредоточься на битве!"
"DCG_VO_tinker_unique_10"	"Знаю, ты взволнован, но можно поаккуратнее со своими пилами?"
"DCG_VO_tinker_unique_11"	"Хорошо хоть, Маззи тут нет..."
"DCG_VO_tinker_unique_12"	"Спасибо, что собрал нас вместе, Снайпер...."
"DCG_VO_tinker_unique_13"	"Ну, отлично. Мы все вместе. И Маззи тоже. Ура."
"DCG_VO_tinker_unique_14"	"Смышлёный народец един и непобедим!"
"DCG_VO_tinker_unique_15"	"Маззи, твоя жизнь пойдёт на благо науки!"
"DCG_VO_tinker_unique_16"	"Я выковыряю тебя из этой жестянки!"
"DCG_VO_tinker_unique_17"	"Твоя банка долго не продержится, Маззи!"
"DCG_VO_tinker_unique_18"	"Акс! Поздоровайся с лазером."
"DCG_VO_tinker_unique_19"	"Ружьё, которое стреляет пулями? Ну и старьё."
"DCG_VO_tinker_unique_20"	"Ты безумец, Риззрак! Зря я думал, что с тобой можно сработаться!"
"DCG_VO_tinker_healed_01"	"Ах..."
"DCG_VO_tinker_healed_02"	"Хорошо."
"DCG_VO_tinker_healed_03"	"Я уж было заволновался."
"DCG_VO_tinker_healed_04"	"Готов вернуться к работе..."
"DCG_VO_tinker_healed_05"	"Снова в бой..."
"DCG_VO_tinker_taunt_generic_01"	"Следуйте моим приказам, и мы победим!"
"DCG_VO_tinker_taunt_generic_02"	"Снесём башню!"
"DCG_VO_tinker_taunt_generic_03"	"Древний уязвим!"
"DCG_VO_tinker_taunt_generic_04"	"Уничтожить эту башню!"
"DCG_VO_tinker_taunt_generic_05"	"Разрушить Древнего!"
"DCG_VO_tinker_taunt_generic_06"	"Враги как на ладони!"
"DCG_VO_tinker_taunt_generic_07"	"Преимущество на нашей стороне!"
"DCG_VO_tinker_taunt_generic_08"	"Мы выиграем, если не будем сбавлять обороты!"
"DCG_VO_tinker_taunt_generic_09"	"Врагам нас не остановить!"
"DCG_VO_tinker_taunt_generic_10"	"Скоро никто нам не помешает!"
"DCG_VO_tinker_potential_kill_01"	"Тебе недолго осталось..."
"DCG_VO_tinker_potential_kill_02"	"Тебе нипочём не выжить..."
"DCG_VO_tinker_potential_kill_03"	"Ты уже знаешь, что тебя ждёт."
"DCG_VO_tinker_potential_kill_04"	"Пока-пока..."
"DCG_VO_tinker_potential_kill_05"	"Будет больно, врать не буду."
"DCG_VO_tinker_potential_save_01"	"Ха!"
"DCG_VO_tinker_potential_save_02"	"Неплохая попытка!"
"DCG_VO_tinker_potential_save_03"	"На что ты надеешься?"
"DCG_VO_tinker_potential_save_04"	"Ты даже не знаешь, на что я способен!"
"DCG_VO_tinker_potential_save_05"	"Я бывал в передрягах похуже..."
"DCG_VO_tinker_permanent_armor_01"	"Поможет выстоять в бою..."
"DCG_VO_tinker_permanent_armor_02"	"Броня лишней не бывает..."
"DCG_VO_tinker_permanent_armor_03"	"Нужно быть готовым ко всему..."
"DCG_VO_tinker_permanent_armor_04"	"Времена сейчас опасные..."
"DCG_VO_tinker_permanent_armor_05"	"Я покажу Маззи, что такое настоящая броня..."
"DCG_VO_tinker_permanent_attack_01"	"Откалибруем инструменты..."
"DCG_VO_tinker_permanent_attack_02"	"Мои механизмы всегда в полном порядке..."
"DCG_VO_tinker_permanent_attack_03"	"Самое время что-нибудь улучшить..."
"DCG_VO_tinker_permanent_attack_04"	"Больше и мощнее!"
"DCG_VO_tinker_permanent_attack_05"	"Война — вот моё ремесло..."
"DCG_VO_tinker_permanent_health_01"	"Лучше не бывало..."
"DCG_VO_tinker_permanent_health_02"	"Свои уязвимые места надо брать в расчёт..."
"DCG_VO_tinker_permanent_health_03"	"Всегда всё улучшай... Даже себя..."
"DCG_VO_tinker_permanent_health_04"	"Как говорится, совершенство — не предел!"
"DCG_VO_tinker_permanent_health_05"	"Я о себе забочусь, в отличие от Снайпера..."
"DCG_VO_tinker_cast_spell_01"	"Наслаждайся..."
"DCG_VO_tinker_cast_spell_02"	"Надеюсь, вы готовы..."
"DCG_VO_tinker_cast_spell_03"	"Я планирую наперёд..."
"DCG_VO_tinker_cast_spell_04"	"Я всегда всё продумываю наперёд..."
"DCG_VO_tinker_cast_spell_05"	"Готовиться заранее полезно..."
"DCG_VO_tinker_cast_spell_06"	"Это не магия, а наука!"
"DCG_VO_tinker_cast_spell_07"	"Восхищайся, я не против..."
"DCG_VO_tinker_cast_spell_08"	"Над этим я долго работал..."
"DCG_VO_tinker_cast_spell_09"	"А сколько всего я ещё могу придумать!"
"DCG_VO_tinker_cast_spell_10"	"Вот вам смекалка смышлёнцев..."
"DCG_VO_tinker_buff_ally_01"	"На, принимай..."
"DCG_VO_tinker_buff_ally_02"	"Везёт, что у тебя гениальный коллега..."
"DCG_VO_tinker_buff_ally_03"	"Дай-ка тебя выручу..."
"DCG_VO_tinker_buff_ally_04"	"Тебе, пожалуй, пригодится..."
"DCG_VO_tinker_buff_ally_05"	"Я тебя прикрою."
"DCG_VO_tinker_buff_ally_06"	"Будешь моим новым экспериментом..."
"DCG_VO_tinker_buff_ally_07"	"Давай я сделаю твою жизнь чуточку проще..."
"DCG_VO_tinker_buff_ally_08"	"Обожаю своих подопытных... Ой, то есть друзей."
"DCG_VO_tinker_buff_ally_09"	"Думаю, результат тебе понравится..."
"DCG_VO_tinker_buff_ally_10"	"Давай помогу..."
"DCG_VO_tinker_debuff_enemy_01"	"Действует лучше, чем я ожидал..."
"DCG_VO_tinker_debuff_enemy_02"	"Неприятно, наверно."
"DCG_VO_tinker_debuff_enemy_03"	"Не волнуйся, ты долго страдать не будешь..."
"DCG_VO_tinker_debuff_enemy_04"	"Недолго тебе осталось..."
"DCG_VO_tinker_debuff_enemy_05"	"Интересно, когда это тебя убьёт?.."
"DCG_VO_tinker_debuff_enemy_06"	"Сейчас повеселимся..."
"DCG_VO_tinker_debuff_enemy_07"	"Ты лишь бледная тень своего прошлого..."
"DCG_VO_tinker_debuff_enemy_08"	"Изнурительно, не правда ли?.."
"DCG_VO_tinker_debuff_enemy_09"	"Слабеешь с каждой секундой..."
"DCG_VO_tinker_debuff_enemy_10"	"Сколько в тебе было силы... пока я не задумал убить тебя."
"DCG_VO_tinker_single_target_damage_01"	"Сейчас получат!"
"DCG_VO_tinker_single_target_damage_02"	"Предоставьте это мне."
"DCG_VO_tinker_single_target_damage_03"	"Ничтожество."
"DCG_VO_tinker_single_target_damage_04"	"Я любого достану!"
"DCG_VO_tinker_single_target_damage_05"	"Мне тебя бояться? Ну уж нет."
