"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Io e Pierpont non siamo d'accordo su molte cose, ma è stato saggio ad ammettere quanto sia pericoloso scatenare l'ira del Vuoto senza Volto. Il Trattato di Claszureme non mi fa impazzire, la cronomanzia era molto divertente, ma sai che cos'altro c'è di divertente? Non vedere cancellata la propria linea temporale."
"DCG_VO_tinker_multi_damage_small_04"	"I can kill anyone I want."
"DCG_VO_tinker_multi_damage_small_05"	"Watch this..."
"DCG_VO_tinker_multi_damage_small_06"	"Oh look, there's a lot of you...how impressive..."
"DCG_VO_tinker_multi_damage_small_07"	"I have a little something for everyone..."
"DCG_VO_tinker_multi_damage_small_08"	"Ahahahah."
"DCG_VO_tinker_multi_damage_small_09"	"I don't care how many friends you have!"
"DCG_VO_tinker_multi_damage_small_10"	"Diediediedie"
"DCG_VO_tinker_multi_damage_large_01"	"I'LL KILL YOU ALL!"
"DCG_VO_tinker_multi_damage_large_02"	"No survivors!"
"DCG_VO_tinker_multi_damage_large_03"	"We go together!"
"DCG_VO_tinker_multi_damage_large_04"	"I'll take you with me!"
"DCG_VO_tinker_multi_damage_large_05"	"Science demands sacrifice..."
"DCG_VO_tinker_multi_damage_large_06"	"I engineered this whole thing!"
"DCG_VO_tinker_multi_damage_large_07"	"Behold my brilliance!"
"DCG_VO_tinker_multi_damage_large_08"	"Don't worry, you're all going to die!"
"DCG_VO_tinker_multi_damage_large_09"	"Fine... I'll pull out the big guns..."
"DCG_VO_tinker_multi_damage_large_10"	"No more kid toys..."
"DCG_VO_tinker_pleased_01"	"Hmm."
"DCG_VO_tinker_pleased_02"	"Meraviglioso."
"DCG_VO_tinker_pleased_03"	"Good."
"DCG_VO_tinker_pleased_04"	"Perfect."
"DCG_VO_tinker_pleased_05"	"I like that."
"DCG_VO_tinker_pleased_06"	"This is going well."
"DCG_VO_tinker_pleased_07"	"Tutto come previsto."
"DCG_VO_tinker_pleased_08"	"I can live with that."
"DCG_VO_tinker_pleased_09"	"An acceptable price to pay."
"DCG_VO_tinker_pleased_10"	"Eh, it's worth it."
"DCG_VO_tinker_concerned_01"	"Hmmm."
"DCG_VO_tinker_concerned_02"	"I don't know about this."
"DCG_VO_tinker_concerned_03"	"This seems a lot harder than anticipated..."
"DCG_VO_tinker_concerned_04"	"I'm not so sure I like this..."
"DCG_VO_tinker_concerned_05"	"I think I'm going to die..."
"DCG_VO_tinker_concerned_06"	"The odds of me surviving seem...poor..."
"DCG_VO_tinker_concerned_07"	"How did I get into this mess..."
"DCG_VO_tinker_concerned_08"	"How did I miscalculate so badly..."
"DCG_VO_tinker_concerned_09"	"I'll figure out a way out of this..."
"DCG_VO_tinker_concerned_10"	"There's a solution here... I just need to find it..."
"DCG_VO_tinker_angry_01"	"Damn it!"
"DCG_VO_tinker_angry_02"	"Come osi!"
"DCG_VO_tinker_angry_03"	"You threaten my research?!"
"DCG_VO_tinker_angry_04"	"You think you're better than me?"
"DCG_VO_tinker_angry_05"	"You call that a robot?"
"DCG_VO_tinker_angry_06"	"I won't let you get away!"
"DCG_VO_tinker_angry_07"	"You can't hide from me!"
"DCG_VO_tinker_angry_08"	"I'll prove my genius!"
"DCG_VO_tinker_angry_09"	"You will pay dearly!"
"DCG_VO_tinker_angry_10"	"Playtime's over..."
"DCG_VO_tinker_arrogant_01"	"You idiots could never stop me!"
"DCG_VO_tinker_arrogant_02"	"I'm the greatest Keenfolk mind in a generation..."
"DCG_VO_tinker_arrogant_03"	"No one can match wits with the Keenfolk..."
"DCG_VO_tinker_arrogant_04"	"Congratulations! You provided me with the tools of your own destruction..."
"DCG_VO_tinker_arrogant_05"	"You walked right into my trap..."
"DCG_VO_tinker_arrogant_06"	"I'll use your own weapons against you..."
"DCG_VO_tinker_arrogant_07"	"You think you can outwit me?"
"DCG_VO_tinker_arrogant_08"	"If there's one thing the keen have perfected, it's warfare."
"DCG_VO_tinker_arrogant_09"	"There's no tower I can't destroy."
"DCG_VO_tinker_arrogant_10"	"I don't need help, I just like my friends to feel useful..."
"DCG_VO_tinker_enigmatic_01"	"I must get to work..."
"DCG_VO_tinker_enigmatic_02"	"There is much work to be done..."
"DCG_VO_tinker_enigmatic_03"	"Another invention, curtesy of the keen."
"DCG_VO_tinker_enigmatic_04"	"What we need is a bigger gun.."
"DCG_VO_tinker_enigmatic_05"	"I have just the thing..."
"DCG_VO_tinker_enigmatic_06"	"Oh they're going to hate this..."
"DCG_VO_tinker_enigmatic_07"	"You're out of your depth."
"DCG_VO_tinker_enigmatic_08"	"You picked a fight you can't win."
"DCG_VO_tinker_enigmatic_09"	"I control the battlefield..."
"DCG_VO_tinker_enigmatic_10"	"Desperate times call for desperate measures..."
"DCG_VO_tinker_death_01"	"<i>Urla</i>"
"DCG_VO_tidehunter_intro"	"My dominion over the seas is absolute... and soon it will be the same on land."
"DCG_VO_tidehunter_kraken_shell_intro"	"Don't call it a backpack."
"DCG_VO_tidehunter_clear_the_deck_intro"	"Kunkka can hide on his boat all he likes... it won't be enough to save him."
"DCG_VO_tidehunter_use_ability_01"	"Ravage!"
"DCG_VO_tidehunter_use_ability_02"	"You're not going anywhere..."
"DCG_VO_tidehunter_use_ability_03"	"I am your sovereign!"
"DCG_VO_tidehunter_use_ability_04"	"Ahahahah."
"DCG_VO_tidehunter_use_ability_05"	"<i>Roars</i>"
"DCG_VO_tidehunter_equip_generic_weapon_01"	"Ne farò buon uso."
"DCG_VO_tidehunter_equip_generic_weapon_02"	"Perfect to stick Kunkka with."
"DCG_VO_tidehunter_equip_generic_weapon_03"	"My enemies will soon fall."
"DCG_VO_tidehunter_equip_generic_weapon_04"	"I'll bring death to the land dwellers."
"DCG_VO_tidehunter_equip_generic_weapon_05"	"I'll show them something to fear."
"DCG_VO_tidehunter_equip_generic_armor_01"	"Nothing will harm me."
"DCG_VO_tidehunter_equip_generic_armor_02"	"I can weather any storm."
"DCG_VO_tidehunter_equip_generic_armor_03"	"I'm surprised this fits me."
"DCG_VO_tidehunter_equip_generic_armor_04"	"This will do."
"DCG_VO_tidehunter_equip_generic_armor_05"	"Who could harm me now?"
"DCG_VO_tidehunter_equip_generic_accessory_01"	"A lovely bauble."
"DCG_VO_tidehunter_equip_generic_accessory_02"	"I know how to use this."
"DCG_VO_tidehunter_equip_generic_accessory_03"	"This will help me stay in the fight."
"DCG_VO_tidehunter_equip_generic_accessory_04"	"Another treasure from the deep."
"DCG_VO_tidehunter_equip_generic_accessory_05"	"Ahhh, gli aggeggi dell'uomo..."
"DCG_VO_tidehunter_kill_rival_01"	"Die!"
"DCG_VO_tidehunter_kill_rival_02"	"Like so much chum..."
"DCG_VO_tidehunter_kill_rival_03"	"You were a fool to fight me."
"DCG_VO_tidehunter_kill_rival_04"	"I am the lord of the seas!"
"DCG_VO_tidehunter_kill_rival_05"	"You thought you could fight the Champion of the Sunken Isles?"
"DCG_VO_tidehunter_kill_rival_06"	"No one stands in my way."
"DCG_VO_tidehunter_kill_rival_07"	"Pathetic."
"DCG_VO_tidehunter_kill_rival_08"	"Too easy."
"DCG_VO_tidehunter_kill_rival_09"	"You can't stop me."
"DCG_VO_tidehunter_kill_rival_10"	"I'm unstoppable!"
"DCG_VO_tidehunter_use_include_01"	"The deep protects me."
"DCG_VO_tidehunter_use_include_02"	"The treasures of the deep."
"DCG_VO_tidehunter_use_include_03"	"A gift from the deep."
"DCG_VO_tidehunter_unique_01"	"I can ravage this place whenever I please..."
"DCG_VO_tidehunter_unique_02"	"Soon I'll ravage you all."
"DCG_VO_tidehunter_unique_03"	"You're only standing because I allow it."
"DCG_VO_tidehunter_unique_04"	"I'll do this myself."
"DCG_VO_tidehunter_unique_05"	"I don't need any help."
"DCG_VO_tidehunter_unique_06"	"Tidehunter stands alone... like always."
"DCG_VO_tidehunter_unique_07"	"Assassin... you've come a long way to die."
"DCG_VO_tidehunter_unique_08"	"I look forward to eating a sister of the veil."
"DCG_VO_tidehunter_unique_09"	"You wont take me as a trophy."
"DCG_VO_tidehunter_unique_10"	"Sorry Gondar... this is one bounty you'll never cash in."
"DCG_VO_tidehunter_unique_11"	"You seem nice Enchantress... I won't eat you."
"DCG_VO_tidehunter_unique_12"	"We will destroy everything..."
"DCG_VO_tidehunter_unique_13"	"Axe, together we're unstoppable."
"DCG_VO_tidehunter_unique_14"	"I'll crack that metal shell open!"
"DCG_VO_tidehunter_unique_16"	"Your god is nothing compared to Maelrawn!"
"DCG_VO_tidehunter_unique_17"	"It's over, you just don't know it yet."
"DCG_VO_tidehunter_unique_18"	"YESSSS!"
"DCG_VO_tidehunter_unique_19"	"We'll crash over you like a wave!"
"DCG_VO_tidehunter_unique_20"	"I go where I please."
"DCG_VO_tidehunter_healed_01"	"Ahhh."
"DCG_VO_tidehunter_healed_02"	"Grazie."
"DCG_VO_tidehunter_healed_03"	"Grazie."
"DCG_VO_tidehunter_healed_04"	"I'll remember that."
"DCG_VO_tidehunter_healed_05"	"A wise move."
"DCG_VO_tidehunter_taunt_generic_01"	"Fear us!"
"DCG_VO_tidehunter_taunt_generic_02"	"The end is near!"
"DCG_VO_tidehunter_taunt_generic_03"	"Your time has come!"
"DCG_VO_tidehunter_taunt_generic_04"	"I won't be denied victory!"
"DCG_VO_tidehunter_taunt_generic_05"	"Crush the Ancient!"
"DCG_VO_tidehunter_taunt_generic_06"	"Leave nothing in our wake!"
"DCG_VO_tidehunter_taunt_generic_07"	"Our victory is as inevitable as the tide..."
"DCG_VO_tidehunter_taunt_generic_08"	"For Maelrawn!"
"DCG_VO_tidehunter_taunt_generic_09"	"Run while you still can!"
"DCG_VO_tidehunter_taunt_generic_10"	"This is my moment!"
"DCG_VO_tidehunter_potential_kill_01"	"Death comes for you..."
"DCG_VO_tidehunter_potential_kill_02"	"You'll make a lovely snack."
"DCG_VO_tidehunter_potential_kill_03"	"You can't hide from me."
"DCG_VO_tidehunter_potential_kill_04"	"I'm coming for you..."
"DCG_VO_tidehunter_potential_kill_05"	"Don't worry, you'll be dead soon enough."
"DCG_VO_tidehunter_potential_save_01"	"You can't kill me!"
"DCG_VO_tidehunter_potential_save_02"	"If Kunkka can't kill me, what chance do you have?"
"DCG_VO_tidehunter_potential_save_03"	"You'll have to try harder..."
"DCG_VO_tidehunter_potential_save_04"	"Nice try."
"DCG_VO_tidehunter_potential_save_05"	"I don't think so."
"DCG_VO_tidehunter_permanent_armor_01"	"I feel no pain"
"DCG_VO_tidehunter_permanent_armor_02"	"I'm tougher now..."
"DCG_VO_tidehunter_permanent_armor_03"	"No one can harm me."
"DCG_VO_tidehunter_permanent_armor_04"	"Tougher by the moment."
"DCG_VO_tidehunter_permanent_armor_05"	"The land dwellers don't know what they face."
"DCG_VO_tidehunter_permanent_attack_01"	"My strength grows!"
"DCG_VO_tidehunter_permanent_attack_02"	"My power surges like the tide!"
"DCG_VO_tidehunter_permanent_attack_03"	"Ill drag all my enemies down."
"DCG_VO_tidehunter_permanent_attack_04"	"I'll feast on my enemies."
"DCG_VO_tidehunter_permanent_attack_05"	"The Tidehunter rises..."
"DCG_VO_tidehunter_permanent_health_01"	"What could kill me?"
"DCG_VO_tidehunter_permanent_health_02"	"I am the leviathan!"
"DCG_VO_tidehunter_permanent_health_03"	"I fear no battle."
"DCG_VO_tidehunter_permanent_health_04"	"I can take anything you'll throw at me."
"DCG_VO_tidehunter_permanent_health_05"	"This battlefield is mine!"
"DCG_VO_tidehunter_cast_spell_01"	"The mysteries of the deep are mine alone."
"DCG_VO_tidehunter_cast_spell_02"	"I draw power from the tides."
"DCG_VO_tidehunter_cast_spell_03"	"Let me show you the powers of the deep..."
"DCG_VO_tidehunter_cast_spell_04"	"The Sunken Isles hold many mysteries..."
"DCG_VO_tidehunter_cast_spell_05"	"A servant of Maelrawn has many gifts..."
"DCG_VO_tidehunter_cast_spell_06"	"You can't break me..."
"DCG_VO_tidehunter_cast_spell_07"	"You still think you can win?"
"DCG_VO_tidehunter_cast_spell_08"	"Landwalker... your days are numbered."
"DCG_VO_tidehunter_cast_spell_09"	"Death to the land walkers!"
"DCG_VO_tidehunter_cast_spell_10"	"Maybe this will get Kunkka's attention..."
"DCG_VO_tidehunter_death_01"	"<i>Urla</i>"
"DCG_VO_tidehunter_buff_ally_01"	"I bring tidings from the sea..."
"DCG_VO_tidehunter_buff_ally_02"	"The deep holds many mysteries..."
"DCG_VO_tidehunter_buff_ally_03"	"Dobbiamo guardarci le spalle a vicenda..."
"DCG_VO_tidehunter_buff_ally_04"	"Hello, friend..."
"DCG_VO_tidehunter_buff_ally_05"	"The leviathan rewards his allies..."
"DCG_VO_tidehunter_buff_ally_06"	"Maelrawn has much to offer you..."
"DCG_VO_tidehunter_buff_ally_07"	"Feel the strength of Maelrawn..."
"DCG_VO_tidehunter_buff_ally_08"	"I offer you the strength of the ocean..."
"DCG_VO_tidehunter_buff_ally_09"	"We will become a crushing tide..."
"DCG_VO_tidehunter_buff_ally_10"	"Trust in Tidehunter...."
"DCG_VO_tidehunter_debuff_enemy_01"	"I'll grind you down..."
"DCG_VO_tidehunter_debuff_enemy_02"	"You aren't so impressive..."
"DCG_VO_tidehunter_debuff_enemy_03"	"You grow weaker..."
"DCG_VO_tidehunter_debuff_enemy_04"	"You're weak."
"DCG_VO_tidehunter_debuff_enemy_05"	"What chance do you have against me..."
"DCG_VO_tidehunter_debuff_enemy_06"	"Your strength leaves you..."
"DCG_VO_tidehunter_debuff_enemy_07"	"You will never defeat me..."
"DCG_VO_tidehunter_debuff_enemy_08"	"Stupid, stupid, Landwalker..."
"DCG_VO_tidehunter_debuff_enemy_09"	"Your death comes soon..."
"DCG_VO_tidehunter_debuff_enemy_10"	"I enjoy toying with you..."
"DCG_VO_tidehunter_single_target_damage_01"	"I'll crush you!"
"DCG_VO_tidehunter_single_target_damage_02"	"I'll tear you apart!"
"DCG_VO_tidehunter_single_target_damage_03"	"You will know suffering."
"DCG_VO_tidehunter_single_target_damage_04"	"I'll clean my teeth with your bones..."
"DCG_VO_tidehunter_single_target_damage_05"	"Your body will be picked clean..."
"DCG_VO_tidehunter_single_target_damage_06"	"Leave this one for me..."
"DCG_VO_tidehunter_single_target_damage_07"	"Face me, Landwalker...."
"DCG_VO_tidehunter_single_target_damage_08"	"I fear no one."
"DCG_VO_tidehunter_single_target_damage_09"	"Let the river run red..."
"DCG_VO_tidehunter_single_target_damage_10"	"How could you possibly defeat me..."
"DCG_VO_tidehunter_multi_damage_small_01"	"hmn, worthless..."
"DCG_VO_tidehunter_multi_damage_small_02"	"You should run."
"DCG_VO_tidehunter_multi_damage_small_03"	"The tide will only continue to rise..."
"DCG_VO_tidehunter_multi_damage_small_04"	"This is how it begins.."
"DCG_VO_tidehunter_multi_damage_small_05"	"Uno dopo l'altro cadrete tutti..."
"DCG_VO_tidehunter_multi_damage_small_06"	"I'll work my way through all of you..."
"DCG_VO_tidehunter_multi_damage_small_07"	"This is all you brought to stop me?"
"DCG_VO_tidehunter_multi_damage_small_08"	"I was hoping for worthy opponents..."
"DCG_VO_tidehunter_multi_damage_small_09"	"Let me show you what I did to Kunkka's crew..."
"DCG_VO_tidehunter_multi_damage_small_10"	"This is where you die..."
"DCG_VO_tidehunter_multi_damage_large_01"	"I'll kill you all!"
"DCG_VO_tidehunter_multi_damage_large_02"	"I'll drown you all!"
"DCG_VO_tidehunter_multi_damage_large_03"	"You're all going to die here!"
"DCG_VO_tidehunter_multi_damage_large_04"	"None of you will escape!"
"DCG_VO_tidehunter_multi_damage_large_05"	"I'll face you all!"
"DCG_VO_tidehunter_multi_damage_large_06"	"Leave these land walkers to me..."
"DCG_VO_tidehunter_multi_damage_large_07"	"A tribute to Maelrawn..."
"DCG_VO_tidehunter_multi_damage_large_08"	"I am unmatched!"
"DCG_VO_tidehunter_multi_damage_large_09"	"I welcome the challenge..."
"DCG_VO_tidehunter_multi_damage_large_10"	"All of you will die!"
"DCG_VO_tidehunter_pleased_01"	"Good."
"DCG_VO_tidehunter_pleased_02"	"A fine day for war."
"DCG_VO_tidehunter_pleased_03"	"Maelrawn is pleased with us..."
"DCG_VO_tidehunter_pleased_04"	"Things are going well..."
"DCG_VO_tidehunter_pleased_05"	"Hm...land is surprisingly pleasant...."
"DCG_VO_tidehunter_pleased_06"	"Everything is as it should be..."
"DCG_VO_tidehunter_pleased_07"	"The battle is going our way..."
"DCG_VO_tidehunter_pleased_08"	"Things are lining up perfectly..."
"DCG_VO_tidehunter_pleased_09"	"They have no answers to us..."
"DCG_VO_tidehunter_pleased_10"	"Perfect."
"DCG_VO_tidehunter_concerned_01"	"How could this be happening..."
"DCG_VO_tidehunter_concerned_02"	"What did I do wrong..."
"DCG_VO_tidehunter_concerned_03"	"Land is a strange place..."
"DCG_VO_tidehunter_concerned_04"	"I won't let them win..."
"DCG_VO_tidehunter_concerned_05"	"The odds aren't in my favor..."
"DCG_VO_tidehunter_concerned_06"	"How did they pull ahead..."
"DCG_VO_tidehunter_concerned_07"	"I don’t understand how this happened..."
"DCG_VO_tidehunter_concerned_08"	"This is... troubling..."
"DCG_VO_tidehunter_concerned_09"	"I can't let them win..."
"DCG_VO_tidehunter_concerned_10"	"This won't be the end of Tidehunter..."
"DCG_VO_tidehunter_angry_01"	"I'll devour you whole!"
"DCG_VO_tidehunter_angry_02"	"You'll wish you never came here!"
"DCG_VO_tidehunter_angry_03"	"You'll regret that!"
"DCG_VO_tidehunter_angry_04"	"I look forward to watching you die..."
"DCG_VO_tidehunter_angry_05"	"I'll crush your bones one at a time..."
"DCG_VO_tidehunter_angry_06"	"I'll eat you alive!"
"DCG_VO_tidehunter_angry_07"	"I'm going to make you scream..."
"DCG_VO_tidehunter_angry_08"	"You will drown in a sea of blood..."
"DCG_VO_tidehunter_angry_09"	"When I'm through with you they won't recognize your body..."
"DCG_VO_tidehunter_angry_10"	"Your broken body will be a message to the others..."
"DCG_VO_tidehunter_arrogant_01"	"You think you could kill me?"
"DCG_VO_tidehunter_arrogant_02"	"I am the might of the Ocean itself!"
"DCG_VO_tidehunter_arrogant_03"	"No Landwalker is better than me..."
"DCG_VO_tidehunter_arrogant_04"	"I will dominate the land, as I dominate the sea."
"DCG_VO_tidehunter_arrogant_05"	"The oceans bow to me..."
"DCG_VO_tidehunter_arrogant_06"	"Victory is assured."
"DCG_VO_tidehunter_arrogant_07"	"My power is boundless..."
"DCG_VO_tidehunter_arrogant_08"	"I rise like the tide!"
"DCG_VO_tidehunter_arrogant_09"	"Throw yourself in the sea and save me the trouble of killing you..."
"DCG_VO_tidehunter_arrogant_10"	"The Leviathan walks among you..."
"DCG_VO_tidehunter_enigmatic_01"	"I have power you could only dream of."
"DCG_VO_tidehunter_enigmatic_02"	"The depths will claim you for their own..."
"DCG_VO_tidehunter_enigmatic_03"	"I've seen things you could only dream..."
"DCG_VO_tidehunter_enigmatic_04"	"You could never survive the deep..."
"DCG_VO_tidehunter_enigmatic_05"	"Dark tides come for you..."
"DCG_VO_tidehunter_enigmatic_06"	"You don't think you're going to win do you?"
"DCG_VO_tidehunter_enigmatic_07"	"Let me show you what awaits..."
"DCG_VO_tidehunter_enigmatic_08"	"You'll be dead soon enough..."
"DCG_VO_tidehunter_enigmatic_09"	"There's no hope for you..."
"DCG_VO_tidehunter_enigmatic_10"	"You'll die screaming..."
"DCG_VO_tidehunter_death_01"	"<i>Screams</i>"
"DCG_VO_FILENAME"	"LINE"
"DCG_VO_bounty_hunter_intro"	"Lord Sunbreeze is willing to pay handsomely to anyone who was able to return his daughter to him alive... which is somewhat unfortunate because 'Dead' is significantly easier for me. Oh well, the customer is always right. Looks like it's time to hunt a fairy."
"DCG_VO_bounty_hunter_payday"	"Revtel is my favorite place to do business. The morals are lose, but their contracts are fair; whenever I took a job from The Brass Herald, Lord Sunbreeze, or Kwerthias I knew they'd make good. Kwerthias... ya know, as a general rule you don't make too many friends in my line of work but... he was one of the good ones. I'm sorry he's dead. "
"DCG_VO_bounty_hunter_track"	"It's not always honest work, but it's certainly lucrative."
"DCG_VO_bounty_hunter_equip_generic_weapon_01"	"Time to get to work."
"DCG_VO_bounty_hunter_equip_generic_weapon_02"	"Let's get paid, shall we?"
"DCG_VO_bounty_hunter_equip_generic_weapon_03"	"They better run..."
"DCG_VO_bounty_hunter_equip_generic_weapon_04"	"They won't escape me."
"DCG_VO_bounty_hunter_equip_generic_weapon_05"	"The sooner they're dead the sooner I get paid..."
"DCG_VO_bounty_hunter_equip_generic_armor_01"	"I need a safer line of work..."
"DCG_VO_bounty_hunter_equip_generic_armor_02"	"I'm not lookin' to die..."
"DCG_VO_bounty_hunter_equip_generic_armor_03"	"This job may get rough."
"DCG_VO_bounty_hunter_equip_generic_armor_04"	"I need to be ready for anything."
"DCG_VO_bounty_hunter_equip_generic_armor_05"	"Just a precaution..."
"DCG_VO_bounty_hunter_equip_generic_accessory_01"	"This will help."
"DCG_VO_bounty_hunter_equip_generic_accessory_02"	"I can use this."
"DCG_VO_bounty_hunter_equip_generic_accessory_03"	"Grazie."
"DCG_VO_bounty_hunter_equip_generic_accessory_04"	"I know how to use this."
"DCG_VO_bounty_hunter_equip_generic_accessory_05"	"I needed this for the job."
"DCG_VO_bounty_hunter_kill_rival_01"	"It's done."
"DCG_VO_bounty_hunter_kill_rival_02"	"I'll spend this later."
"DCG_VO_bounty_hunter_kill_rival_03"	"Grazie per l'oro."
"DCG_VO_bounty_hunter_kill_rival_04"	"I love payday."
"DCG_VO_bounty_hunter_kill_rival_05"	"Pay up."
"DCG_VO_bounty_hunter_kill_rival_06"	"No one escapes me."
"DCG_VO_bounty_hunter_kill_rival_07"	"There's a reason I'm the best."
"DCG_VO_bounty_hunter_kill_rival_08"	"It's over."
"DCG_VO_bounty_hunter_kill_rival_09"	"Only way it was gonna go..."
"DCG_VO_bounty_hunter_kill_rival_10"	"Don't mess with a professional..."
"DCG_VO_bounty_hunter_use_include_01"	"The hunt is on."
"DCG_VO_bounty_hunter_use_include_02"	"I see you."
"DCG_VO_bounty_hunter_use_include_03"	"Someone wants you dead."
"DCG_VO_bounty_hunter_unique_01"	"Oh meepo, don't you get tired of me killing you..."
"DCG_VO_bounty_hunter_unique_02"	"Now which one of you has a bounty..."
"DCG_VO_bounty_hunter_unique_03"	"Meepo. Meepo. Meepo..."
"DCG_VO_bounty_hunter_unique_04"	"A pleasure doing business with the good people of Revtel..."
"DCG_VO_bounty_hunter_unique_05"	"Lord Sunbreeze always pays well..."
"DCG_VO_bounty_hunter_unique_06"	"Give the Brass Herald my regards."
"DCG_VO_bounty_hunter_unique_07"	"Of course someone wants you dead..."
"DCG_VO_bounty_hunter_unique_08"	"God Meepo, what did you do now?"
"DCG_VO_bounty_hunter_unique_09"	"Easy money."
"DCG_VO_bounty_hunter_unique_10"	"Thanks for not making me go all the way to Icewrack."
"DCG_VO_bounty_hunter_unique_11"	"A deal is a deal..."
"DCG_VO_bounty_hunter_unique_12"	"Well if it isn't my lucky day..."
"DCG_VO_bounty_hunter_unique_13"	"I'm sorry about Kwerthias... he paid well."
"DCG_VO_bounty_hunter_unique_14"	"I'm always ready to do work for Revtel..."
"DCG_VO_bounty_hunter_unique_15"	"Stonehall put a bounty on your head Rix."
"DCG_VO_bounty_hunter_unique_16"	"Someone takes issue with your revolution, Rix."
"DCG_VO_bounty_hunter_unique_17"	"You made some powerful enemies..."
"DCG_VO_bounty_hunter_unique_18"	"You made enemies in Revtel..."
"DCG_VO_bounty_hunter_unique_19"	"Oglodi Gold spends just as well..."
"DCG_VO_bounty_hunter_unique_20"	"The war's over for you, Commander..."
"DCG_VO_bounty_hunter_healed_01"	"Ahhh."
"DCG_VO_bounty_hunter_healed_02"	"Grazie."
"DCG_VO_bounty_hunter_healed_03"	"Back on the job."
"DCG_VO_bounty_hunter_healed_04"	"Smart move."
"DCG_VO_bounty_hunter_healed_05"	"Good choice."
"DCG_VO_bounty_hunter_taunt_generic_01"	"Let's make some money."
"DCG_VO_bounty_hunter_taunt_generic_02"	"Time to get paid."
"DCG_VO_bounty_hunter_taunt_generic_03"	"We have to take the tower!"
"DCG_VO_bounty_hunter_taunt_generic_04"	"We're going to win."
"DCG_VO_bounty_hunter_taunt_generic_05"	"Tear it down."
"DCG_VO_bounty_hunter_taunt_generic_06"	"We're not paid by the hour, let's kill some people."
"DCG_VO_bounty_hunter_taunt_generic_07"	"You can't stop me!"
"DCG_VO_bounty_hunter_taunt_generic_08"	"Stay focused people..."
"DCG_VO_bounty_hunter_taunt_generic_09"	"You don't think you can win do you?"
"DCG_VO_bounty_hunter_taunt_generic_10"	"Well what do we have here..."
"DCG_VO_bounty_hunter_potential_kill_01"	"Ti ho in pugno..."
"DCG_VO_bounty_hunter_potential_kill_02"	"Non hai via di scampo."
"DCG_VO_bounty_hunter_potential_kill_03"	"You're not getting away.."
"DCG_VO_bounty_hunter_potential_kill_04"	"I'm about to get paid..."
"DCG_VO_bounty_hunter_potential_kill_05"	"I love my job."
"DCG_VO_bounty_hunter_potential_save_01"	"I don't think so."
"DCG_VO_bounty_hunter_potential_save_02"	"Not gonna happen."
"DCG_VO_bounty_hunter_potential_save_03"	"I didn't live this long by making stupid mistakes..."
"DCG_VO_bounty_hunter_potential_save_04"	"I'm one step ahead of you."
"DCG_VO_bounty_hunter_potential_save_05"	"You think I wasn't ready for that?"
"DCG_VO_bounty_hunter_permanent_armor_01"	"The jobs keep getting more dangerous..."
"DCG_VO_bounty_hunter_permanent_armor_02"	"Don't wanna die on the job..."
"DCG_VO_bounty_hunter_permanent_armor_03"	"Can't spend gold if I'm dead."
"DCG_VO_bounty_hunter_permanent_armor_04"	"They're not droppin' me..."
"DCG_VO_bounty_hunter_permanent_armor_05"	"I'm not lookin' to get killed"
"DCG_VO_bounty_hunter_permanent_attack_01"	"Time to go hunting."
"DCG_VO_bounty_hunter_permanent_attack_02"	"Let's collect our bounty..."
"DCG_VO_bounty_hunter_permanent_attack_03"	"I always find my mark."
"DCG_VO_bounty_hunter_permanent_attack_04"	"I need to prepare..."
"DCG_VO_bounty_hunter_permanent_attack_05"	"Gotta be ready."
"DCG_VO_bounty_hunter_permanent_health_01"	"It's rough out there..."
"DCG_VO_bounty_hunter_permanent_health_02"	"It's important to take care of yourself..."
"DCG_VO_bounty_hunter_permanent_health_03"	"Safety first."
"DCG_VO_bounty_hunter_permanent_health_04"	"A lot of people want me dead..."
"DCG_VO_bounty_hunter_permanent_health_05"	"You don't make to many friends in my line of work..."
"DCG_VO_bounty_hunter_cast_spell_01"	"You hunt enough wizards you pick up a few things..."
"DCG_VO_bounty_hunter_cast_spell_02"	"Don't worry I know some people..."
"DCG_VO_bounty_hunter_cast_spell_03"	"Gotta keep my options open..."
"DCG_VO_bounty_hunter_cast_spell_04"	"I'll reach out to some friends..."
"DCG_VO_bounty_hunter_cast_spell_05"	"Lets see if they were expecting this..."
"DCG_VO_bounty_hunter_cast_spell_06"	"This is going to call for desperate measures."
"DCG_VO_bounty_hunter_cast_spell_07"	"I was hoping to save this..."
"DCG_VO_bounty_hunter_cast_spell_08"	"I'll call in some favors..."
"DCG_VO_bounty_hunter_cast_spell_09"	"Some people owe me..."
"DCG_VO_bounty_hunter_cast_spell_10"	"I'm on it."
"DCG_VO_bounty_hunter_buff_ally_01"	"Here you go."
"DCG_VO_bounty_hunter_buff_ally_02"	"Let's work together."
"DCG_VO_bounty_hunter_buff_ally_03"	"You help me, I'll help you."
"DCG_VO_bounty_hunter_buff_ally_04"	"We're in this together."
"DCG_VO_bounty_hunter_buff_ally_05"	"Let's get these bastards..."
"DCG_VO_bounty_hunter_buff_ally_06"	"I got your back."
"DCG_VO_bounty_hunter_buff_ally_07"	"Dobbiamo guardarci le spalle a vicenda..."
"DCG_VO_bounty_hunter_buff_ally_08"	"we can't help each other if we're dead..."
