"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"W wielu sprawach nie zgadzam się z Pierpontem, ale był dość mądry, by przewidzieć konsekwencje drażnienia Bezlicej Pustki. Nie jestem wielką zwolenniczką układu z Claszureme, chronomancja była bardzo zabawna. Ale wiesz, co jest równie zabawne? Uchronienie swojej osi czasu od unicestwienia."
"DCG_VO_outworld_devourer_angry_02"	"Twoje szaleństwo nie zna granic."
"DCG_VO_outworld_devourer_angry_03"	"Rozczarowujesz mnie..."
"DCG_VO_outworld_devourer_angry_04"	"Zabiję cię za to."
"DCG_VO_outworld_devourer_angry_05"	"Zwą mnie Pożeraczem, głupia istoto. Pokażę ci dlaczego."
"DCG_VO_outworld_devourer_angry_06"	"Nie dane ci będzie zobaczyć końca."
"DCG_VO_outworld_devourer_angry_07"	"Rozzłoszczenie mnie było najgłupszym z pomysłów."
"DCG_VO_outworld_devourer_angry_08"	"Nie znajdziesz litości ani współczucia. "
"DCG_VO_outworld_devourer_angry_09"	"Znaki przemawiają za wojną. Na twoje nieszczęście."
"DCG_VO_outworld_devourer_angry_10"	"Łopot moich skrzydeł zapowiada twój koniec."
"DCG_VO_outworld_devourer_arrogant_01"	"Masz nadzieję? Szaloną, naiwną nadzieję?"
"DCG_VO_outworld_devourer_arrogant_02"	"Wyobrażasz sobie, że zwyciężasz? Jak?"
"DCG_VO_outworld_devourer_arrogant_03"	"Przebij się własnym mieczem, a oszczędzisz nam wszystkim trochę czasu."
"DCG_VO_outworld_devourer_arrogant_04"	"Naprawdę wierzysz, że możesz jeszcze wygrać?"
"DCG_VO_outworld_devourer_arrogant_05"	"Jestem przygotowany na nadejście końca wszystkiego. A ty?"
"DCG_VO_outworld_devourer_arrogant_06"	"Nie możesz pokonać tego, czego nie ogarniasz umysłem, głupia istoto."
"DCG_VO_outworld_devourer_arrogant_07"	"Poddaj się."
"DCG_VO_outworld_devourer_arrogant_08"	"Spotkanie ze mną cię przerosło. To było nieuniknione."
"DCG_VO_outworld_devourer_arrogant_09"	"Widziałem śmierć gwiazd, koniec światów i upadek cywilizacji."
"DCG_VO_outworld_devourer_arrogant_10"	"Nadzieja tak pięknie gasła w twoich oczach."
"DCG_VO_outworld_devourer_enigmatic_01"	"To jest twoje przeznaczenie..."
"DCG_VO_outworld_devourer_enigmatic_02"	"Zrobię, co do mnie należy..."
"DCG_VO_outworld_devourer_enigmatic_03"	"To jest mój prezent dla ciebie..."
"DCG_VO_outworld_devourer_enigmatic_04"	"Nie masz pojęcia, co cię czeka..."
"DCG_VO_outworld_devourer_enigmatic_05"	"Zmienię świat..."
"DCG_VO_outworld_devourer_enigmatic_06"	"Chodźcie, moje sługi..."
"DCG_VO_outworld_devourer_enigmatic_07"	"To dopiero początek..."
"DCG_VO_outworld_devourer_enigmatic_08"	"Tyle jeszcze się stanie..."
"DCG_VO_outworld_devourer_enigmatic_09"	"Twoje życie jest dla mnie igraszką..."
"DCG_VO_outworld_devourer_enigmatic_10"	"Jeszcze nie widzieliście, co naprawdę potrafię..."
"DCG_VO_outworld_devourer_death_01"	"<i>krzyczy</i>"
"DCG_VO_omniknight_intro"	"Coś się dzieje w Różoliściu. Nie chodzi mi o machinę wojenną Kamieniogrodu ani o Czerwoną Mgłę... Nie... To są przyziemne sprawy śmiertelników, zamieszanie odwracające uwagę od prawdziwego zagrożenia. Czyli od dworu ristulskiego. Lecz sam z tym zagrożeniem walczyć nie zdołam, dlatego szukam Luny z zakonu Mrocznego Księżyca. Tylko połączona moc Selimeny i Wszystkowidzącego może dać nam jakieś szanse."
"DCG_VO_omniknight_allseeing_ones_favor"	"Kiedyś zwątpiłem w swą wiarę, lecz to już przeszłość. Wszystkowidzący wybrał mnie, bym był jego czempionem. Nie zawiodę Wszechwiedzy."
"DCG_VO_omniknight_divine_intervention"	"Wszystkowidzący nigdy nie opuszcza swych wybrańców."
"DCG_VO_omniknight_divine_purpose"	"Mój bóg dał mi misję do wypełnienia. Świętą misję. Dopóki ten geis nie zostanie wypełniony, nie poznam, co to klęska."
"DCG_VO_omniknight_selemenes_favor"	"Zakon Mrocznego Księżyca, któremu przewodzi Luna, czci Selimenę, boginię magii i księżyca. Lekceważenie ich mocy jest proszeniem się o nieszczęście."
"DCG_VO_omniknight_use_ability_01"	"Przyjmij błogosławieństwo Wszystkowidzącego."
"DCG_VO_omniknight_use_ability_02"	"To z mojej ręki otrzymasz ratunek."
"DCG_VO_omniknight_use_ability_03"	"Niech spłynie na ciebie łaska Wszechwiedzy..."
"DCG_VO_omniknight_use_ability_04"	"Dla ciebie walka jeszcze się nie skończyła..."
"DCG_VO_omniknight_use_ability_05"	"Nie porzucę cię."
"DCG_VO_omniknight_equip_generic_weapon_01"	"Gotów jestem wyruszyć na krucjatę..."
"DCG_VO_omniknight_equip_generic_weapon_02"	"Wezmę udział w tej walce."
"DCG_VO_omniknight_equip_generic_weapon_03"	"Będę nieść światłość i gniew..."
"DCG_VO_omniknight_equip_generic_weapon_04"	"Heretycy poniosą klęskę."
"DCG_VO_omniknight_equip_generic_weapon_05"	"Będę walczył i zwyciężę."
"DCG_VO_omniknight_equip_generic_armor_01"	"Muszę być przygotowany..."
"DCG_VO_omniknight_equip_generic_armor_02"	"Walka będzie długa..."
"DCG_VO_omniknight_equip_generic_armor_03"	"Nasza sprawa jest słuszna, musimy poczynić przygotowania..."
"DCG_VO_omniknight_equip_generic_armor_04"	"Będę walczył w pierwszej linii..."
"DCG_VO_omniknight_equip_generic_armor_05"	"Kiedyś umrę, ale to nie będzie dzisiaj."
"DCG_VO_omniknight_equip_generic_accessory_01"	"To mnie ochroni."
"DCG_VO_omniknight_equip_generic_accessory_02"	"Będzie czuwać nade mną podczas walki."
"DCG_VO_omniknight_equip_generic_accessory_03"	"Moje podziękowania."
"DCG_VO_omniknight_equip_generic_accessory_04"	"Zrobię z tego dobry użytek."
"DCG_VO_omniknight_equip_generic_accessory_05"	"To się przyda."
"DCG_VO_omniknight_kill_rival_01"	"Padnij przed światłem Wszechwiedzy."
"DCG_VO_omniknight_kill_rival_02"	"Powalę cię!"
"DCG_VO_omniknight_kill_rival_03"	"Niech Wszystkowidzący będzie mi świadkiem!"
"DCG_VO_omniknight_kill_rival_04"	"Spoczywaj w pokoju, żałosna istoto."
"DCG_VO_omniknight_kill_rival_05"	"Odeślę cię do twojego boga!"
"DCG_VO_omniknight_kill_rival_06"	"Pokłoń się przed światłem Wszystkowidzącego!"
"DCG_VO_omniknight_kill_rival_07"	"Przepadnij!"
"DCG_VO_omniknight_kill_rival_08"	"Niestraszni mi heretycy..."
"DCG_VO_omniknight_kill_rival_09"	"Nie wykręcisz się od wyroku. "
"DCG_VO_omniknight_kill_rival_10"	"Wyplenię nieprawość..."
"DCG_VO_omniknight_use_include_01"	"Niech otoczą nas skrzydła Wszechwiedzy."
"DCG_VO_omniknight_use_include_02"	"Wszechwiedza wszystkich kocha i otacza swoją opieką."
"DCG_VO_omniknight_use_include_03"	"Wielki obrońco, spójrz na nas i zapewnij nam swoją opiekę."
"DCG_VO_omniknight_unique_01"	"Dar od samego Wszystkowidzącego."
"DCG_VO_omniknight_unique_02"	"To mroczne czasy, Luno. Musimy działać razem."
"DCG_VO_omniknight_unique_03"	"Dwór ristulski ujawnił swoją obecność... Musimy zrobić to samo."
"DCG_VO_omniknight_unique_04"	"Nie odpowiadam przed Kamieniogrodem..."
"DCG_VO_omniknight_unique_05"	"Nie boję się bezbożnych dzikusów..."
"DCG_VO_omniknight_unique_06"	"Nie jestem twoim wrogiem, Rix. Zaślepia cię nienawiść."
"DCG_VO_omniknight_unique_07"	"Wszystkowidzący wysłał mnie, bym nad tobą czuwał, Rix. Nie musisz się obawiać."
"DCG_VO_omniknight_unique_08"	"Nikt nie umrze, gdy my trzymamy wartę..."
"DCG_VO_omniknight_unique_09"	"Nie mogę zapewnić zwycięstwa vhulom, ale zrobię co w mojej mocy."
"DCG_VO_omniknight_unique_10"	"Fałszywy i obrazoburczy bogu, to mi przypadnie honor, by cię obalić."
"DCG_VO_omniknight_unique_11"	"Musimy się wzajemnie chronić..."
"DCG_VO_omniknight_unique_12"	"Wspólnie uda się nam zniszczyć dwór ristulski!"
"DCG_VO_omniknight_unique_13"	"Selimena udzieliła nam swojego wsparcia..."
"DCG_VO_omniknight_unique_14"	"Wykorzystujecie dzieci, by wygrać wojnę, Rix?"
"DCG_VO_omniknight_unique_15"	"Jesteś wybrykiem natury, Nekrofosie..."
"DCG_VO_omniknight_unique_16"	"Byłbyś potężnym sojusznikiem, Svenie."
"DCG_VO_omniknight_unique_17"	"Twoja lojalność jest dla nas zaszczytem, Svenie."
"DCG_VO_omniknight_unique_18"	"Nie przyjaźnimy się z wyrachowania, prawda, Chen?"
"DCG_VO_omniknight_unique_19"	"Widziałem gorsze sposoby nawracania, Chen."
"DCG_VO_omniknight_unique_20"	"A więc TAK to jest być Rycerzem Kręgu..."
"DCG_VO_omniknight_healed_01"	"Aaach."
"DCG_VO_omniknight_healed_02"	"Jestem oczyszczony!"
"DCG_VO_omniknight_healed_03"	"Wszystkowidzący, oczyść mój umysł!"
"DCG_VO_omniknight_healed_04"	"Wszystkowidzący, wypełnij me serce!"
"DCG_VO_omniknight_healed_05"	"Dziękuję."
"DCG_VO_omniknight_taunt_generic_01"	"Nadchodzi dzień sądu!"
"DCG_VO_omniknight_taunt_generic_02"	"Mój młot jest w służbie Wszystkowiedzącego."
"DCG_VO_omniknight_taunt_generic_03"	"Gdy zawodzi pobożność, nawracam młotem."
"DCG_VO_omniknight_taunt_generic_04"	"Wszechwiedza poprowadzi mnie do zwycięstwa!"
"DCG_VO_omniknight_taunt_generic_05"	"Staniemy murem przeciw wrogom!"
"DCG_VO_omniknight_taunt_generic_06"	"Obronimy Starożytnego!"
"DCG_VO_omniknight_taunt_generic_07"	"Wciąż jest nadzieja!"
"DCG_VO_omniknight_taunt_generic_08"	"Nie poddamy się rozpaczy!"
"DCG_VO_omniknight_taunt_generic_09"	"Wszystkowiedzący mnie prowadzi i chroni nas wszystkich."
"DCG_VO_omniknight_taunt_generic_10"	"Nikt nie będzie sprzeciwiał się woli Wszystkowidzącego!"
"DCG_VO_omniknight_potential_kill_01"	"Nie ma we mnie miłosierdzia."
"DCG_VO_omniknight_potential_kill_02"	"Nie ma dla ciebie ucieczki. "
"DCG_VO_omniknight_potential_kill_03"	"Walka już prawie skończona."
"DCG_VO_omniknight_potential_kill_04"	"To była uczciwa walka."
"DCG_VO_omniknight_potential_kill_05"	"Nadszedł twój czas."
"DCG_VO_omniknight_potential_save_01"	"Śmierć się mnie nie ima..."
"DCG_VO_omniknight_potential_save_02"	"Wszechwiedza czuwa nade mną..."
"DCG_VO_omniknight_potential_save_03"	"Wszystkowidzący mnie oszczędził."
"DCG_VO_omniknight_potential_save_04"	"Moja służba jeszcze się nie skończyła."
"DCG_VO_omniknight_potential_save_05"	"Nigdy się nie poddam!"
"DCG_VO_omniknight_permanent_armor_01"	"Moja dusza należy do Wszystkowidzącego!"
"DCG_VO_omniknight_permanent_armor_02"	"Odrodziłem się w świetle!"
"DCG_VO_omniknight_permanent_armor_03"	"Błogosławieństwo spełnienia poprzez światło Wszechwiedzy."
"DCG_VO_omniknight_permanent_armor_04"	"Żadne zaklęcie nie zniszczy tego, co umocniła Wszechwiedza."
"DCG_VO_omniknight_permanent_armor_05"	"Wiara jest moją tarczą..."
"DCG_VO_omniknight_permanent_attack_01"	"Będę walczył z heretykami..."
"DCG_VO_omniknight_permanent_attack_02"	"Płynie we mnie potęga Wszystkowidzącego..."
"DCG_VO_omniknight_permanent_attack_03"	"Wezwano mnie do walki..."
"DCG_VO_omniknight_permanent_attack_04"	"Znajdę wrogów światła i zniszczę ich."
"DCG_VO_omniknight_permanent_attack_05"	"Jedno spojrzenie Wszechwiedzy potępi heretyków i wyniesie sprawiedliwych."
"DCG_VO_omniknight_permanent_health_01"	"Czuję się wypoczęty..."
"DCG_VO_omniknight_permanent_health_02"	"Moja wola jest ze stali..."
"DCG_VO_omniknight_permanent_health_03"	"Nie porzucę tej walki..."
"DCG_VO_omniknight_permanent_health_04"	"Chwała Wszystkowidzącemu. "
"DCG_VO_omniknight_permanent_health_05"	"Nie zawaham się!"
"DCG_VO_omniknight_cast_spell_01"	"Przygotuj swą duszę!"
"DCG_VO_omniknight_cast_spell_02"	"Wszechwiedza porusza, bo jest niepoznawalna i głęboka."
"DCG_VO_omniknight_cast_spell_03"	"Siła Wszystkowiedzącego."
"DCG_VO_omniknight_cast_spell_04"	"Żyjemy w trudnych czasach..."
"DCG_VO_omniknight_cast_spell_05"	"Czas, by wydarzył się cud..."
"DCG_VO_omniknight_cast_spell_06"	"Nie lękaj się herezji przewrotnych bogów i fałszywych proroków."
"DCG_VO_omniknight_cast_spell_07"	"Będziemy walczyć jak jeden mąż!"
"DCG_VO_omniknight_cast_spell_08"	"Krucjata puka do twoich drzwi!"
"DCG_VO_omniknight_cast_spell_09"	"Śmierć heretykom!"
"DCG_VO_omniknight_cast_spell_10"	"Woli Wszystkowidzącego nie można się sprzeciwiać."
"DCG_VO_omniknight_buff_ally_01"	"Nie lękaj się. Pozwól się prowadzić Wszechwiedzy."
"DCG_VO_omniknight_buff_ally_02"	"Wyszepcz swoje podziękowania dla Wszystkowiedzącego."
"DCG_VO_omniknight_buff_ally_03"	"Wszystkowidzący zna twoje grzechy. Odrzuć je i dołącz do mnie."
"DCG_VO_omniknight_buff_ally_04"	"Oczyść się i zacznij od nowa."
"DCG_VO_omniknight_buff_ally_05"	"Odrzuć strach."
"DCG_VO_omniknight_buff_ally_06"	"Nadszedł czas, byśmy się zjednoczyli..."
"DCG_VO_omniknight_buff_ally_07"	"Obmywa nas święte światło..."
"DCG_VO_omniknight_buff_ally_08"	"Nie zawiedziemy, wypełniając naszą misję..."
"DCG_VO_omniknight_buff_ally_09"	"Razem nie zawiedziemy..."
"DCG_VO_omniknight_buff_ally_10"	"Potrzebuję cię. "
"DCG_VO_omniknight_debuff_enemy_01"	"Podłym się nie powiedzie..."
"DCG_VO_omniknight_debuff_enemy_02"	"Nie zrobisz nam krzywdy..."
"DCG_VO_omniknight_debuff_enemy_03"	"Nie boimy się ciebie..."
"DCG_VO_omniknight_debuff_enemy_04"	"Na kolana przed nami!"
"DCG_VO_omniknight_debuff_enemy_05"	"Wszystkowidzący potępia cię!"
"DCG_VO_omniknight_debuff_enemy_06"	"Podziwiasz teraz jedynie najmniejszy okruch mocy Wszystkowidzącego."
"DCG_VO_omniknight_debuff_enemy_07"	"Twój koniec jest już bliski."
"DCG_VO_omniknight_debuff_enemy_08"	"Wszechwiedza mogłaby cię oszczędzić. Ja tego nie uczynię."
"DCG_VO_omniknight_debuff_enemy_09"	"Jestem w awangardzie Wszystkowiedzącego. To już twój koniec."
"DCG_VO_omniknight_debuff_enemy_10"	"Sprawiedliwość się o ciebie upomina..."
"DCG_VO_omniknight_single_target_damage_01"	"Stawię opór niegodziwcom."
"DCG_VO_omniknight_single_target_damage_02"	"Ja się tym zajmę."
"DCG_VO_omniknight_single_target_damage_03"	"Pokaż swojego ducha walki!"
"DCG_VO_omniknight_single_target_damage_04"	"Nie boję się niczego!"
"DCG_VO_omniknight_single_target_damage_05"	"Walcz ze mną!"
"DCG_VO_omniknight_single_target_damage_06"	"Prawi przetrwają!"
"DCG_VO_omniknight_single_target_damage_07"	"Pokaż, że masz odwagę!"
"DCG_VO_omniknight_single_target_damage_08"	"Ha!"
"DCG_VO_omniknight_single_target_damage_09"	"Wszystkowidzący, daj mi siłę..."
"DCG_VO_omniknight_single_target_damage_10"	"Za Wszystkowidzącego!"
"DCG_VO_omniknight_multi_damage_small_01"	"Szanse nie mają znaczenia..."
"DCG_VO_omniknight_multi_damage_small_02"	"Jeszcze możemy wygrać tę walkę!"
"DCG_VO_omniknight_multi_damage_small_03"	"Wszyscy zostaliście osądzeni!"
"DCG_VO_omniknight_multi_damage_small_04"	"Okażcie skruchę, a będziecie odkupieni!"
"DCG_VO_omniknight_multi_damage_small_05"	"Jesteście zdegenerowaną hałastrą!"
"DCG_VO_omniknight_multi_damage_small_06"	"To robactwo padnie od jednego ciosu..."
"DCG_VO_omniknight_multi_damage_small_07"	"Z podniesionym czołem stajemy do walki z wrogami!"
"DCG_VO_omniknight_multi_damage_small_08"	"Prawi nigdy nie zegną kolan!"
"DCG_VO_omniknight_multi_damage_small_09"	"Nie boimy się was..."
"DCG_VO_omniknight_multi_damage_small_10"	"Zajmę się tym..."
"DCG_VO_omniknight_multi_damage_large_01"	"Na moją świętą przysięgę!"
"DCG_VO_omniknight_multi_damage_large_02"	"Płonie we mnie światło Wszechwiedzy!"
"DCG_VO_omniknight_multi_damage_large_03"	"Wszystko rozpadnie się w ruinę!"
"DCG_VO_omniknight_multi_damage_large_04"	"Wszechwiedza nie pozwoli nam zginąć!"
"DCG_VO_omniknight_multi_damage_large_05"	"Niech twe promienne światło zaleje to pole walki..."
"DCG_VO_omniknight_multi_damage_large_06"	"Moje święte światło was porazi!"
"DCG_VO_omniknight_multi_damage_large_07"	"Spuścimy wam cięgi!"
"DCG_VO_omniknight_multi_damage_large_08"	"Wasze armie upadną!"
"DCG_VO_omniknight_multi_damage_large_09"	"Uciekajcie, póki jeszcze możecie!"
"DCG_VO_omniknight_multi_damage_large_10"	"Nie zostawiacie mi wyboru..."
"DCG_VO_omniknight_pleased_01"	"Jestem dłużnikiem Wszystkowiedzącego."
"DCG_VO_omniknight_pleased_02"	"Namaszczono cię..."
"DCG_VO_omniknight_pleased_03"	"Zostaliśmy wybrani..."
"DCG_VO_omniknight_pleased_04"	"Raduj się, bo Wszystkowidzący nam sprzyja..."
"DCG_VO_omniknight_pleased_05"	"Zaprawdę mój Bóg ma wobec nas dalsze plany..."
"DCG_VO_omniknight_pleased_06"	"Wspólnie zasłużyliśmy na to zwycięstwo..."
"DCG_VO_omniknight_pleased_07"	"Zapomnijmy o przeszłości. Razem wykujemy nowe jutro..."
"DCG_VO_omniknight_pleased_08"	"Bardzo dobrze."
"DCG_VO_omniknight_pleased_09"	"Wspaniale."
"DCG_VO_omniknight_pleased_10"	"Cudownie."
"DCG_VO_omniknight_concerned_01"	"Moja wiara jest niezachwiana."
"DCG_VO_omniknight_concerned_02"	"Mojej woli nie da się złamać..."
"DCG_VO_omniknight_concerned_03"	"Wszystkowidzący mnie nie opuści..."
"DCG_VO_omniknight_concerned_04"	"Potrzebujemy boskiej pomocy..."
"DCG_VO_omniknight_concerned_05"	"Potrzebny nam cud."
"DCG_VO_omniknight_concerned_06"	"Mam nadzieję, żem nie pokładał mylnie wiary..."
"DCG_VO_omniknight_concerned_07"	"To nie może się dziać bez przyczyny..."
"DCG_VO_omniknight_concerned_08"	"Pokaż mi drogę do zbawienia..."
"DCG_VO_omniknight_concerned_09"	"Okoliczności nam nie sprzyjają..."
"DCG_VO_omniknight_concerned_10"	"Nie mogę dopuścić do siebie strachu..."
"DCG_VO_omniknight_angry_01"	"Jak śmiesz?!"
"DCG_VO_omniknight_angry_02"	"Poznasz boski gniew!"
"DCG_VO_omniknight_angry_03"	"We mnie płonie światło, ciebie odrzucono!"
"DCG_VO_omniknight_angry_04"	"Śmiesz atakować sługę bożego?"
"DCG_VO_omniknight_angry_05"	"Wasi magicy są śmiechu warci!"
"DCG_VO_omniknight_angry_06"	"Nigdy nie zegniemy kolan!"
"DCG_VO_omniknight_angry_07"	"Nie ulegniemy!"
"DCG_VO_omniknight_angry_08"	"Zasługujesz na mój gniew!"
"DCG_VO_omniknight_angry_09"	"Dostaniesz to, na co zasługujesz!"
"DCG_VO_omniknight_angry_10"	"Mieliście swoją szansę..."
"DCG_VO_omniknight_arrogant_01"	"Jakie masz szanse w walce ze mną?!"
"DCG_VO_omniknight_arrogant_02"	"Będziesz błagać o litość..."
"DCG_VO_omniknight_arrogant_03"	"Okaż skruchę, a może cię oszczędzę."
"DCG_VO_omniknight_arrogant_04"	"Zawierz swe życie Wszechwiedzy, a spłynie na ciebie jej łaska..."
"DCG_VO_omniknight_arrogant_05"	"Podnieście czoła, bracia, bo dzisiaj walczycie u mego boku."
"DCG_VO_omniknight_arrogant_06"	"Nie poznamy, co znaczy porażka..."
"DCG_VO_omniknight_arrogant_07"	"Spadnie na was osąd i gniew Wszechwiedzy."
"DCG_VO_omniknight_arrogant_08"	"To jest czas sądu..."
"DCG_VO_omniknight_arrogant_09"	"Śmierć fałszywym bogom!"
"DCG_VO_omniknight_arrogant_10"	"Skoro Wszystkowidzący jest po naszej stronie, nie możemy przegrać!"
"DCG_VO_omniknight_enigmatic_01"	"Nie obawiamy się nieznanego..."
"DCG_VO_omniknight_enigmatic_02"	"Śmierć nie ma nade mną władzy..."
"DCG_VO_omniknight_enigmatic_03"	"Nie opuszczę śmiertelnego wymiaru, dopóki taka będzie wola Wszystkowidzącego."
"DCG_VO_omniknight_enigmatic_04"	"Wysłuchajcie słów Wszystkowidzącego."
"DCG_VO_omniknight_enigmatic_05"	"Wszystkowidzący pragnie udzielić nam swego wsparcia."
"DCG_VO_omniknight_enigmatic_06"	"Wierni zostaną nagrodzeni."
"DCG_VO_omniknight_enigmatic_07"	"W wierze tkwi wielka moc."
"DCG_VO_omniknight_enigmatic_08"	"Przeżyjemy."
"DCG_VO_omniknight_enigmatic_09"	"Przetrwamy."
"DCG_VO_omniknight_enigmatic_10"	"Nie wiemy, co to strach."
"DCG_VO_ogre_magi_intro"	"Nie łatwo być najmędrszym ogrem na świecie. Tylu jest wokół zawistników. Zastanów się, ilu znasz ludzi z jedną głową. Założę się, że jest ich wielu. A teraz zauważ, że każdy z nich jest tylko w połowie tak mądry jak my. Czy wiesz, w jakiej samotności przemierza się ten świat, nie znajdując swojego intelektualnego od-... lubimy kamienie! Tak, tak... kamienie."
"DCG_VO_ogre_magi_ignite"	"Sądzę, że jesteśmy pierwszą osobą, która wykoncypowała, że ogień nie służy tylko do gotowania mięsa. Podpala też ludzi. Jeśli nie pierwszą, to na pewno jedną z pięciu pierwszych. "
"DCG_VO_ogre_magi_and_one_for_me"	"Tam, skąd pochodzimy, gdy ogr czegoś chce, po prostu zabija tego, kto akurat to trzyma. Ale ponieważ my tak jakby nie możemy tego zrobić, wymyśliliśmy system dawania i brania przedmiotów bez zabijania. To coś, jak dzielenie się. Ale lepsze, bo my to wymyśliliśmy."
"DCG_VO_ogre_magi_equip_generic_weapon_01"	"Błyszczy."
"DCG_VO_ogre_magi_equip_generic_weapon_02"	"O, podoba mi się. Hej, ja chcę to trzymać!"
"DCG_VO_ogre_magi_equip_generic_weapon_03"	"Dobrze, że dajesz to mnie, ten drugi nie wiedziałby, jak tego używać..."
"DCG_VO_ogre_magi_equip_generic_weapon_04"	"Roztrzaskamy tym kilka głów..."
"DCG_VO_ogre_magi_equip_generic_weapon_05"	"To nie jest kamień... ale się nada."
"DCG_VO_ogre_magi_equip_generic_armor_01"	"Naprawdę wolałbym, żebyśmy mogli mieć dwa hełmy."
"DCG_VO_ogre_magi_equip_generic_armor_02"	"Wystarczy, żeby pancerz zakrywał moją stronę. Słyszałem to!"
"DCG_VO_ogre_magi_equip_generic_armor_03"	"Pamiętaj, że obaj potrzebujemy ochrony."
"DCG_VO_ogre_magi_equip_generic_armor_04"	"O, teraz możemy walczyć..."
"DCG_VO_ogre_magi_equip_generic_armor_05"	"Doceniamy to, że o nas dbasz..."
"DCG_VO_ogre_magi_equip_generic_accessory_01"	"We dwóch jakoś wymyślimy, jak tego używać..."
"DCG_VO_ogre_magi_equip_generic_accessory_02"	"Co to jest? Dobre pytanie... Sprawdźmy."
"DCG_VO_ogre_magi_equip_generic_accessory_03"	"Tym się uderza ludzi? Nie, założymy to na siebie!"
"DCG_VO_ogre_magi_equip_generic_accessory_04"	"Ładne!"
"DCG_VO_ogre_magi_equip_generic_accessory_05"	"O, będziemy się bawić tą małą błyskotką..."
"DCG_VO_ogre_magi_kill_rival_01"	"Ha, ha, ha, ha, ha!"
"DCG_VO_ogre_magi_kill_rival_02"	"Nie robi dużego wrażenia."
"DCG_VO_ogre_magi_kill_rival_03"	"Nieźle ci przywaliłem!"
"DCG_VO_ogre_magi_kill_rival_04"	"Nie masz dość siły, żeby nas powstrzymać."
"DCG_VO_ogre_magi_kill_rival_05"	"Zabiłem cię! Nie, to ja! Nie, to ja!"
"DCG_VO_ogre_magi_kill_rival_06"	"Ha, ha, ha, ha, ha!"
"DCG_VO_ogre_magi_kill_rival_07"	"Dwie głowy są lepsze niż to krwawiące coś, tam gdzie twoja głowa... była... Przepraszam, wymsknęła mi się."
"DCG_VO_ogre_magi_kill_rival_08"	"Jesteśmy niepowstrzymani!"
"DCG_VO_ogre_magi_kill_rival_09"	"Mam cię!"
"DCG_VO_ogre_magi_kill_rival_10"	"Łatwizna..."
"DCG_VO_ogre_magi_use_include_01"	"Płoń... PŁOŃ!"
"DCG_VO_ogre_magi_use_include_02"	"Pokażmy im, co potrafimy zrobić. Ja się zgadzam..."
"DCG_VO_ogre_magi_use_include_03"	"Najbardziej lubię, jak zaczynamy wszystko podpalać..."
"DCG_VO_ogre_magi_unique_01"	"Za mną, bracie..."
"DCG_VO_ogre_magi_unique_02"	"Ruszaj do walki za swoim magiem!"
"DCG_VO_ogre_magi_unique_03"	"Myślę, że chciałbym pracować dla Brązowego Legionu. Nie, nie. Nie chcieliśmy."
"DCG_VO_ogre_magi_unique_04"	"Nawet o tym nie myśl, nie dołączamy do Legionu. Ja mogę. Lepiej nie."
"DCG_VO_ogre_magi_unique_05"	"A nie mówiłem ci, że Brązowy Legion dobrze traktuje ogry!"
"DCG_VO_ogre_magi_unique_06"	"Ciekawe, jak daleko potrafisz rzucić tym kolesiem..."
"DCG_VO_ogre_magi_unique_07"	"Eee, nie ma kim rzucić..."
"DCG_VO_ogre_magi_unique_08"	"Brązowy Legion zrobił z ciebie niewolnika!"
"DCG_VO_ogre_magi_unique_09"	"Przykro mi, bracie..."
"DCG_VO_ogre_magi_unique_10"	"Nie chcemy tego robić, ale nie dajesz nam wyboru..."
"DCG_VO_ogre_magi_unique_11"	"Zapłacisz za to, co zrobiłeś naszemu ludowi! Dobrze powiedział!"
"DCG_VO_ogre_magi_unique_12"	"Masz fajne włosy."
"DCG_VO_ogre_magi_unique_13"	"Masz fajne włosy."
"DCG_VO_ogre_magi_unique_14"	"Nie martw się, Kanna. Przekonam tego tutaj, żeby dołączyć do Mrocznych..."
"DCG_VO_ogre_magi_unique_15"	"Jesteś pewien, że możemy jej ufać? Okłamałbym cię?"
"DCG_VO_ogre_magi_unique_16"	"Nie martw się, Prellex. Przekonam tego tutaj, żeby dołączyć do Świetlistych..."
"DCG_VO_ogre_magi_unique_17"	"Jesteś pewien, że możemy jej ufać? Okłamałbym cię?"
"DCG_VO_ogre_magi_unique_18"	"Widzieliśmy, co zrobił Legion... Nie, on widział, ja spałem. Chodzi o to, że jesteśmy z tobą, Rix."
"DCG_VO_ogre_magi_unique_19"	"Niewyparzona gęba mówi, że jesteś w prawie, Rix..."
"DCG_VO_ogre_magi_unique_20"	"Jeśli my pomożemy tobie... potem ty pomożesz nam uwolnić naszych..."
"DCG_VO_ogre_magi_healed_01"	"Aaach."
"DCG_VO_ogre_magi_healed_02"	"Dzięki."
"DCG_VO_ogre_magi_healed_03"	"Dzięki."
"DCG_VO_ogre_magi_healed_04"	"Potrzebowaliśmy tego."
"DCG_VO_ogre_magi_healed_05"	"Czuję się lepiej... Ja też!"
"DCG_VO_ogre_magi_taunt_generic_01"	"Po prostu zostaw to nam..."
"DCG_VO_ogre_magi_taunt_generic_02"	"Nie martw się, mamy plan – ja mam plan, tak powiedziałem..."
"DCG_VO_ogre_magi_taunt_generic_03"	"Nie wyjdziesz stąd żywcem..."
