"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont et moi ne sommes pas d’accord sur beaucoup de choses, mais je dois admettre qu’il a raison de craindre la colère du Sans-visage. Le traité de Claszureme ne m'enchante guère... la chronomancie c’est bien, mais vous savez ce qui est encore mieux ? Ne pas voir son existence entièrement effacée."
"DCG_VO_lich_unique_17"	"J'ai lu tes livres, Vouivre... une lecture fascinante..."
"DCG_VO_lich_unique_18"	"Belplume n'est qu'une feuilliste, Découpeur. J'ai hâte de la tuer."
"DCG_VO_lich_unique_19"	"Tu crois pouvoir défendre les Landes de glace contre moi ?"
"DCG_VO_lich_unique_20"	"Tu es donc la Protectrice des Landes de glace... Je m'attendais à plus impressionnant."
"DCG_VO_lich_healed_01"	"Aaah"
"DCG_VO_lich_healed_02"	"Je commençais à m'inquiéter..."
"DCG_VO_lich_healed_03"	"Mon heure n'est pas encore arrivée."
"DCG_VO_lich_healed_04"	"Je ne suis pas revenu d'entre les morts pour mourir ici..."
"DCG_VO_lich_healed_05"	"Je n'ai pas fini de me battre..."
"DCG_VO_lich_taunt_generic_01"	"Notre victoire est assurée."
"DCG_VO_lich_taunt_generic_02"	"Détruisons la tour !"
"DCG_VO_lich_taunt_generic_03"	"Brûlons l'Ancien !"
"DCG_VO_lich_taunt_generic_04"	"Tuez-les tous !"
"DCG_VO_lich_taunt_generic_05"	"Ne laissons aucun survivant !"
"DCG_VO_lich_taunt_generic_06"	"C'est l'heure d'en finir..."
"DCG_VO_lich_taunt_generic_07"	"Ils se soumettront... C'est ça ou la mort."
"DCG_VO_lich_taunt_generic_08"	"Ne montrez aucune pitié."
"DCG_VO_lich_taunt_generic_09"	"Mettez-les à genoux."
"DCG_VO_lich_taunt_generic_10"	"La mort frappe rapidement..."
"DCG_VO_lich_potential_kill_01"	"Tu vas bientôt souffrir..."
"DCG_VO_lich_potential_kill_02"	"Nul ne m'arrêtera."
"DCG_VO_lich_potential_kill_03"	"J'ai hâte de te voir mourir..."
"DCG_VO_lich_potential_kill_04"	"Tu n'as pas assez de force."
"DCG_VO_lich_potential_kill_05"	"Ton âme est faible."
"DCG_VO_lich_potential_save_01"	"La mort ne me trouvera pas."
"DCG_VO_lich_potential_save_02"	"Je ne compte pas mourir à nouveau."
"DCG_VO_lich_potential_save_03"	"J'ai déjà trompé la mort... je recommencerai."
"DCG_VO_lich_potential_save_04"	"Ma magie est plus forte..."
"DCG_VO_lich_potential_save_05"	"Au moins, tu auras essayé..."
"DCG_VO_lich_permanent_armor_01"	"Tu ne peux même pas m'égratigner."
"DCG_VO_lich_permanent_armor_02"	"Je suis protégé..."
"DCG_VO_lich_permanent_armor_03"	"Je ne crains aucune lame."
"DCG_VO_lich_permanent_armor_04"	"Ma puissance grandit."
"DCG_VO_lich_permanent_armor_05"	"Aucun mal ne me sera fait."
"DCG_VO_lich_permanent_attack_01"	"Je suis prêt à semer la mort."
"DCG_VO_lich_permanent_attack_02"	"Ils se briseront à mon contact."
"DCG_VO_lich_permanent_attack_03"	"J'aimerais bien les voir essayer de me résister..."
"DCG_VO_lich_permanent_attack_04"	"Je me renforce."
"DCG_VO_lich_permanent_attack_05"	"La puissance augmente en moi."
"DCG_VO_lich_permanent_health_01"	"Ma vigueur augmente de jour en jour..."
"DCG_VO_lich_permanent_health_02"	"Je suis très résistant."
"DCG_VO_lich_permanent_health_03"	"Je peux supporter les pires douleurs."
"DCG_VO_lich_permanent_health_04"	"Je sais faire face à l'adversité..."
"DCG_VO_lich_permanent_health_05"	"Je suis prêt pour la bataille..."
"DCG_VO_lich_cast_spell_01"	"J'apporte la tristesse..."
"DCG_VO_lich_cast_spell_02"	"Mes sortilèges sont sans précédent..."
"DCG_VO_lich_cast_spell_03"	"Un vent froid souffle..."
"DCG_VO_lich_cast_spell_04"	"Ma magie noire prospère."
"DCG_VO_lich_cast_spell_05"	"Oh, toutes les horreurs qui m'accompagnent..."
"DCG_VO_lich_cast_spell_06"	"Nos ennemis vont s'écrouler..."
"DCG_VO_lich_cast_spell_07"	"Ma magie est sans pitié..."
"DCG_VO_lich_cast_spell_08"	"Je n'ai pas peur d'utiliser ce pouvoir..."
"DCG_VO_lich_cast_spell_09"	"Ils me rendront hommage."
"DCG_VO_lich_cast_spell_10"	"Même un monstre a besoin d'alliés..."
"DCG_VO_lich_buff_ally_01"	"Tu sens cette puissance ?"
"DCG_VO_lich_buff_ally_02"	"Tu es digne..."
"DCG_VO_lich_buff_ally_03"	"Nous en tuerons beaucoup."
"DCG_VO_lich_buff_ally_04"	"Laisse-moi te guider vers la victoire..."
"DCG_VO_lich_buff_ally_05"	"Je peux être ton ami."
"DCG_VO_lich_buff_ally_06"	"Nous devons conspirer contre nos ennemis..."
"DCG_VO_lich_buff_ally_07"	"Un gage de mon estime."
"DCG_VO_lich_buff_ally_08"	"Tu mérites mon respect."
"DCG_VO_lich_buff_ally_09"	"Je ne vais pas te sacrifier, pas encore."
"DCG_VO_lich_buff_ally_10"	"Tu n'auras pas résisté assez longtemps."
"DCG_VO_lich_debuff_enemy_01"	"Il y a bien pire que la mort..."
"DCG_VO_lich_debuff_enemy_02"	"Les mortels sont si fragiles..."
"DCG_VO_lich_debuff_enemy_03"	"Je vais savourer cet instant."
"DCG_VO_lich_debuff_enemy_04"	"Ton temps est compté..."
"DCG_VO_lich_debuff_enemy_05"	"Tu t'affaiblis chaque seconde..."
"DCG_VO_lich_debuff_enemy_06"	"Ça ne fait que commencer..."
"DCG_VO_lich_debuff_enemy_07"	"Ta souffrance est un vrai délice..."
"DCG_VO_lich_debuff_enemy_08"	"Tu ne seras bientôt plus qu'une coquille vide..."
"DCG_VO_lich_debuff_enemy_09"	"Tu n'es qu'un jouet pour moi..."
"DCG_VO_lich_debuff_enemy_10"	"Je vais te briser."
"DCG_VO_lich_single_target_damage_01"	"Meurs !"
"DCG_VO_lich_single_target_damage_02"	"C'est fini pour toi."
"DCG_VO_lich_single_target_damage_03"	"Tu ne survivras pas."
"DCG_VO_lich_single_target_damage_04"	"Tu m'appartiens."
"DCG_VO_lich_single_target_damage_05"	"Je vais t'ajouter à mon tableau de chasse."
"DCG_VO_lich_single_target_damage_06"	"Tu ne peux pas te cacher !"
"DCG_VO_lich_single_target_damage_07"	"La mort t'attend."
"DCG_VO_lich_single_target_damage_08"	"Fuis si tu le peux."
"DCG_VO_lich_single_target_damage_09"	"Tu vas sentir une étreinte glaciale..."
"DCG_VO_lich_single_target_damage_10"	"Il n'y a point de salut pour toi..."
"DCG_VO_lich_multi_damage_small_01"	"Vos cadavres témoigneront de ma puissance..."
"DCG_VO_lich_multi_damage_small_02"	"Tant de personnes à tuer !"
"DCG_VO_lich_multi_damage_small_03"	"J'ai du pain sur la planche."
"DCG_VO_lich_multi_damage_small_04"	"Vous mourrez tous un jour ou l'autre."
"DCG_VO_lich_multi_damage_small_05"	"Ma magie suffira pour tous vous tuer..."
"DCG_VO_lich_multi_damage_small_06"	"Vous allez vous tordre de douleur..."
"DCG_VO_lich_multi_damage_small_07"	"Aucun de vous ne sera épargné."
"DCG_VO_lich_multi_damage_small_08"	"Je n'ai aucune pitié à offrir."
"DCG_VO_lich_multi_damage_small_09"	"Suppliez-moi."
"DCG_VO_lich_multi_damage_small_10"	"Ça sera pas bien long."
"DCG_VO_lich_multi_damage_large_01"	"Je ferai de cet endroit une fosse commune."
"DCG_VO_lich_multi_damage_large_02"	"HA HA HA HA HA"
"DCG_VO_lich_multi_damage_large_03"	"Nul ne peut me résister."
"DCG_VO_lich_multi_damage_large_04"	"VOUS ALLEZ TOUS MOURIR !"
"DCG_VO_lich_multi_damage_large_05"	"Ma puissance est absolue."
"DCG_VO_lich_multi_damage_large_06"	"Tremblez devant moi !"
"DCG_VO_lich_multi_damage_large_07"	"Mourez.... MOUREZ !"
"DCG_VO_lich_multi_damage_large_08"	"Tout ceci me fatigue."
"DCG_VO_lich_multi_damage_large_09"	"C'est ici que ça se termine."
"DCG_VO_lich_multi_damage_large_10"	"La bataille est terminée."
"DCG_VO_lich_pleased_01"	"Merveilleux !"
"DCG_VO_lich_pleased_02"	"Fantastique !"
"DCG_VO_lich_pleased_03"	"Quelle belle journée !"
"DCG_VO_lich_pleased_04"	"Ça se passe bien."
"DCG_VO_lich_pleased_05"	"Tout se déroule comme prévu."
"DCG_VO_lich_pleased_06"	"La victoire est à portée de main."
"DCG_VO_lich_pleased_07"	"Nous ne pouvons pas échouer."
"DCG_VO_lich_pleased_08"	"C'est ce qui était prévu."
"DCG_VO_lich_pleased_09"	"Voilà qui est plus que satisfaisant..."
"DCG_VO_lich_pleased_10"	"Magnifique."
"DCG_VO_lich_concerned_01"	"Comment est-ce possible ?"
"DCG_VO_lich_concerned_02"	"Qu'est-ce qui se passe ?"
"DCG_VO_lich_concerned_03"	"Ce n'est pas possible..."
"DCG_VO_lich_concerned_04"	"Pourquoi ça ne marche pas ?"
"DCG_VO_lich_concerned_05"	"Pourquoi ma magie est-elle inefficace ?"
"DCG_VO_lich_concerned_06"	"Non !"
"DCG_VO_lich_concerned_07"	"Je perds ?"
"DCG_VO_lich_concerned_08"	"Impossible !"
"DCG_VO_lich_concerned_09"	"Ça ne devait pas se passer ainsi..."
"DCG_VO_lich_concerned_10"	"Ce n'est pas de ma faute !"
"DCG_VO_lich_angry_01"	"Tu oses ?"
"DCG_VO_lich_angry_02"	"Tu vas affronter mon courroux !"
"DCG_VO_lich_angry_03"	"Tu vas souffrir."
"DCG_VO_lich_angry_04"	"Je ne vais pas tolérer ça !"
"DCG_VO_lich_angry_05"	"Ça va mal finir pour toi..."
"DCG_VO_lich_angry_06"	"Tu n'aurais pas dû venir..."
"DCG_VO_lich_angry_07"	"J'espère que tu vas pas te laisser faire..."
"DCG_VO_lich_angry_08"	"Tu ne vivras pas pour regretter ta folie..."
"DCG_VO_lich_angry_09"	"Tes cris résonneront dans la jungle..."
"DCG_VO_lich_angry_10"	"Je n'ai rien d'autre à t'offrir que la mort."
"DCG_VO_lich_arrogant_01"	"On dirait qu'ils n'essaient même pas..."
"DCG_VO_lich_arrogant_02"	"Tu ne peux pas rivaliser avec moi..."
"DCG_VO_lich_arrogant_03"	"Un peu de respect, je suis là..."
"DCG_VO_lich_arrogant_04"	"Tu as besoin de mon aide, pas vrai ?"
"DCG_VO_lich_arrogant_05"	"Personne ne s'oppose au Mage-liche."
"DCG_VO_lich_arrogant_06"	"Tu ne mérites pas de vivre..."
"DCG_VO_lich_arrogant_07"	"Aghanim lui-même ne peut pas m'arrêter..."
"DCG_VO_lich_arrogant_08"	"Je vais t'enseigner la vraie puissance..."
"DCG_VO_lich_arrogant_09"	"Rien ne m'est impossible..."
"DCG_VO_lich_arrogant_10"	"Ma volonté est inébranlable."
"DCG_VO_lich_enigmatic_01"	"Voici le prix de la puissance."
"DCG_VO_lich_enigmatic_02"	"Un sacrifice peut être une chose noble."
"DCG_VO_lich_enigmatic_03"	"La cour de Ristul est une ressource puissante."
"DCG_VO_lich_enigmatic_04"	"La puissance ne sert à rien si tu as peur de l'utiliser."
"DCG_VO_lich_enigmatic_05"	"Je consumerai tout ce qui s'opposera à moi."
"DCG_VO_lich_enigmatic_06"	"Mon ambition est sans limites."
"DCG_VO_lich_enigmatic_07"	"Faut pas avoir l'air surpris."
"DCG_VO_lich_enigmatic_08"	"J'espère que tu as fait la paix avec tes dieux…"
"DCG_VO_lich_enigmatic_09"	"C'est la preuve de mon pouvoir."
"DCG_VO_lich_enigmatic_10"	"Il n'est pas sage de me sous-estimer."
"DCG_VO_lich_death_01"	"<i>Cris</i>"
"DCG_VO_enchantress_intro"	"Rix. Tresdin. Sorla Khan. Chacun y va de sa propre histoire pour justifier sa cause, et ils se trompent tous. Cette guerre est absurde, son coût sera incommensurable et les seuls qui vont en profiter sont les futurs historiens qui vendront des livres sur le massacre. Je ne peux empêcher la guerre... mais je ferai mon possible pour en réduire les dégâts au maximum."
"DCG_VO_enchantress_restoration_effort"	"La fin de la guerre finira bien par arriver et les armées se disperseront... C'est là que le vrai travail commencera."
"DCG_VO_enchantress_soul_of_spring"	"L'espoir ne meurt jamais, il ne fait que sommeiller... et si les conditions sont bonnes, il peut refaire surface."
"DCG_VO_enchantress_the_cover_of_night"	"Ne t'en fais pas. Je voyage toujours de nuit.  "
"DCG_VO_enchantress_verdant_refuge"	"Je ne suis pas une guerrière. Je suis une protectrice. Tu as encore le temps de t'enfuir, mais si tu tentes de les blesser, je te promets que tu vas passer un mauvais moment."
"DCG_VO_enchantress_defensive_bloom"	"Je protège la forêt et elle me protège en retour."
"DCG_VO_enchantress_homefield_advantage"	"Avec leurs armures, il est difficile de tuer les soldats de la Légion de bronze mais très facile de les distancer... "
"DCG_VO_enchantress_equip_generic_weapon_01"	"J'irai les affronter."
"DCG_VO_enchantress_equip_generic_weapon_02"	"Je ne veux pas m'en servir mais je le ferai."
"DCG_VO_enchantress_equip_generic_weapon_03"	"Je déteste en arriver là."
"DCG_VO_enchantress_equip_generic_weapon_04"	"<i>Soupir</i>"
"DCG_VO_enchantress_equip_generic_weapon_05"	"Si seulement il existait un meilleur moyen."
"DCG_VO_enchantress_equip_generic_armor_01"	"Nous devons faire attention."
"DCG_VO_enchantress_equip_generic_armor_02"	"Je n'irai nulle part..."
"DCG_VO_enchantress_equip_generic_armor_03"	"Parfait."
"DCG_VO_enchantress_equip_generic_armor_04"	"Je suis prête à combattre."
"DCG_VO_enchantress_equip_generic_armor_05"	"Nous y voilà..."
"DCG_VO_enchantress_equip_generic_accessory_01"	"Ça fera l'affaire."
"DCG_VO_enchantress_equip_generic_accessory_02"	"C'est exactement ce que je voulais..."
"DCG_VO_enchantress_equip_generic_accessory_03"	"Ok... très bien, ça va le faire."
"DCG_VO_enchantress_equip_generic_accessory_04"	"Ça devrait faire la différence."
"DCG_VO_enchantress_equip_generic_accessory_05"	"Merci !"
"DCG_VO_enchantress_kill_rival_01"	"Je suis désolée !"
"DCG_VO_enchantress_kill_rival_02"	"Tu n'as rien à faire ici !"
"DCG_VO_enchantress_kill_rival_03"	"Tu ne me laisses pas le choix !"
"DCG_VO_enchantress_kill_rival_04"	"Fuis !"
"DCG_VO_enchantress_kill_rival_05"	"Va-t’en !"
"DCG_VO_enchantress_kill_rival_06"	"Tu ne gagneras pas !"
"DCG_VO_enchantress_kill_rival_07"	"Nous n'avons pas peur de combattre !"
"DCG_VO_enchantress_kill_rival_08"	"Je vais t'éliminer !"
"DCG_VO_enchantress_kill_rival_09"	"Je ne voulais pas faire ça."
"DCG_VO_enchantress_kill_rival_10"	"C'était toi ou moi !"
"DCG_VO_enchantress_use_include_01"	"Je vais vous protéger !"
"DCG_VO_enchantress_use_include_02"	"Je vais faire en sorte que cet endroit soit plus sûr..."
"DCG_VO_enchantress_use_include_03"	"Je ferai tout ce que je peux..."
"DCG_VO_enchantress_unique_01"	"Je suis contente que tu sois là Sylverbe. On doit veiller les uns sur les autres..."
"DCG_VO_enchantress_unique_02"	"Si nous ne protégeons pas la forêt, qui le fera ?"
"DCG_VO_enchantress_unique_03"	"Si on ne meurt pas ici, ça serait génial de rattraper le temps perdu..."
"DCG_VO_enchantress_unique_04"	"C'est toujours sympa de passer du temps avec les Tréants..."
"DCG_VO_enchantress_unique_05"	"Traxex, je ne suis pas là pour aider Kanna, mais pour te protéger d'elle."
"DCG_VO_enchantress_unique_06"	"Oh, on va faire du super boulot ensemble, j'en suis sûre..."
"DCG_VO_enchantress_unique_07"	"Lycan, c'est toujours un plaisir de t'avoir à mes côtés."
"DCG_VO_enchantress_unique_08"	"Nous maintiendrons la Brume rouge hors de Rosefoliole !"
"DCG_VO_enchantress_unique_09"	"Il doit exister un meilleur moyen que ça, Rix."
"DCG_VO_enchantress_unique_10"	"Il doit exister un meilleur moyen de protéger Pierrefort, Tresdin."
"DCG_VO_enchantress_unique_11"	"C'est de la folie, Rix. "
"DCG_VO_enchantress_unique_12"	"Bon sang, Traxex... Qu'est-ce que tu as fait ?"
"DCG_VO_enchantress_unique_13"	"Les Oglodis ont leurs propres terres. Ne touchez pas à celles des Vhouls !"
"DCG_VO_enchantress_unique_14"	"Sorla, ramène ta horde chez toi, tant qu'il est encore temps..."
"DCG_VO_enchantress_unique_15"	"Les Keens profaneraient ces lieux..."
"DCG_VO_enchantress_unique_16"	"Laisse les arbres en paix, Déboiseur."
"DCG_VO_enchantress_unique_17"	"J'ignore ce que tu lui as fait, Kanna, mais je compte bien libérer Traxex de ton emprise."
"DCG_VO_enchantress_unique_18"	"Je me sens... bizarre..."
"DCG_VO_enchantress_unique_19"	"Je n'aurais jamais dû douter de ta puissance, Kanna..."
"DCG_VO_enchantress_unique_20"	"Galanius n'a pas besoin de Rosefoliole, Tresdin. Laisse les Vhouls tranquilles..."
"DCG_VO_enchantress_healed_01"	"Aaah"
"DCG_VO_enchantress_healed_02"	"Merci..."
"DCG_VO_enchantress_healed_03"	"Je me sens mieux."
"DCG_VO_enchantress_healed_04"	"Je peux continuer..."
"DCG_VO_enchantress_healed_05"	"Je n'abandonnerai pas."
"DCG_VO_enchantress_taunt_generic_01"	"Ce lieu est sous ma protection !"
"DCG_VO_enchantress_taunt_generic_02"	"On peut gagner !"
"DCG_VO_enchantress_taunt_generic_03"	"Nous ne laisserons pas la tour tomber !"
"DCG_VO_enchantress_taunt_generic_04"	"Nous protégerons l'Ancien !"
"DCG_VO_enchantress_taunt_generic_05"	"Nous devons travailler ensemble !"
"DCG_VO_enchantress_taunt_generic_06"	"Nous n'échouerons pas !"
"DCG_VO_enchantress_taunt_generic_07"	"Reste près de moi !"
"DCG_VO_enchantress_taunt_generic_08"	"Ensemble, nous pouvons survivre !"
"DCG_VO_enchantress_taunt_generic_09"	"Tenez bon !"
"DCG_VO_enchantress_taunt_generic_10"	"Ils ne passeront pas !"
"DCG_VO_enchantress_potential_kill_01"	"Tu peux encore prendre la fuite..."
"DCG_VO_enchantress_potential_kill_02"	"Tu ne m'as pas laissé d'autre choix..."
"DCG_VO_enchantress_potential_kill_03"	"J'aurais préféré ne pas en arriver là..."
"DCG_VO_enchantress_potential_kill_04"	"Je vais t'arrêter !"
"DCG_VO_enchantress_potential_kill_05"	"C'est terminé !"
"DCG_VO_enchantress_potential_save_01"	"Je suis plus résistante qu'il n'y paraît..."
"DCG_VO_enchantress_potential_save_02"	"Ça ne sera pas si facile..."
"DCG_VO_enchantress_potential_save_03"	"Je ne me laisserai pas faire..."
"DCG_VO_enchantress_potential_save_04"	"C'était moins une..."
"DCG_VO_enchantress_potential_save_05"	"<i>Pffff</i> Je commençais à m'inquiéter..."
"DCG_VO_enchantress_permanent_armor_01"	"Voilà qui est agréable."
"DCG_VO_enchantress_permanent_armor_02"	"Je me sens déjà plus sûre..."
"DCG_VO_enchantress_permanent_armor_03"	"Je ne compte aller nulle part..."
"DCG_VO_enchantress_permanent_armor_04"	"Je ne me laisserai pas chasser aussi facilement..."
"DCG_VO_enchantress_permanent_armor_05"	"J'aimerais bien voir ces centaures venir me chercher maintenant..."
"DCG_VO_enchantress_permanent_attack_01"	"Je dois affiler ma lance..."
"DCG_VO_enchantress_permanent_attack_02"	"Je peux me battre quand il le faut."
"DCG_VO_enchantress_permanent_attack_03"	"Je sais me battre..."
"DCG_VO_enchantress_permanent_attack_04"	"Je n'ai pas peur de me battre..."
"DCG_VO_enchantress_permanent_attack_05"	"Je ferai le nécessaire..."
"DCG_VO_enchantress_permanent_health_01"	"Je me sens plutôt bien !"
"DCG_VO_enchantress_permanent_health_02"	"Je me sens revigorée !"
"DCG_VO_enchantress_permanent_health_03"	"Je ne peux pas quitter le champ de bataille... Il y a encore beaucoup à faire...."
"DCG_VO_enchantress_permanent_health_04"	"Avant de m'occuper des autres, je dois prendre soin de moi..."
"DCG_VO_enchantress_permanent_health_05"	"Je suis prête à tout..."
"DCG_VO_enchantress_cast_spell_01"	"La nature veille..."
"DCG_VO_enchantress_cast_spell_02"	"Nous pouvons survivre à cet hiver..."
"DCG_VO_enchantress_cast_spell_03"	"La forêt est un lieu où il ne fait pas bon se perdre..."
"DCG_VO_enchantress_cast_spell_04"	"La forêt est magnifique... mais aussi dangereuse..."
"DCG_VO_enchantress_cast_spell_05"	"Admire !"
"DCG_VO_enchantress_cast_spell_06"	"Ah !"
"DCG_VO_enchantress_cast_spell_07"	"Tu ne t'attendais pas à ça, pas vrai ?"
"DCG_VO_enchantress_cast_spell_08"	"Je ne fais que commencer..."
"DCG_VO_enchantress_cast_spell_09"	"Ça ne fait que commencer..."
"DCG_VO_enchantress_cast_spell_10"	"Pars tant que tu le peux..."
"DCG_VO_enchantress_buff_ally_01"	"Savoure les richesses de la nature..."
"DCG_VO_enchantress_buff_ally_02"	"Tiens !"
"DCG_VO_enchantress_buff_ally_03"	"Nous sommes amis, non ?"
"DCG_VO_enchantress_buff_ally_04"	"Je vais prendre soin de toi !"
"DCG_VO_enchantress_buff_ally_05"	"Laisse-moi t'aider !"
"DCG_VO_enchantress_buff_ally_06"	"Je suis là pour toi !"
"DCG_VO_enchantress_buff_ally_07"	"Cette bataille nous concerne tous..."
"DCG_VO_enchantress_buff_ally_08"	"On doit veiller les uns sur les autres..."
"DCG_VO_enchantress_buff_ally_09"	"Je t'en prie, laisse-moi t'aider..."
"DCG_VO_enchantress_buff_ally_10"	"Fais-moi confiance."
"DCG_VO_enchantress_debuff_enemy_01"	"Tu devrais faire plus attention..."
"DCG_VO_enchantress_debuff_enemy_02"	"Tu n'as pas l'air en forme..."
"DCG_VO_enchantress_debuff_enemy_03"	"Tu vas trop loin..."
"DCG_VO_enchantress_debuff_enemy_04"	"Ça va mal finir pour toi..."
"DCG_VO_enchantress_debuff_enemy_05"	"Tu n'es rien à mes côtés..."
"DCG_VO_enchantress_debuff_enemy_06"	"Je m'en occupe !"
"DCG_VO_enchantress_debuff_enemy_07"	"Je vais m'occuper de ça..."
"DCG_VO_enchantress_debuff_enemy_08"	"Tu ne fais pas si peur que ça..."
"DCG_VO_enchantress_debuff_enemy_09"	"Voyons si tu peux nous blesser maintenant..."
"DCG_VO_enchantress_debuff_enemy_10"	"On ne va pas se laisser faire !"
"DCG_VO_enchantress_single_target_damage_01"	"Je les vois..."
"DCG_VO_enchantress_single_target_damage_02"	"Je n'ai pas peur de vous !"
"DCG_VO_enchantress_single_target_damage_03"	"Je n'ai pas peur de me battre !"
"DCG_VO_enchantress_single_target_damage_04"	"Tu ne gagneras jamais !"
"DCG_VO_enchantress_single_target_damage_05"	"Tu es à ma merci !"
"DCG_VO_enchantress_single_target_damage_06"	"Je suis prête..."
"DCG_VO_enchantress_single_target_damage_07"	"Je m'attendais à bien mieux venant de toi..."
"DCG_VO_enchantress_single_target_damage_08"	"Montre-moi de quel bois tu te chauffes !"
"DCG_VO_enchantress_single_target_damage_09"	"Finissons-en !"
"DCG_VO_enchantress_single_target_damage_10"	"Et dire que j'étais inquiète pendant un instant..."
"DCG_VO_enchantress_multi_damage_small_01"	"Je m'occupe des sbires..."
"DCG_VO_enchantress_multi_damage_small_02"	"Je peux m'occuper d'eux."
"DCG_VO_enchantress_multi_damage_small_03"	"Peu importe combien vous êtes..."
"DCG_VO_enchantress_multi_damage_small_04"	"Au final, peu importe combien vous êtes."
"DCG_VO_enchantress_multi_damage_small_05"	"Nous tiendrons bon !"
"DCG_VO_enchantress_multi_damage_small_06"	"Vous n'êtes pas assez pour nous arrêter..."
"DCG_VO_enchantress_multi_damage_small_07"	"Il en faudra bien plus que ça pour m'arrêter..."
"DCG_VO_enchantress_multi_damage_small_08"	"Là tout de suite, je parie que vous aimeriez avoir de meilleurs amis..."
"DCG_VO_enchantress_multi_damage_small_09"	"C'est notre forêt !"
"DCG_VO_enchantress_multi_damage_small_10"	"Vous ne passerez pas !"
"DCG_VO_enchantress_multi_damage_large_01"	"SENTEZ LA FUREUR DE LA NATURE !"
"DCG_VO_enchantress_multi_damage_large_02"	"La nature n'est pas clémente..."
"DCG_VO_enchantress_multi_damage_large_03"	"Venir ici est la dernière erreur que vous ferez..."
"DCG_VO_enchantress_multi_damage_large_04"	"À mon tour."
"DCG_VO_enchantress_multi_damage_large_05"	"C'est la fin pour vous."
"DCG_VO_enchantress_multi_damage_large_06"	"Fini de jouer."
"DCG_VO_enchantress_multi_damage_large_07"	"J'ai essayé d'être sympa..."
"DCG_VO_enchantress_multi_damage_large_08"	"Vous ne pouvez vous en prendre qu'à vous..."
"DCG_VO_enchantress_multi_damage_large_09"	"C'est la fin de votre aventure..."
"DCG_VO_enchantress_multi_damage_large_10"	"Ne vous en faites pas, des fleurs pousseront sur vos cadavres..."
"DCG_VO_enchantress_pleased_01"	"Tu sais ce que j'aime ? Absolument tout !"
"DCG_VO_enchantress_pleased_02"	"Ça se passe relativement bien pas vrai..."
"DCG_VO_enchantress_pleased_03"	"Fantastique..."
"DCG_VO_enchantress_pleased_04"	"Fabuleux !"
"DCG_VO_enchantress_pleased_05"	"Ça devrait fonctionner..."
"DCG_VO_enchantress_pleased_06"	"J'aime bien la tournure que ça prend."
"DCG_VO_enchantress_pleased_07"	"C'est un bon début..."
"DCG_VO_enchantress_pleased_08"	"J'ai comme une envie de chanter. Je n'y céderai pas, mais l'envie est là..."
"DCG_VO_enchantress_pleased_09"	"Quelle belle journée !"
"DCG_VO_enchantress_pleased_10"	"C'est super !"
"DCG_VO_enchantress_concerned_01"	"Oh là là..."
"DCG_VO_enchantress_concerned_02"	"Voilà qui est troublant..."
"DCG_VO_enchantress_concerned_03"	"Je suis perplexe..."
"DCG_VO_enchantress_concerned_04"	"J'espère que ça va marcher..."
"DCG_VO_enchantress_concerned_05"	"Je n'ai plus aucune option..."
"DCG_VO_enchantress_concerned_06"	"Je ne peux pas échouer maintenant..."
"DCG_VO_enchantress_concerned_07"	"Nous sommes arrivés si loin... Nous ne pouvons pas abandonner..."
"DCG_VO_enchantress_concerned_08"	"C'est une époque dangereuse..."
"DCG_VO_enchantress_concerned_09"	"Comment en sommes-nous arrivés là ?"
"DCG_VO_enchantress_concerned_10"	"Ça devient dur de rester optimiste..."
"DCG_VO_enchantress_angry_01"	"Comment as-tu pu ?!"
"DCG_VO_enchantress_angry_02"	"Tu crois que je ne vais pas riposter ?"
"DCG_VO_enchantress_angry_03"	"Tu vas devoir payer !"
"DCG_VO_enchantress_angry_04"	"Je ne vais pas te laisser gagner !"
"DCG_VO_enchantress_angry_05"	"C'est la fin pour toi !"
"DCG_VO_enchantress_angry_06"	"Tu as dépassé les bornes !"
"DCG_VO_enchantress_angry_07"	"Finissons-en !"
"DCG_VO_enchantress_angry_08"	"La nature me protégera !"
"DCG_VO_enchantress_angry_09"	"Tu ne quitteras pas cette forêt en vie !"
"DCG_VO_enchantress_angry_10"	"Finissons-en maintenant !"
"DCG_VO_enchantress_arrogant_01"	"Je suis l'Enchanteresse ! Je parle au nom de la forêt vivante."
"DCG_VO_enchantress_arrogant_02"	"Trop facile..."
"DCG_VO_enchantress_arrogant_03"	"C'est donc ça l'armée que tout le monde craignait ?"
"DCG_VO_enchantress_arrogant_04"	"Je m'inquiétais pour rien..."
"DCG_VO_enchantress_arrogant_05"	"Tu n'es pas aussi perspicace que tu le crois."
"DCG_VO_enchantress_arrogant_06"	"Tu m'as pris pour une potiche ?"
"DCG_VO_enchantress_arrogant_07"	"Tu pensais pouvoir me battre ?"
"DCG_VO_enchantress_arrogant_08"	"Je ferai mon possible pour que tu ne ressentes aucune douleur..."
"DCG_VO_enchantress_arrogant_09"	"Tu n'a jamais eu la moindre chance..."
"DCG_VO_enchantress_arrogant_10"	"On ne peut pas tuer la voix de la nature..."
"DCG_VO_enchantress_enigmatic_01"	"Certains prix valent la peine d'être payés..."
"DCG_VO_enchantress_enigmatic_02"	"Je rêve de voir cette guerre terminer."
