"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont and I don’t agree on a lot of things, but he was wise to recognize the dangers of angering The Faceless Void. I'm not super wild about the Claszureme Treaty, Chronomancy was a lot of fun. But you know what's also fun? Not having your timeline obliterated."
"DCG_VO_enchantress_concerned_01"	"Oh dear..."
"DCG_VO_enchantress_concerned_02"	"This is troubling..."
"DCG_VO_enchantress_concerned_03"	"I don't know about this..."
"DCG_VO_enchantress_concerned_04"	"This better work..."
"DCG_VO_enchantress_concerned_05"	"I'm running out of options..."
"DCG_VO_enchantress_concerned_06"	"I can't fail now..."
"DCG_VO_enchantress_concerned_07"	"We've come so far... we can't give up..."
"DCG_VO_enchantress_concerned_08"	"These are dangerous times..."
"DCG_VO_enchantress_concerned_09"	"How did things get so out of hand?"
"DCG_VO_enchantress_concerned_10"	"It's getting hard to stay optimistic..."
"DCG_VO_enchantress_angry_01"	"How could you?!"
"DCG_VO_enchantress_angry_02"	"You think I won't fight back?"
"DCG_VO_enchantress_angry_03"	"You have a lot to answer for!"
"DCG_VO_enchantress_angry_04"	"I won't let you win!"
"DCG_VO_enchantress_angry_05"	"This will be the end of you!"
"DCG_VO_enchantress_angry_06"	"You've gone too far!"
"DCG_VO_enchantress_angry_07"	"This ends now!"
"DCG_VO_enchantress_angry_08"	"Nature will protect me!"
"DCG_VO_enchantress_angry_09"	"You won't leave these woods alive!"
"DCG_VO_enchantress_angry_10"	"We end this now!"
"DCG_VO_enchantress_arrogant_01"	"I am the Enchantress! Speaker for the living forest."
"DCG_VO_enchantress_arrogant_02"	"Too easy..."
"DCG_VO_enchantress_arrogant_03"	"This is the army people were worried about?"
"DCG_VO_enchantress_arrogant_04"	"Looks like I was getting worried for nothing..."
"DCG_VO_enchantress_arrogant_05"	"You're not half as clever as you think you are..."
"DCG_VO_enchantress_arrogant_06"	"Did you think I was just a pretty face?"
"DCG_VO_enchantress_arrogant_07"	"You thought you were better than me?"
"DCG_VO_enchantress_arrogant_08"	"I'll make it as painless as I can..."
"DCG_VO_enchantress_arrogant_09"	"You never really had a chance...."
"DCG_VO_enchantress_arrogant_10"	"You can't kill the voice of nature..."
"DCG_VO_enchantress_enigmatic_01"	"There are some prices worth paying..."
"DCG_VO_enchantress_enigmatic_02"	"I dream to see an end to this war."
"DCG_VO_enchantress_enigmatic_03"	"There are no winners in war, only survivors..."
"DCG_VO_enchantress_enigmatic_04"	"Perhaps some good will come of this..."
"DCG_VO_enchantress_enigmatic_05"	"I wonder if our side is in the right."
"DCG_VO_enchantress_enigmatic_06"	"If you won't listen to reason, I have no choice..."
"DCG_VO_enchantress_enigmatic_07"	"I'll make you listen to reason..."
"DCG_VO_enchantress_enigmatic_08"	"Nature works in mysterious ways..."
"DCG_VO_enchantress_enigmatic_09"	"We all have our parts to play, don't we..."
"DCG_VO_enchantress_enigmatic_10"	"The forest will reclaim you..."
"DCG_VO_earthshaker_intro"	"My existence shouldn't be. I was not born of a mother, but from a rock...and yet I was carved by no artisan. No... I willed my consciousness into being.  For so long, I walked alone... confused... but that all changed when I met Kanna. I was rudderless, and she gave me direction. I was ignorant of the ways of man, and she gave me understanding. I was alone in this world, and she gave me companionship.  But above all, she gave me a name and sense of self. Once I called myself Raigor Stonehoof...but she has given me a new name that is far more fitting... Earthshaker."
"DCG_VO_earthshaker_echo_slam"	"Prellex is raising an army to destroy her daughter, but I won't allow that to happen. Let them come in droves... no one will get past me."
"DCG_VO_earthshaker_use_ability_01"	"Fissure!"
"DCG_VO_earthshaker_use_ability_02"	"The earth splinters at my touch!"
"DCG_VO_earthshaker_use_ability_03"	"Time to divide and conquer..."
"DCG_VO_earthshaker_use_ability_04"	"Not so fast!"
"DCG_VO_earthshaker_use_ability_05"	"I don't think so!"
"DCG_VO_earthshaker_equip_generic_weapon_01"	"perfect"
"DCG_VO_earthshaker_equip_generic_weapon_02"	"This compliments my totem nicely..."
"DCG_VO_earthshaker_equip_generic_weapon_03"	"This will give me the edge I need..."
"DCG_VO_earthshaker_equip_generic_weapon_04"	"I can take on anyone..."
"DCG_VO_earthshaker_equip_generic_weapon_05"	"Ready for battle."
"DCG_VO_earthshaker_equip_generic_armor_01"	"I need to protect myself..."
"DCG_VO_earthshaker_equip_generic_armor_02"	"flesh is so weak..."
"DCG_VO_earthshaker_equip_generic_armor_03"	"I won't foolishly rush to battle."
"DCG_VO_earthshaker_equip_generic_armor_04"	"Preparation is key to victory..."
"DCG_VO_earthshaker_equip_generic_armor_05"	"This will keep me safe..."
"DCG_VO_earthshaker_equip_generic_accessory_01"	"This will come in handy..."
"DCG_VO_earthshaker_equip_generic_accessory_02"	"I needed this."
"DCG_VO_earthshaker_equip_generic_accessory_03"	"Exactly what I was looking for."
"DCG_VO_earthshaker_equip_generic_accessory_04"	"I'll be sure to use this."
"DCG_VO_earthshaker_equip_generic_accessory_05"	"Ahhh the trinkets of men..."
"DCG_VO_earthshaker_kill_rival_01"	"It's over!"
"DCG_VO_earthshaker_kill_rival_02"	"You don't have a chance!"
"DCG_VO_earthshaker_kill_rival_03"	"You can't stop us!"
"DCG_VO_earthshaker_kill_rival_04"	"I won't be denied!"
"DCG_VO_earthshaker_kill_rival_05"	"My will is unmatched!"
"DCG_VO_earthshaker_kill_rival_06"	"No one will get in my way!"
"DCG_VO_earthshaker_kill_rival_07"	"I will bury you..."
"DCG_VO_earthshaker_kill_rival_08"	"I will leave you broken."
"DCG_VO_earthshaker_kill_rival_09"	"There's no escape from me."
"DCG_VO_earthshaker_kill_rival_10"	"I'll leave you in the rubble..."
"DCG_VO_earthshaker_use_include_01"	"Echo Slam!"
"DCG_VO_earthshaker_use_include_02"	"Feel the might of Earthshaker!"
"DCG_VO_earthshaker_use_include_03"	"Tremble at my power!"
"DCG_VO_earthshaker_unique_01"	"Hahahahaha"
"DCG_VO_earthshaker_unique_02"	"I will change the tide!"
"DCG_VO_earthshaker_unique_03"	"Leave these cretins to me..."
"DCG_VO_earthshaker_unique_04"	"Echo...slam?"
"DCG_VO_earthshaker_unique_05"	"I swear it's normally much more impressive..."
"DCG_VO_earthshaker_unique_06"	"Bring all the zealots you want Prellex, it will be your undoing."
"DCG_VO_earthshaker_unique_07"	"I will dismantle your entire army..."
"DCG_VO_earthshaker_unique_08"	"A shame you wont live long enough to reconcile with your daughter..."
"DCG_VO_earthshaker_unique_09"	"I'm not scared of your army."
"DCG_VO_earthshaker_unique_10"	"Bring your minions Kanna... they will only work against you."
"DCG_VO_earthshaker_unique_11"	"You will be crushed under the weight of your own war machine, Kanna...."
"DCG_VO_earthshaker_unique_12"	"I look forward to squashing your children beneath my totem..."
"DCG_VO_earthshaker_unique_13"	"I'll cleanse the jungle of your foul presence..."
"DCG_VO_earthshaker_unique_14"	"I'm not scared of an overgrown banana..."
"DCG_VO_earthshaker_unique_15"	"The earth trembles beneath me..."
"DCG_VO_earthshaker_unique_16"	"I can split the earth whenever I want..."
"DCG_VO_earthshaker_unique_17"	"I put my faith in you Kanna, and this is how you repay me?"
"DCG_VO_earthshaker_unique_18"	"You gave me purpose Kanna, and for that I will always be in your debt."
"DCG_VO_earthshaker_unique_19"	"I never had a family until I met you, Kanna."
"DCG_VO_earthshaker_unique_20"	"I won't fail you Kanna"
"DCG_VO_earthshaker_healed_01"	"Ahhh"
"DCG_VO_earthshaker_healed_02"	"Thank you."
"DCG_VO_earthshaker_healed_03"	"Many thanks."
"DCG_VO_earthshaker_healed_04"	"Appreciated."
"DCG_VO_earthshaker_healed_05"	"I was getting worried."
"DCG_VO_earthshaker_taunt_generic_01"	"It will all be over soon."
"DCG_VO_earthshaker_taunt_generic_02"	"Victory is only a matter of time."
"DCG_VO_earthshaker_taunt_generic_03"	"Soon the ancient will fall."
"DCG_VO_earthshaker_taunt_generic_04"	"They can't hold on forever..."
"DCG_VO_earthshaker_taunt_generic_05"	"Time to end this fight!"
"DCG_VO_earthshaker_taunt_generic_06"	"Destroy our enemies!"
"DCG_VO_earthshaker_taunt_generic_07"	"Crush all who oppose us!"
"DCG_VO_earthshaker_taunt_generic_08"	"Leave no one standing!"
"DCG_VO_earthshaker_taunt_generic_09"	"End this now!"
"DCG_VO_earthshaker_taunt_generic_10"	"Bring the tower down!"
"DCG_VO_earthshaker_potential_kill_01"	"You're outmatched."
"DCG_VO_earthshaker_potential_kill_02"	"You can't escape me!"
"DCG_VO_earthshaker_potential_kill_03"	"Accept your fate..."
"DCG_VO_earthshaker_potential_kill_04"	"You fought well, but its not enough..."
"DCG_VO_earthshaker_potential_kill_05"	"You won't win."
"DCG_VO_earthshaker_potential_save_01"	"I didn't come this far just to die."
"DCG_VO_earthshaker_potential_save_02"	"You can't kill me."
"DCG_VO_earthshaker_potential_save_03"	"I won't be easy prey..."
"DCG_VO_earthshaker_potential_save_04"	"I'm not giving up..."
"DCG_VO_earthshaker_potential_save_05"	"You'll have to do better than that..."
"DCG_VO_earthshaker_permanent_armor_01"	"My flesh toughens..."
"DCG_VO_earthshaker_permanent_armor_02"	"You can't kill that which was born from rock..."
"DCG_VO_earthshaker_permanent_armor_03"	"Tougher by the moment..."
"DCG_VO_earthshaker_permanent_armor_04"	"I fear no blade."
"DCG_VO_earthshaker_permanent_armor_05"	"I'm not afraid of conflict..."
"DCG_VO_earthshaker_permanent_attack_01"	"My totem grows in strength..."
"DCG_VO_earthshaker_permanent_attack_02"	"The power of the earth flows through me.."
"DCG_VO_earthshaker_permanent_attack_03"	"I'm stronger now."
"DCG_VO_earthshaker_permanent_attack_04"	"Give me an enemy to crush."
"DCG_VO_earthshaker_permanent_attack_05"	"I'll destroy all who get in my way."
"DCG_VO_earthshaker_permanent_health_01"	"I cannot die."
"DCG_VO_earthshaker_permanent_health_02"	"I'm even stronger now..."
"DCG_VO_earthshaker_permanent_health_03"	"I won't go down without a fight..."
"DCG_VO_earthshaker_permanent_health_04"	"Let's see them try to get past me..."
"DCG_VO_earthshaker_permanent_health_05"	"I'm tougher than ever..."
"DCG_VO_earthshaker_cast_spell_01"	"Feel my power!"
"DCG_VO_earthshaker_cast_spell_02"	"You're no match for my will!"
"DCG_VO_earthshaker_cast_spell_03"	"You're not ready for this..."
"DCG_VO_earthshaker_cast_spell_04"	"I'll tear the earth asunder!"
"DCG_VO_earthshaker_cast_spell_05"	"I control this battlefield!"
"DCG_VO_earthshaker_cast_spell_06"	"Ha!"
"DCG_VO_earthshaker_cast_spell_07"	"You think you can challenge me?"
"DCG_VO_earthshaker_cast_spell_08"	"This is just a taste of what's to come..."
"DCG_VO_earthshaker_cast_spell_09"	"You can't last forever..."
"DCG_VO_earthshaker_cast_spell_10"	"Your time is running out..."
"DCG_VO_earthshaker_buff_ally_01"	"Share in my strength..."
"DCG_VO_earthshaker_buff_ally_02"	"I've come to your aid..."
"DCG_VO_earthshaker_buff_ally_03"	"We stand together..."
"DCG_VO_earthshaker_buff_ally_04"	"Stand strong..."
"DCG_VO_earthshaker_buff_ally_05"	"You will survive this battle..."
"DCG_VO_earthshaker_buff_ally_06"	"Crush our enemies..."
"DCG_VO_earthshaker_buff_ally_07"	"Be strong."
"DCG_VO_earthshaker_buff_ally_08"	"We cannot fail..."
"DCG_VO_earthshaker_buff_ally_09"	"A blessing from the Earthshaker..."
"DCG_VO_earthshaker_buff_ally_10"	"I will help you, as Kanna helped me..."
"DCG_VO_earthshaker_debuff_enemy_01"	"You're crumbling before my eyes..."
"DCG_VO_earthshaker_debuff_enemy_02"	"What chance do you have?"
"DCG_VO_earthshaker_debuff_enemy_03"	"You can't stop the inevitable..."
"DCG_VO_earthshaker_debuff_enemy_04"	"Death will come for you soon..."
"DCG_VO_earthshaker_debuff_enemy_05"	"You're living on borrowed time..."
"DCG_VO_earthshaker_debuff_enemy_06"	"You'll fall in due time..."
"DCG_VO_earthshaker_debuff_enemy_07"	"Not so mighty any more, are you?"
"DCG_VO_earthshaker_debuff_enemy_08"	"Just give up, it's only going to get worse."
"DCG_VO_earthshaker_debuff_enemy_09"	"You're a shell of what you used to be..."
"DCG_VO_earthshaker_debuff_enemy_10"	"I'll break you down piece by piece..."
"DCG_VO_earthshaker_single_target_damage_01"	"You're mine."
"DCG_VO_earthshaker_single_target_damage_02"	"I have you now..."
"DCG_VO_earthshaker_single_target_damage_03"	"I have more power than you can fathom..."
"DCG_VO_earthshaker_single_target_damage_04"	"Too easy..."
"DCG_VO_earthshaker_single_target_damage_05"	"I'm just getting started..."
"DCG_VO_earthshaker_single_target_damage_06"	"Feel my strength..."
"DCG_VO_earthshaker_single_target_damage_07"	"I will destroy you..."
"DCG_VO_earthshaker_single_target_damage_08"	"Your life is forfeit..."
"DCG_VO_earthshaker_single_target_damage_09"	"You can't stand against us..."
"DCG_VO_earthshaker_single_target_damage_10"	"You were never going to win..."
"DCG_VO_earthshaker_multi_damage_small_01"	"This is a fraction of what I'm capable of..."
"DCG_VO_earthshaker_multi_damage_small_02"	"I can handle these worms..."
"DCG_VO_earthshaker_multi_damage_small_03"	"I'll take you all on!"
"DCG_VO_earthshaker_multi_damage_small_04"	"Leave this to me..."
"DCG_VO_earthshaker_multi_damage_small_05"	"Allow me to make some room..."
"DCG_VO_earthshaker_multi_damage_small_06"	"Let me declutter the battlefield..."
"DCG_VO_earthshaker_multi_damage_small_07"	"I'll remove these...distractions..."
"DCG_VO_earthshaker_multi_damage_small_08"	"I'm not scared of minions..."
"DCG_VO_earthshaker_multi_damage_small_09"	"Time to even the odds..."
"DCG_VO_earthshaker_multi_damage_small_10"	"Let me remind you who you're dealing with..."
"DCG_VO_earthshaker_multi_damage_large_01"	"WE GO TOGETHER!"
"DCG_VO_earthshaker_multi_damage_large_02"	"It's all over!"
"DCG_VO_earthshaker_multi_damage_large_03"	"It ends here!"
"DCG_VO_earthshaker_multi_damage_large_04"	"Feel the power of Earthshaker!"
"DCG_VO_earthshaker_multi_damage_large_05"	"There is no limit to my power..."
"DCG_VO_earthshaker_multi_damage_large_06"	"You've left me no choice..."
"DCG_VO_earthshaker_multi_damage_large_07"	"This is the end for you..."
"DCG_VO_earthshaker_multi_damage_large_08"	"BEHOLD MY POWER!"
"DCG_VO_earthshaker_multi_damage_large_09"	"I will crack the mountains wide!"
"DCG_VO_earthshaker_multi_damage_large_10"	"This is the extent of my power!"
"DCG_VO_earthshaker_pleased_01"	"Good."
"DCG_VO_earthshaker_pleased_02"	"Well done."
"DCG_VO_earthshaker_pleased_03"	"Acceptable."
"DCG_VO_earthshaker_pleased_04"	"This is working nicely..."
"DCG_VO_earthshaker_pleased_05"	"Just as we planned."
"DCG_VO_earthshaker_pleased_06"	"Hmmm"
"DCG_VO_earthshaker_pleased_07"	"Yes!"
"DCG_VO_earthshaker_pleased_08"	"That was unexpected..."
"DCG_VO_earthshaker_pleased_09"	"Interesting..."
"DCG_VO_earthshaker_pleased_10"	"Oooo...."
"DCG_VO_earthshaker_concerned_01"	"Hmmmm"
"DCG_VO_earthshaker_concerned_02"	"We need a plan..."
"DCG_VO_earthshaker_concerned_03"	"This is not ideal..."
"DCG_VO_earthshaker_concerned_04"	"We can pull this off... I think..."
"DCG_VO_earthshaker_concerned_05"	"This is troubling..."
"DCG_VO_earthshaker_concerned_06"	"We need to figure this out..."
"DCG_VO_earthshaker_concerned_07"	"This is a problem..."
"DCG_VO_earthshaker_concerned_08"	"We have to stop them..."
"DCG_VO_earthshaker_concerned_09"	"we're running out of time.."
"DCG_VO_earthshaker_concerned_10"	"We need to think fast..."
"DCG_VO_earthshaker_angry_01"	"Damn!"
"DCG_VO_earthshaker_angry_02"	"Oh come on!"
"DCG_VO_earthshaker_angry_03"	"This is absurd!"
"DCG_VO_earthshaker_angry_04"	"Unbelievable!"
"DCG_VO_earthshaker_angry_05"	"How dare you!"
"DCG_VO_earthshaker_angry_06"	"This is madness!"
"DCG_VO_earthshaker_angry_07"	"You brought this on yourself!"
"DCG_VO_earthshaker_angry_08"	"You'll pay for that!"
"DCG_VO_earthshaker_angry_09"	"I will grind your body to dust..."
"DCG_VO_earthshaker_angry_10"	"I'll bury you in the earth..."
"DCG_VO_earthshaker_arrogant_01"	"Who dare oppose me?"
"DCG_VO_earthshaker_arrogant_02"	"Pathetic..."
"DCG_VO_earthshaker_arrogant_03"	"I was expecting a challenge..."
"DCG_VO_earthshaker_arrogant_04"	"This is no test of my skill..."
"DCG_VO_earthshaker_arrogant_05"	"I could crush you with the wave of my hand..."
"DCG_VO_earthshaker_arrogant_06"	"Yield now, and spare yourself the humiliation..."
"DCG_VO_earthshaker_arrogant_07"	"There's no shame in admitting you're outmatched..."
"DCG_VO_earthshaker_arrogant_08"	"You were never my equal."
"DCG_VO_earthshaker_arrogant_09"	"This was over from the moment you walked on the battlefield..."
"DCG_VO_earthshaker_arrogant_10"	"Do I need to remind you who I am?"
"DCG_VO_earthshaker_enigmatic_01"	"The drum of war beats loudly..."
"DCG_VO_earthshaker_enigmatic_02"	"I am elemental earth made flesh."
"DCG_VO_earthshaker_enigmatic_03"	"The power of the earth itself courses through me..."
"DCG_VO_earthshaker_enigmatic_04"	"I fear nothing."
"DCG_VO_earthshaker_enigmatic_05"	"No one is my equal..."
"DCG_VO_earthshaker_enigmatic_06"	"You're about to behold something wondrous and terrible..."
"DCG_VO_earthshaker_enigmatic_07"	"My totem calls to me..."
"DCG_VO_earthshaker_enigmatic_08"	"That drum you hear is the sound of your undoing..."
"DCG_VO_earthshaker_enigmatic_09"	"Better to die on this battlefield than to live as a rock..."
"DCG_VO_earthshaker_enigmatic_10"	"My soul is unbreakable..."
"DCG_VO_earthshaker_death_01"	"<i>Screams</i>"
"DCG_VO_drow_ranger_intro"	"Power is a funny thing. It's something we all want but are taught to be ashamed to seek. But power is neither good nor evil. It's freedom, It's the ability to live the life you choose, on the terms that you want. People like to criticize where that power came from but in time, history forgets... and only remembers what you chose to do with it. People can judge me for helping Kanna. But in time they will understand."
"DCG_VO_drow_avernus_blessing_new"	"If Abaddon isn't willing to share the Mist of Avernus, I'll just have to find a way to take it."
"DCG_VO_drow_ranger_caught_unprepared"	"You don't need a gun, just a drop on the guy who has one."
"DCG_VO_drow_ranger_friendly_fire"	"Friends always let you down."
"DCG_VO_drow_ranger_grazing_shot"	"Listen I'm not saying Wind Ranger is a bad shot, I'm saying she's an aggressively mediocre shot."
"DCG_VO_drow_ranger_gust"	"Never take victory for granted... the moment you assume there's nothing an enemy can do to stop you, is the moment you're most likely to lose."
"DCG_VO_drow_ranger_juke"	"I've lived a long as I have because I always stay mobile..."
"DCG_VO_drow_ranger_equip_generic_weapon_01"	"Just what I needed..."
"DCG_VO_drow_ranger_equip_generic_weapon_02"	"I'll make short work of my enemies."
"DCG_VO_drow_ranger_equip_generic_weapon_03"	"There's nothing I can't hunt."
"DCG_VO_drow_ranger_equip_generic_weapon_04"	"I think I can make this work..."
"DCG_VO_drow_ranger_equip_generic_weapon_05"	"I'd run if I were you..."
"DCG_VO_drow_ranger_equip_generic_armor_01"	"I'm not leaving the battlefield..."
"DCG_VO_drow_ranger_equip_generic_armor_02"	"Good, I want to be around as long as I can."
"DCG_VO_drow_ranger_equip_generic_armor_03"	"Smart investment."
"DCG_VO_drow_ranger_equip_generic_armor_04"	"I'm always one step ahead..."
"DCG_VO_drow_ranger_equip_generic_armor_05"	"I'm a survivor..."
"DCG_VO_drow_ranger_equip_generic_accessory_01"	"The longer I'm alive, the longer I can help the rest of you..."
"DCG_VO_drow_ranger_equip_generic_accessory_02"	"I'm not going anywhere."
"DCG_VO_drow_ranger_equip_generic_accessory_03"	"I can use this..."
"DCG_VO_drow_ranger_equip_generic_accessory_04"	"Perfect."
"DCG_VO_drow_ranger_equip_generic_accessory_05"	"Just what I was looking for."
"DCG_VO_drow_ranger_kill_rival_01"	"You won't survive this."
"DCG_VO_drow_ranger_kill_rival_02"	"Goodnight."
"DCG_VO_drow_ranger_kill_rival_03"	"It's not personal."
"DCG_VO_drow_ranger_kill_rival_04"	"You were never leaving this place."
"DCG_VO_drow_ranger_kill_rival_05"	"You never should have came here."
"DCG_VO_drow_ranger_kill_rival_06"	"No one is my equal."
"DCG_VO_drow_ranger_kill_rival_07"	"There's no shame in dying to the best."
"DCG_VO_drow_ranger_kill_rival_08"	"It was inevitable."
"DCG_VO_drow_ranger_kill_rival_09"	"Let's see that twerp Wind Ranger do that..."
"DCG_VO_drow_ranger_kill_rival_10"	"Too easy."
"DCG_VO_drow_ranger_use_include_01"	"I don't think so..."
"DCG_VO_drow_ranger_use_include_02"	"Be silent."
"DCG_VO_drow_ranger_use_include_03"	"No more tricks."
"DCG_VO_drow_ranger_unique_01"	"At least you'll die with a smile on your face."
"DCG_VO_drow_ranger_unique_02"	"You're a zealot Prellex..."
"DCG_VO_drow_ranger_unique_03"	"You've gone too far, Kanna..."
"DCG_VO_drow_ranger_unique_04"	"I love working with you Rooftrellen..."
"DCG_VO_drow_ranger_unique_05"	"This is my time of triumph, not yours..."
"DCG_VO_drow_ranger_unique_06"	"Oh no you don't!"
"DCG_VO_drow_ranger_unique_07"	"I'm not taking any chances..."
"DCG_VO_drow_ranger_unique_08"	"I'm not going to wait and find out what you had planned..."
"DCG_VO_drow_ranger_unique_09"	"A deal's a deal Kanna, just remember to hold up your end of the bargain."
"DCG_VO_drow_ranger_unique_10"	"You have power Kanna, I can respect that..."
"DCG_VO_drow_ranger_unique_11"	"I'll help, but don't expect me to worship a rock anytime soon..."
"DCG_VO_drow_ranger_unique_12"	"So long as you don’t expect me to go to your little temple we'll get along just fine."
"DCG_VO_drow_ranger_unique_13"	"You are a freakishly cheerful woman Rylai..."
"DCG_VO_drow_ranger_unique_14"	"It's not a bow, but it's close enough."
"DCG_VO_drow_ranger_unique_15"	"I think its time I call a few friends..."
"DCG_VO_drow_ranger_unique_16"	"I'll lead you to victory..."
"DCG_VO_drow_ranger_unique_17"	"Stick with me and well win this in no time..."
"DCG_VO_drow_ranger_unique_18"	"I'm sorry about what happened to your family Lycan..."
"DCG_VO_drow_ranger_unique_19"	"The longer you can keep me alive the better"
"DCG_VO_drow_ranger_unique_20"	"Keep me safe Rooftrellen, I have work to do..."
"DCG_VO_drow_ranger_healed_01"	"Ahhh"
"DCG_VO_drow_ranger_healed_02"	"Thanks"
"DCG_VO_drow_ranger_healed_03"	"I appreciate it"
"DCG_VO_drow_ranger_healed_04"	"I'm not used to acts of kindness"
"DCG_VO_drow_ranger_healed_05"	"I owe you."
"DCG_VO_drow_ranger_taunt_generic_01"	"Leave this to me...."
"DCG_VO_drow_ranger_taunt_generic_02"	"This won't take long..."
"DCG_VO_drow_ranger_taunt_generic_03"	"They're really going to hate me..."
"DCG_VO_drow_ranger_taunt_generic_04"	"They know we're a threat.."
"DCG_VO_drow_ranger_taunt_generic_05"	"Don't get cocky."
"DCG_VO_drow_ranger_taunt_generic_06"	"This is our battle to lose."
"DCG_VO_drow_ranger_taunt_generic_07"	"This is going to be fun..."
"DCG_VO_drow_ranger_taunt_generic_08"	"We have them right were we want them..."
"DCG_VO_drow_ranger_taunt_generic_09"	"Just like I planned."
"DCG_VO_drow_ranger_taunt_generic_10"	"This is going easier than I thought..."
"DCG_VO_drow_ranger_potential_kill_01"	"Say goodnight."
"DCG_VO_drow_ranger_potential_kill_02"	"Sweet dreams."
"DCG_VO_drow_ranger_potential_kill_03"	"Goodbye."
"DCG_VO_drow_ranger_potential_kill_04"	"I'll make it quick."
"DCG_VO_drow_ranger_potential_kill_05"	"Don't worry, it'll be a clean death."
"DCG_VO_drow_ranger_potential_save_01"	"You really thought you could kill me?"
"DCG_VO_drow_ranger_potential_save_02"	"You're not in my league."
"DCG_VO_drow_ranger_potential_save_03"	"Nice try."
"DCG_VO_drow_ranger_potential_save_04"	"Not today."
"DCG_VO_drow_ranger_potential_save_05"	"I'm not dying today."
"DCG_VO_drow_ranger_permanent_armor_01"	"I needed this."
"DCG_VO_drow_ranger_permanent_armor_02"	"They won't be ready for this..."
"DCG_VO_drow_ranger_permanent_armor_03"	"I fear no one."
"DCG_VO_drow_ranger_permanent_armor_04"	"Ready to fight."
"DCG_VO_drow_ranger_permanent_armor_05"	"I'm standing my ground."
"DCG_VO_drow_ranger_permanent_attack_01"	"My aim is true."
"DCG_VO_drow_ranger_permanent_attack_02"	"Our enemies will regret coming here."
"DCG_VO_drow_ranger_permanent_attack_03"	"No one can escape my bow."
"DCG_VO_drow_ranger_permanent_attack_04"	"Time to hunt larger game..."
"DCG_VO_drow_ranger_permanent_attack_05"	"My enemies will weep..."
"DCG_VO_drow_ranger_permanent_health_01"	"Such power..."
"DCG_VO_drow_ranger_permanent_health_02"	"I feel...invigorated..."
"DCG_VO_drow_ranger_permanent_health_03"	"Just as I planned..."
"DCG_VO_drow_ranger_permanent_health_04"	"I needed that..."
"DCG_VO_drow_ranger_permanent_health_05"	"No one's killing me..."
"DCG_VO_drow_ranger_cast_spell_01"	"I always have a plan..."
"DCG_VO_drow_ranger_cast_spell_02"	"There's a solution to any problem..."
"DCG_VO_drow_ranger_cast_spell_03"	"It's adorable that you think you can win..."
"DCG_VO_drow_ranger_cast_spell_04"	"Do don't know who you're messing with do you?"
"DCG_VO_drow_ranger_cast_spell_05"	"Sometimes the subtle approach works best..."
"DCG_VO_drow_ranger_cast_spell_06"	"There's a reason I'm a legend..."
"DCG_VO_drow_ranger_cast_spell_07"	"It's wise to fear me."
"DCG_VO_drow_ranger_cast_spell_08"	"Don't be scared, it'll all be over soon."
"DCG_VO_drow_ranger_cast_spell_09"	"Not so fast."
"DCG_VO_drow_ranger_cast_spell_10"	"It's not over yet!"
"DCG_VO_drow_ranger_buff_ally_01"	"Here you go!"
"DCG_VO_drow_ranger_buff_ally_02"	"I got you."
"DCG_VO_drow_ranger_buff_ally_03"	"Here's something for the fight."
"DCG_VO_drow_ranger_buff_ally_04"	"We can do this together."
"DCG_VO_drow_ranger_buff_ally_05"	"I got your back..."
"DCG_VO_drow_ranger_buff_ally_06"	"Keep fighting!"
"DCG_VO_drow_ranger_buff_ally_07"	"You're going to be a force to be reckoned with..."
"DCG_VO_drow_ranger_buff_ally_08"	"You're no good to me dead."
"DCG_VO_drow_ranger_buff_ally_09"	"We need each other..."
"DCG_VO_drow_ranger_buff_ally_10"	"We still have work to do..."
"DCG_VO_drow_ranger_debuff_enemy_01"	"Not so impressive now are you?"
"DCG_VO_drow_ranger_debuff_enemy_02"	"Oh, what's a matter?"
"DCG_VO_drow_ranger_debuff_enemy_03"	"Let me cut you down to size..."
"DCG_VO_drow_ranger_debuff_enemy_04"	"You were a lot scarier before..."
"DCG_VO_drow_ranger_debuff_enemy_05"	"You don't scare me."
"DCG_VO_drow_ranger_debuff_enemy_06"	"I've hunted bigger."
"DCG_VO_drow_ranger_debuff_enemy_07"	"This is just the beginning..."
"DCG_VO_drow_ranger_debuff_enemy_08"	"I'm coming for you."
"DCG_VO_drow_ranger_debuff_enemy_09"	"First I hobble you, then I kill you."
"DCG_VO_drow_ranger_debuff_enemy_10"	"Tick tock..."
"DCG_VO_drow_ranger_single_target_damage_01"	"You're dead."
"DCG_VO_drow_ranger_single_target_damage_02"	"Let's see how much you can take."
"DCG_VO_drow_ranger_single_target_damage_03"	"I always hit my mark."
"DCG_VO_drow_ranger_single_target_damage_04"	"I won't stop until you're dead."
"DCG_VO_drow_ranger_single_target_damage_05"	"You're not leaving this place alive."
"DCG_VO_drow_ranger_single_target_damage_06"	"I've killed better."
"DCG_VO_drow_ranger_single_target_damage_07"	"There's more where that came from."
"DCG_VO_drow_ranger_single_target_damage_08"	"I'll put you down."
"DCG_VO_drow_ranger_single_target_damage_09"	"You're living on borrowed time."
"DCG_VO_drow_ranger_single_target_damage_10"	"Won't be long now."
"DCG_VO_drow_ranger_multi_damage_small_01"	"You shoulda brought more friends..."
