"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"Pierpont e eu discordamos em muitas coisas, mas ele teve a sabedoria de reconhecer os perigos de enfurecer o Vazio Sem Rosto. O Tratado de Claszureme não me anima muito, a cronomancia era bem divertida. Mas sabe o que também é legal? Não destruírem a sua linha temporal."
"DCG_VO_viper_taunt_generic_02"	"Pegaremos todos vocês!"
"DCG_VO_viper_taunt_generic_03"	"A nossa hora é agora!"
"DCG_VO_viper_taunt_generic_04"	"Sinto o gosto da vitória!"
"DCG_VO_viper_taunt_generic_05"	"Sem sobreviventes!"
"DCG_VO_viper_taunt_generic_06"	"Obedeça e alcance a vitória!"
"DCG_VO_viper_taunt_generic_07"	"De joelhos perante a minha sombra."
"DCG_VO_viper_taunt_generic_08"	"O Dragonete das Profundezas vai acabar com isso!"
"DCG_VO_viper_taunt_generic_09"	"Quando chegar a hora, eles sucumbirão!"
"DCG_VO_viper_taunt_generic_10"	"Estamos muito perto!"
"DCG_VO_viper_potential_kill_01"	"Não vai demorar..."
"DCG_VO_viper_potential_kill_02"	"Você não vai sobreviver..."
"DCG_VO_viper_potential_kill_03"	"O fim está próximo..."
"DCG_VO_viper_potential_kill_04"	"Você morrerá em breve..."
"DCG_VO_viper_potential_kill_05"	"Você tentou."
"DCG_VO_viper_potential_save_01"	"Eu não morrerei hoje..."
"DCG_VO_viper_potential_save_02"	"Eu sou o mestre daqui. "
"DCG_VO_viper_potential_save_03"	"Eu vou sobreviver a todos vocês..."
"DCG_VO_viper_potential_save_04"	"Eu escapei de todas as jaulas, queimei todas as amarras."
"DCG_VO_viper_potential_save_05"	"Você não pode me deter..."
"DCG_VO_viper_permanent_armor_01"	"Que chance lâminas têm contra mim, agora?"
"DCG_VO_viper_permanent_armor_02"	"A minha carne vai derreter o aço..."
"DCG_VO_viper_permanent_armor_03"	"Restaurado..."
"DCG_VO_viper_permanent_armor_04"	"Eu passei por muitas coisas e, por isso, emergi mais forte."
"DCG_VO_viper_permanent_armor_05"	"Pronto para a batalha."
"DCG_VO_viper_permanent_attack_01"	"As minhas presas... mais afiadas."
"DCG_VO_viper_permanent_attack_02"	"A minha língua é ácida."
"DCG_VO_viper_permanent_attack_03"	"Sentirei o gosto da morte..."
"DCG_VO_viper_permanent_attack_04"	"Pela minha boca, exércitos tiveram um fim pavoroso."
"DCG_VO_viper_permanent_attack_05"	"Os corpos dos que não se submeterem serão liquefeitos..."
"DCG_VO_viper_permanent_health_01"	"As minhas feridas, eliminadas por uma onda de veneno."
"DCG_VO_viper_permanent_health_02"	"Eu estou mais forte do que nunca..."
"DCG_VO_viper_permanent_health_03"	"Eu resistirei a qualquer ataque."
"DCG_VO_viper_permanent_health_04"	"Eu tenho a determinação para sobreviver..."
"DCG_VO_viper_permanent_health_05"	"Eu vou enfrentá-los de frente."
"DCG_VO_viper_cast_spell_01"	"Sonhos sombrios dos Confins das Profundezas."
"DCG_VO_viper_cast_spell_02"	"Ver o mundo da superfície devastado com tanta facilidade..."
"DCG_VO_viper_cast_spell_03"	"Magia cruel, roubada de um feiticeiro louco."
"DCG_VO_viper_cast_spell_04"	"Os encantamentos insignificantes deste lugar nunca deixam de me divertir."
"DCG_VO_viper_cast_spell_05"	"Eu aprendi muito assistindo aos magos..."
"DCG_VO_viper_cast_spell_06"	"Contemple o poder do Dragonete das Profundezas..."
"DCG_VO_viper_cast_spell_07"	"Aqueles que tiverem o meu apreço serão poupados..."
"DCG_VO_viper_cast_spell_08"	"Ninguém vai se opor a mim..."
"DCG_VO_viper_cast_spell_09"	"Eu estou no controle aqui..."
"DCG_VO_viper_cast_spell_10"	"Acho bom correr!"
"DCG_VO_viper_buff_ally_01"	"Você está sob a sombra do Dragonete das Profundezas. Nada a temer."
"DCG_VO_viper_buff_ally_02"	"Eu cuido daqueles que são leais."
"DCG_VO_viper_buff_ally_03"	"A minha figura pavorosa se abate sobre você. Erga-se e lute."
"DCG_VO_viper_buff_ally_04"	"Um presente de amigo..."
"DCG_VO_viper_buff_ally_05"	"Eu cuido dos meus amigos..."
"DCG_VO_viper_buff_ally_06"	"Fique ao meu lado e seja forte."
"DCG_VO_viper_buff_ally_07"	"Você está sob a proteção do Dragonete das Profundezas..."
"DCG_VO_viper_buff_ally_08"	"Seremos implacáveis..."
"DCG_VO_viper_buff_ally_09"	"O inimigo não vai nos subjugar."
"DCG_VO_viper_buff_ally_10"	"Juntos, mataremos todos eles."
"DCG_VO_viper_debuff_enemy_01"	"O veneno penetra e faz o seu belo trabalho."
"DCG_VO_viper_debuff_enemy_02"	"O seu tormento é um deleite de visão."
"DCG_VO_viper_debuff_enemy_03"	"Isso é só o começo..."
"DCG_VO_viper_debuff_enemy_04"	"E assim começa..."
"DCG_VO_viper_debuff_enemy_05"	"Você não é forte o suficiente para sobreviver."
"DCG_VO_viper_debuff_enemy_06"	"Você está tremendo? Ótimo."
"DCG_VO_viper_debuff_enemy_07"	"Tarde demais para morrer com dignidade. Pode gritar, se quiser."
"DCG_VO_viper_debuff_enemy_08"	"Abrace a sensação de pavor que te domina..."
"DCG_VO_viper_debuff_enemy_09"	"Foi tolice sua ter vindo aqui!"
"DCG_VO_viper_debuff_enemy_10"	"Você não vai sobreviver a este combate."
"DCG_VO_viper_single_target_damage_01"	"Grite para o meu deleite!"
"DCG_VO_viper_single_target_damage_02"	"As minhas presas se fecham sobre você."
"DCG_VO_viper_single_target_damage_03"	"O meu veneno te invade."
"DCG_VO_viper_single_target_damage_04"	"Os venenos das Profundezas inundam você."
"DCG_VO_viper_single_target_damage_05"	"Eles já eram."
"DCG_VO_viper_single_target_damage_06"	"Eu causarei sofrimento a quem me desafiar..."
"DCG_VO_viper_single_target_damage_07"	"Não há quem possa se opor ao Dragonete das Profundezas."
"DCG_VO_viper_single_target_damage_08"	"A esperança morre com você..."
"DCG_VO_viper_single_target_damage_09"	"Eu cuido disso..."
"DCG_VO_viper_single_target_damage_10"	"Hahahahaha..."
"DCG_VO_viper_multi_damage_small_01"	"Vocês tão perto de deixar este mundo."
"DCG_VO_viper_multi_damage_small_02"	"Os nossos inimigos sentirão o gosto da morte..."
"DCG_VO_viper_multi_damage_small_03"	"Vocês todos sofrerão..."
"DCG_VO_viper_multi_damage_small_04"	"As garras das Profundezas se fecham sobre vocês."
"DCG_VO_viper_multi_damage_small_05"	"O exército deles será o meu alvo..."
"DCG_VO_viper_multi_damage_small_06"	"Um exército não vai ser suficiente..."
"DCG_VO_viper_multi_damage_small_07"	"Eu espalho o terror entre os meus inimigos..."
"DCG_VO_viper_multi_damage_small_08"	"Eles morrerão aos gritos..."
"DCG_VO_viper_multi_damage_small_09"	"Estes são os seus momentos finais..."
"DCG_VO_viper_multi_damage_small_10"	"Eu farei chover morte sobre eles..."
"DCG_VO_viper_multi_damage_large_01"	"EU VOU MATAR TODOS VOCÊS!"
"DCG_VO_viper_multi_damage_large_02"	"Não restará nada além de cadáveres liquefeitos..."
"DCG_VO_viper_multi_damage_large_03"	"Implorem pelas suas vidas!"
"DCG_VO_viper_multi_damage_large_04"	"Vou acabar com o exército deles..."
"DCG_VO_viper_multi_damage_large_05"	"O meu veneno vai dizimar esse exército..."
"DCG_VO_viper_multi_damage_large_06"	"Você vai se juntar aos seus amigos..."
"DCG_VO_viper_multi_damage_large_07"	"Rendam-se já!"
"DCG_VO_viper_multi_damage_large_08"	"Vai ser fácil acabar com eles..."
"DCG_VO_viper_multi_damage_large_09"	"Ao meu sopro, exércitos desmoronam..."
"DCG_VO_viper_multi_damage_large_10"	"Entreguem-se ao medo..."
"DCG_VO_viper_pleased_01"	"É ótimo estar livre."
"DCG_VO_viper_pleased_02"	"Maravilha."
"DCG_VO_viper_pleased_03"	"A vitória está próxima..."
"DCG_VO_viper_pleased_04"	"Eles não podem nos deter agora."
"DCG_VO_viper_pleased_05"	"Muito bom."
"DCG_VO_viper_pleased_06"	"Boa!"
"DCG_VO_viper_pleased_07"	"Eu me sinto vivo!"
"DCG_VO_viper_pleased_08"	"Que momento!"
"DCG_VO_viper_pleased_09"	"Incrível!"
"DCG_VO_viper_pleased_10"	"As coisas estão indo bem..."
"DCG_VO_viper_concerned_01"	"Quê?!"
"DCG_VO_viper_concerned_02"	"Tenho que ter cuidado..."
"DCG_VO_viper_concerned_03"	"Um tanto inesperado..."
"DCG_VO_viper_concerned_04"	"Como eles estão vencendo?"
"DCG_VO_viper_concerned_05"	"Não é possível!"
"DCG_VO_viper_concerned_06"	"Como isso foi acontecer?"
"DCG_VO_viper_concerned_07"	"Eu não posso ser capturado..."
"DCG_VO_viper_concerned_08"	"Não vou sucumbir em batalha..."
"DCG_VO_viper_concerned_09"	"Eu fugi de uma prisão, posso fugir disso..."
"DCG_VO_viper_concerned_10"	"Eu preciso de cautela..."
"DCG_VO_viper_angry_01"	"Eu arrasarei esta terra!"
"DCG_VO_viper_angry_02"	"Não há misericórdia alguma aqui!"
"DCG_VO_viper_angry_03"	"Vou gostar de ver você queimar!"
"DCG_VO_viper_angry_04"	"Eu vou rir do seu sofrimento!"
"DCG_VO_viper_angry_05"	"O meu veneno cobrirá o seu exército..."
"DCG_VO_viper_angry_06"	"Eu vou devorar o seu cadáver fervilhante..."
"DCG_VO_viper_angry_07"	"O seu fim será me servir."
"DCG_VO_viper_angry_08"	"Você acabará se lamentando de joelhos."
"DCG_VO_viper_angry_09"	"Você se atreve a me enfurecer?!"
"DCG_VO_viper_angry_10"	"Quero ver você implorar."
"DCG_VO_viper_arrogant_01"	"Posso sentir o seu pavor daqui..."
"DCG_VO_viper_arrogant_02"	"Entregue-se a mim e eu lhe concederei misericórdia."
"DCG_VO_viper_arrogant_03"	"Que chance você tem?"
"DCG_VO_viper_arrogant_04"	"Tente tornar a sua morte memorável..."
"DCG_VO_viper_arrogant_05"	"Curve-se perante o Dragonete das Profundezas..."
"DCG_VO_viper_arrogant_06"	"Eu não descansarei até o meu viveiro estar repleto de magos..."
"DCG_VO_viper_arrogant_07"	"Eu sou o seu deus agora..."
"DCG_VO_viper_arrogant_08"	"Por acaso você tem uma cavalaria para chamar?"
"DCG_VO_viper_arrogant_09"	"Você continuará vivendo enquanto eu permitir..."
"DCG_VO_viper_arrogant_10"	"O poder das Profundezas corre em minhas veias..."
"DCG_VO_viper_enigmatic_01"	"Eu aprendi muito com aquele sádico..."
"DCG_VO_viper_enigmatic_02"	"Retornarei aos Confins das Profundezas como um rei conquistador..."
"DCG_VO_viper_enigmatic_03"	"Eu me movimento livremente..."
"DCG_VO_viper_enigmatic_04"	"Você não tem a sagacidade para me deter..."
"DCG_VO_viper_enigmatic_05"	"Nada disso..."
"DCG_VO_viper_enigmatic_06"	"Eu me adapto a qualquer situação..."
"DCG_VO_viper_enigmatic_07"	"Um mago se curvará a mim. Depois, outro. Então, serão dez mil, e muito mais."
"DCG_VO_viper_enigmatic_08"	"Não há limites para mim."
"DCG_VO_viper_enigmatic_09"	"Livre e insuperável..."
"DCG_VO_viper_enigmatic_10"	"A morte não tem poder sobre as Profundezas."
"DCG_VO_viper_death_01"	"<i>Grito</i>"
"DCG_VO_rix_intro"	"Eu fui conscrito pela Legião de Bronze quando era apenas um filhote. Eles marcharam pela minha aldeia com armaduras brilhantes e promessas de glória que me atraíram de imediato. Eu sorri quando puseram a marca de conscrito no meu braço porque sabia que, se desse duro, se seguisse as ordens, se demonstrasse bravura e habilidade em batalha, eu me tornaria alguém, em vez de ser só um selvagem estúpido de Gorja Rubra. Por isso, eu os segui. Lutei. Matei. A cada cidade ocupada, a cada insurreição sufocada, a cada voz dissidente silenciada, as palavras \"pela glória do Corredor de Pedra\" perdiam mais e mais o sentido — e a marca brônzea que eu ostentava com orgulho se tornava um peso. Agora, marchamos por Petalosa para interceptar a horda da Névoa Vermelha e a Comandante me pediu novamente para \"falar com o meu povo selvagem\"... bem, eu falarei com eles. Quando eu o fizer, eles saberão que lutarei ao lado deles até o último soldado ser enviado para o Corredor de Pedra em um caixão de bronze."
"DCG_VO_rix_truth_to_power_intro"	"Os poderosos preferiam os fracos silenciados. Aceitando o status quo. De joelhos. Aceitando passivamente o seu destino. Por tempo demais, eu fui cúmplice da avidez por poder do Corredor de Pedra. Isso termina hoje. Eu serei um porta-voz para o meu povo, e não serei silenciado."
"DCG_VO_rix_act_of_defiance_intro"	"Eu nunca vou esquecer o primeiro dia da rebelião. Tresdin me mandou buscar rações junto aos fazendeiros de Petalosa — suprimentos, para o caso do cerco da Névoa Vermelha se prolongar... mas tinha sido um ano ruim para os fazendeiros. Eu levei o que eles puderam fornecer, mas Tresdin decidiu que não era suficiente e mandou os capangas tomarem o que precisassem à força. Afinal, \"era para o próprio bem deles\". No entanto, no cumprimento da tarefa, eles não se depararam com fazendeiros amedrontados, mas sim com um exército. Um exército que eu liderarei até o fim dos meus dias. Os homens, as mulheres e os filhotes de Petalosa merecem viver livres do domínio do Corredor de Pedra. Ainda que o preço da liberdade seja o sangue, é um preço que estamos todos dispostos a pagar. "
"DCG_VO_rix_equip_generic_weapon_01"	"Isso vai servir."
"DCG_VO_rix_equip_generic_weapon_02"	"Eu sei o que fazer com isso."
"DCG_VO_rix_equip_generic_weapon_03"	"Hora de rasgar alguns legionários."
"DCG_VO_rix_equip_generic_weapon_04"	"Pronto para lutar."
"DCG_VO_rix_equip_generic_weapon_05"	"Pronto para a batalha."
"DCG_VO_rix_equip_generic_armor_01"	"Melhor prevenir do que remediar."
"DCG_VO_rix_equip_generic_armor_02"	"Um general não pode morrer em campo."
"DCG_VO_rix_equip_generic_armor_03"	"Eles podem me matar, mas vão ter que suar para isso."
"DCG_VO_rix_equip_generic_armor_04"	"Eu farei a Legião sentir medo."
"DCG_VO_rix_equip_generic_armor_05"	"Isso vai me ajudar a resistir um pouco mais."
"DCG_VO_rix_equip_generic_accessory_01"	"Hora de tornar a vida deles um inferno."
"DCG_VO_rix_equip_generic_accessory_02"	"Eles não vão conseguir me cansar."
"DCG_VO_rix_equip_generic_accessory_03"	"Um líder deve se trajar à altura da tarefa."
"DCG_VO_rix_equip_generic_accessory_04"	"Estou pronto para fazer a Legião pagar."
"DCG_VO_rix_equip_generic_accessory_05"	"A Legião nem vai saber o que os atingiu."
"DCG_VO_rix_kill_rival_01"	"Suma daqui!"
"DCG_VO_rix_kill_rival_02"	"Os vhoul não são servos de ninguém!"
"DCG_VO_rix_kill_rival_03"	"Quem tentar nos oprimir morrerá!"
"DCG_VO_rix_kill_rival_04"	"Nunca ficaremos de joelhos!"
"DCG_VO_rix_kill_rival_05"	"Hora de morrer."
"DCG_VO_rix_kill_rival_06"	"A sua morte servirá de exemplo para os outros."
"DCG_VO_rix_kill_rival_07"	"Não temo homem nem fera."
"DCG_VO_rix_kill_rival_08"	"Eu não temo a morte. Já você..."
"DCG_VO_rix_kill_rival_09"	"Como cordeiros para o matadouro."
"DCG_VO_rix_kill_rival_10"	"Você achou que seria fácil, não achou?"
"DCG_VO_rix_use_include_01"	"Não seremos silenciados!"
"DCG_VO_rix_use_include_02"	"Você não está mais no controle."
"DCG_VO_rix_use_include_03"	"Estamos cansados de dar ouvidos a você."
"DCG_VO_rix_unique_01"	"À guerra!"
"DCG_VO_rix_unique_02"	"Temos contingente, temos determinação!"
"DCG_VO_rix_unique_03"	"Chega de serem as vítimas!"
"DCG_VO_rix_unique_04"	"A rebelião cresce a cada dia."
"DCG_VO_rix_unique_05"	"É melhor morrer de pé que viver de joelhos."
"DCG_VO_rix_unique_06"	"Podemos vencer esta batalha, mas será preciso fazer sacrifícios."
"DCG_VO_rix_unique_07"	"É claro que terminaríamos assim."
"DCG_VO_rix_unique_08"	"Eu vou arrancar o Serpentouro de cada estandarte de Petalosa."
"DCG_VO_rix_unique_09"	"Eu vou adorar matar você, Comandante."
"DCG_VO_rix_unique_10"	"Hum, o inimigo do meu inimigo... né, Sorla?"
"DCG_VO_rix_unique_11"	"Hoje, nos unimos contra uma ameaça em comum."
"DCG_VO_rix_unique_12"	"Podemos trabalhar juntos, Sorla. Ambos queremos Tresdin morta."
"DCG_VO_rix_unique_13"	"Nenhum de nós quer que Petalosa sucumba a esses selvagens."
"DCG_VO_rix_unique_14"	"A Névoa Vermelha deve ser detida, mesmo que isso signifique trabalhar com você."
"DCG_VO_rix_unique_15"	"Podemos nos matar depois. Primeiro, vamos deter a Névoa Vermelha."
"DCG_VO_rix_unique_16"	"A sua tirania termina agora!"
"DCG_VO_rix_unique_17"	"Você deu a sua última ordem, Comandante."
"DCG_VO_rix_unique_18"	"Silêncio, Sorla!"
"DCG_VO_rix_unique_19"	"Você foi deposta, Sorla."
"DCG_VO_rix_unique_20"	"Eu pagarei o preço que for preciso para destruir a Legião de Bronze."
"DCG_VO_rix_healed_01"	"Ahhh."
"DCG_VO_rix_healed_02"	"Valeu."
"DCG_VO_rix_healed_03"	"Não vou te deixar na mão."
"DCG_VO_rix_healed_04"	"Valeu pelo apoio."
"DCG_VO_rix_healed_05"	"A rebelião agradece."
"DCG_VO_rix_taunt_generic_01"	"Sem piedade!"
"DCG_VO_rix_taunt_generic_02"	"Lute pelo seu lar!"
"DCG_VO_rix_taunt_generic_03"	"Jamais desista!"
"DCG_VO_rix_taunt_generic_04"	"Hoje, venceremos!"
"DCG_VO_rix_taunt_generic_05"	"Ergam-se!"
"DCG_VO_rix_taunt_generic_06"	"Lutaremos até o fim!"
"DCG_VO_rix_taunt_generic_07"	"Não podemos permitir que vençam!"
"DCG_VO_rix_taunt_generic_08"	"A vitória está ao nosso alcance!"
"DCG_VO_rix_taunt_generic_09"	"Defendam o nosso lar!"
"DCG_VO_rix_taunt_generic_10"	"Você nos paga!"
"DCG_VO_rix_potential_kill_01"	"Te peguei."
"DCG_VO_rix_potential_kill_02"	"Você já era."
"DCG_VO_rix_potential_kill_03"	"Não vou parar enquanto você tiver vida."
"DCG_VO_rix_potential_kill_04"	"Nós estamos só começando."
"DCG_VO_rix_potential_kill_05"	"Achou que eu tinha acabado com você?"
"DCG_VO_rix_potential_save_01"	"Não vai ser fácil me matar."
"DCG_VO_rix_potential_save_02"	"Vai precisar se esforçar mais."
"DCG_VO_rix_potential_save_03"	"Não serei uma presa fácil."
"DCG_VO_rix_potential_save_04"	"Vai ter que se esforçar mais."
"DCG_VO_rix_potential_save_05"	"Ninguém pode parar a revolução."
"DCG_VO_rix_permanent_armor_01"	"Vai ser bom não ser tão retalhado."
"DCG_VO_rix_permanent_armor_02"	"É bom se preparar, Rix. Contam com você."
"DCG_VO_rix_permanent_armor_03"	"A Legião usa armadura. Eu também."
"DCG_VO_rix_permanent_armor_04"	"Tenho que me preparar para Tresdin."
"DCG_VO_rix_permanent_armor_05"	"Tresdin vai procurar por mim. Tenho que me preparar."
"DCG_VO_rix_permanent_attack_01"	"Cada vez mais forte."
"DCG_VO_rix_permanent_attack_02"	"Um pouco de treino não faz mal a ninguém."
"DCG_VO_rix_permanent_attack_03"	"<i>Rosnado</i>"
"DCG_VO_rix_permanent_attack_04"	"Vamos deixar todos em pedacinhos."
"DCG_VO_rix_permanent_attack_05"	"Os inimigos vão se arrepender de terem vindo aqui."
"DCG_VO_rix_permanent_health_01"	"Eu não vou recuar."
"DCG_VO_rix_permanent_health_02"	"Eu nunca vou parar de lutar."
"DCG_VO_rix_permanent_health_03"	"Não posso liderar a rebelião se estiver morto."
"DCG_VO_rix_permanent_health_04"	"Tenho que estar em condições."
"DCG_VO_rix_permanent_health_05"	"Não posso morrer. O meu povo conta comigo."
"DCG_VO_rix_cast_spell_01"	"Aprendi algumas coisas na Legião."
"DCG_VO_rix_cast_spell_02"	"Os inimigos não podem ter paz."
"DCG_VO_rix_cast_spell_03"	"Vamos ver se eles se prepararam para isso."
"DCG_VO_rix_cast_spell_04"	"O elemento surpresa é nosso."
"DCG_VO_rix_cast_spell_05"	"Vamos atacá-los por todos os lados."
"DCG_VO_rix_cast_spell_06"	"Temos que ser inteligentes."
"DCG_VO_rix_cast_spell_07"	"Vamos ver se eles estão prontos para isso."
"DCG_VO_rix_cast_spell_08"	"Você está bem onde eu quero."
"DCG_VO_rix_cast_spell_09"	"Agora!"
"DCG_VO_rix_cast_spell_10"	"Hora de usar a criatividade."
"DCG_VO_rix_death_01"	"<i>Grito</i>"
"DCG_VO_tinker_intro"	"A ideia de trabalhar com o Mazzie... não me anima muito. Mas o Franco-atirador levantou alguns pontos interessantes: os keen passaram tempo demais divididos e, pelo menos, ele não grita com árvores. Ainda assim, é difícil para mim esquecer o passado. Se eu acho que vamos ser amigos? Não. Se eu acho que vou conseguir engolir essa história sem dar um tiro \"por acidente\" no meio da testa dele? Se eu beber o suficiente... Bom, o tempo dirá."
"DCG_VO_tinker_keenfolk_golem"	"Mazzie é terrível em várias coisas. Ser confiável; ficar sóbrio; guardar segredos. Mas eu tenho que ser justo: ele sabe como criar um robô gigante. "
"DCG_VO_tinker_march_of_the_machines"	"Todo keen tem a sua obsessão. O Franco-atirador gosta de atirar. O Serrote gosta de cortar árvores. Eu crio maneiras legais e bacanas de matar o Mazzie. Tem gente que faz cara feia por causa das minhas tentativas de assassinato, mas, se eu nunca tivesse criado os meus drones, o fulano nunca teria montado aquele traje robótico para se esconder. Então, pra falar a verdade, ele devia era me agradecer."
"DCG_VO_tinker_steam_cannon"	"O Franco-atirador me pediu para criar uma arma. Acho que me empolguei."
"DCG_VO_tinker_use_ability_01"	"Quem precisa de magia?"
"DCG_VO_tinker_use_ability_02"	"Eis o poder da ciência!"
"DCG_VO_tinker_use_ability_03"	"Alvo na mira..."
"DCG_VO_tinker_use_ability_04"	"Vai ser uma beleza..."
"DCG_VO_tinker_use_ability_05"	"Ah, como eu adoro a cara que eles fazem..."
"DCG_VO_tinker_equip_generic_weapon_01"	"Eu posso melhorar isso..."
"DCG_VO_tinker_equip_generic_weapon_02"	"Primitivo, mas eficiente..."
"DCG_VO_tinker_equip_generic_weapon_03"	"Uso tudo o que puder..."
"DCG_VO_tinker_equip_generic_weapon_04"	"Eu sei o que fazer com isso..."
"DCG_VO_tinker_equip_generic_weapon_05"	"É... dá para matar com isso..."
"DCG_VO_tinker_equip_generic_armor_01"	"Já estou me sentindo mais seguro..."
"DCG_VO_tinker_equip_generic_armor_02"	"Não consigo inventar nada se estiver morto..."
"DCG_VO_tinker_equip_generic_armor_03"	"Eu não vou morrer hoje..."
"DCG_VO_tinker_equip_generic_armor_04"	"Melhor prevenir do que remediar..."
"DCG_VO_tinker_equip_generic_armor_05"	"Segurança em primeiro lugar!"
"DCG_VO_tinker_equip_generic_accessory_01"	"Dispositivo interessante..."
"DCG_VO_tinker_equip_generic_accessory_02"	"Como é que isso funciona..."
"DCG_VO_tinker_equip_generic_accessory_03"	"Interessante..."
"DCG_VO_tinker_equip_generic_accessory_04"	"Um novo brinquedinho..."
"DCG_VO_tinker_equip_generic_accessory_05"	"Opa, gostei!"
"DCG_VO_tinker_kill_rival_01"	"Superação intelectual e bélica."
"DCG_VO_tinker_kill_rival_02"	"Muito fácil..."
"DCG_VO_tinker_kill_rival_03"	"Quem é o próximo?"
"DCG_VO_tinker_kill_rival_04"	"Algum outro desafiante?"
"DCG_VO_tinker_kill_rival_05"	"Não tinha como terminar de outro jeito..."
"DCG_VO_tinker_kill_rival_06"	"Este é o meu campo de batalha!"
"DCG_VO_tinker_kill_rival_07"	"Cérebro nenhum se equipara ao meu. Poder de fogo, muito menos..."
"DCG_VO_tinker_kill_rival_08"	"Você devia ter implorado por piedade..."
"DCG_VO_tinker_kill_rival_09"	"Um alvo a menos para me preocupar..."
"DCG_VO_tinker_kill_rival_10"	"Quero ver o Franco-atirador fazer melhor..."
"DCG_VO_tinker_use_include_01"	"Marchem! Marchem! Marchem!"
"DCG_VO_tinker_use_include_02"	"Eu preparei uma coisinha especial só pra você..."
"DCG_VO_tinker_use_include_03"	"As minhas máquinas vão te fazer em pedaços!"
"DCG_VO_tinker_unique_01"	"Você já está velhinho, Franco-atirador. Como o seu coração ainda não desistiu?"
"DCG_VO_tinker_unique_02"	"Laser carregado."
"DCG_VO_tinker_unique_03"	"Arma engatilhada."
"DCG_VO_tinker_unique_04"	"Lasers ativos novamente."
"DCG_VO_tinker_unique_05"	"A sua arma pode até ser antiga, mas a sua visão é avançadíssima..."
"DCG_VO_tinker_unique_06"	"Tem razão, Franco-atirador, os keen precisam se unir."
"DCG_VO_tinker_unique_07"	"Tá, Mazzie, eu posso esquecer o passado..."
"DCG_VO_tinker_unique_08"	"Mazzie, nós somos colegas, não amigos..."
"DCG_VO_tinker_unique_09"	"Pare de se preocupar com as árvores e foco na batalha!"
"DCG_VO_tinker_unique_10"	"Eu sei que você está empolgado, mas que tal tomar cuidado com essas serras?"
"DCG_VO_tinker_unique_11"	"Ainda bem que o Mazzie não está aqui..."
"DCG_VO_tinker_unique_12"	"Obrigado por nos reunir, Franco-atirador..."
"DCG_VO_tinker_unique_13"	"Ah, ótimo. Todo mundo junto. Com o Mazzie. Iupi."
"DCG_VO_tinker_unique_14"	"Juntos, os keen são irrefreáveis!"
"DCG_VO_tinker_unique_15"	"Mazzie, você está prestes a dar a vida pela ciência."
"DCG_VO_tinker_unique_16"	"Eu vou te arrancar dessa lata-velha!"
"DCG_VO_tinker_unique_17"	"Você não vai se esconder nessa coisa a vida inteira, Mazzie!"
"DCG_VO_tinker_unique_18"	"Machado. Conheça o laser."
"DCG_VO_tinker_unique_19"	"Uma arma que atira balas. Nossa, que velharia."
"DCG_VO_tinker_unique_20"	"Você é um maníaco, Rizzrack. Foi tolice minha acreditar que poderia trabalhar com você!"
"DCG_VO_tinker_healed_01"	"Ahhh."
"DCG_VO_tinker_healed_02"	"Ótimo."
"DCG_VO_tinker_healed_03"	"Eu estava ficando preocupado."
"DCG_VO_tinker_healed_04"	"Pronto pra voltar ao trabalho..."
"DCG_VO_tinker_healed_05"	"De volta à luta..."
"DCG_VO_tinker_taunt_generic_01"	"É só seguir as minhas ordens que a vitória é nossa!"
"DCG_VO_tinker_taunt_generic_02"	"Dá pra derrubar a torre!"
"DCG_VO_tinker_taunt_generic_03"	"O Ancestral ficou exposto!"
"DCG_VO_tinker_taunt_generic_04"	"Destruam a torre!"
"DCG_VO_tinker_taunt_generic_05"	"Acabem com o Ancestral!"
"DCG_VO_tinker_taunt_generic_06"	"A posição deles é perfeita para nós!"
"DCG_VO_tinker_taunt_generic_07"	"Vamos aproveitar o embalo!"
"DCG_VO_tinker_taunt_generic_08"	"Se continuarmos assim, a vitória é certa!"
"DCG_VO_tinker_taunt_generic_09"	"Os inimigos não podem nos deter agora!"
"DCG_VO_tinker_taunt_generic_10"	"Logo não vai ter ninguém no nosso caminho!"
"DCG_VO_tinker_potential_kill_01"	"Você é um cadáver ambulante..."
"DCG_VO_tinker_potential_kill_02"	"Você não tem como sobreviver a isso..."
"DCG_VO_tinker_potential_kill_03"	"Você sabe o que vai acontecer, não sabe?"
"DCG_VO_tinker_potential_kill_04"	"Tchauzinho..."
"DCG_VO_tinker_potential_kill_05"	"Não vou mentir: isso vai doer."
"DCG_VO_tinker_potential_save_01"	"Rá!"
"DCG_VO_tinker_potential_save_02"	"Bela tentativa!"
"DCG_VO_tinker_potential_save_03"	"Você pensou que isso ia funcionar?"
"DCG_VO_tinker_potential_save_04"	"Você não faz ideia do que eu sou capaz!"
"DCG_VO_tinker_potential_save_05"	"Já me safei de avarias bem piores..."
"DCG_VO_tinker_permanent_armor_01"	"Isso vai me manter na luta..."
"DCG_VO_tinker_permanent_armor_02"	"Um pouco de proteção extra não faz mal a ninguém..."
"DCG_VO_tinker_permanent_armor_03"	"Tenho que estar pronto pra tudo..."
"DCG_VO_tinker_permanent_armor_04"	"São tempos perigosos..."
"DCG_VO_tinker_permanent_armor_05"	"Eu vou mostrar para o Mazzie o que é armadura de verdade..."
