"dcg_vo_set_01"
{
"DCG_VO_vanessa_buying_time"	"ピアポントとは意見が合わない点も多いけど、フェイスレスヴォイドを怒らせるのは危険だと気づいた彼は賢明だった。私はクラスズリーム協定はあまり好きじゃない。時間魔術は楽しかったからね。でも、世界の時系列がムチャクチャになるよりはましさ。"
"DCG_VO_earthshaker_unique_14"	"巨大なバナナなんぞ恐れん…"
"DCG_VO_earthshaker_unique_15"	"俺の足元で大地が震える…"
"DCG_VO_earthshaker_unique_16"	"俺はいつでも大地を割ることができる…"
"DCG_VO_earthshaker_unique_17"	"カンナ、俺はお前を信じたのに、その報いがこれか？"
"DCG_VO_earthshaker_unique_18"	"カンナ、お前は俺に目的をくれた。その恩はいつまでも消えない。"
"DCG_VO_earthshaker_unique_19"	"カンナ、お前は俺にとって初めての家族だ。"
"DCG_VO_earthshaker_unique_20"	"カンナ、お前の期待は裏切らない。"
"DCG_VO_earthshaker_healed_01"	"おおお"
"DCG_VO_earthshaker_healed_02"	"ありがとう。"
"DCG_VO_earthshaker_healed_03"	"本当にありがたい。"
"DCG_VO_earthshaker_healed_04"	"感謝する。"
"DCG_VO_earthshaker_healed_05"	"少し焦ったぞ…."
"DCG_VO_earthshaker_taunt_generic_01"	"すぐに、すべて終わる。"
"DCG_VO_earthshaker_taunt_generic_02"	"勝利は時間の問題だ。"
"DCG_VO_earthshaker_taunt_generic_03"	"エンシェントは間もなく倒れる。"
"DCG_VO_earthshaker_taunt_generic_04"	"敵もいつまでも耐えることはできん…"
"DCG_VO_earthshaker_taunt_generic_05"	"この戦いを終わらせるぞ！"
"DCG_VO_earthshaker_taunt_generic_06"	"敵を抹殺しろ！"
"DCG_VO_earthshaker_taunt_generic_07"	"歯向かう奴は潰せ！"
"DCG_VO_earthshaker_taunt_generic_08"	"一人残らず切り倒せ！"
"DCG_VO_earthshaker_taunt_generic_09"	"今すぐ決着をつけるぞ！"
"DCG_VO_earthshaker_taunt_generic_10"	"タワーを倒せ！"
"DCG_VO_earthshaker_potential_kill_01"	"相手が悪かったな。"
"DCG_VO_earthshaker_potential_kill_02"	"俺からは逃れられん！"
"DCG_VO_earthshaker_potential_kill_03"	"運命を受け入れろ…"
"DCG_VO_earthshaker_potential_kill_04"	"お前は良く戦ったが、力不足だった…"
"DCG_VO_earthshaker_potential_kill_05"	"お前は勝てん。"
"DCG_VO_earthshaker_potential_save_01"	"ここまで来て死ぬ気はない。"
"DCG_VO_earthshaker_potential_save_02"	"お前に俺は殺せん。"
"DCG_VO_earthshaker_potential_save_03"	"俺は楽な獲物なんかじゃないぞ…"
"DCG_VO_earthshaker_potential_save_04"	"諦めないぞ…"
"DCG_VO_earthshaker_potential_save_05"	"その程度ではくたばらんぞ…"
"DCG_VO_earthshaker_permanent_armor_01"	"肉体がタフになっていく…"
"DCG_VO_earthshaker_permanent_armor_02"	"岩から生まれたものは殺せない…"
"DCG_VO_earthshaker_permanent_armor_03"	"刻々と頑強になっていく…"
"DCG_VO_earthshaker_permanent_armor_04"	"敵の刃など恐れぬ。"
"DCG_VO_earthshaker_permanent_armor_05"	"俺は争いを恐れん。"
"DCG_VO_earthshaker_permanent_attack_01"	"俺のトーテムが力を増している…"
"DCG_VO_earthshaker_permanent_attack_02"	"俺の中を大地の力が流れる…"
"DCG_VO_earthshaker_permanent_attack_03"	"力が増した。"
"DCG_VO_earthshaker_permanent_attack_04"	"敵を見せてくれ、ぶっ潰してやる。"
"DCG_VO_earthshaker_permanent_attack_05"	"俺の道を塞ぐ奴はぶっ潰す。"
"DCG_VO_earthshaker_permanent_health_01"	"俺は死なん。"
"DCG_VO_earthshaker_permanent_health_02"	"前にも増して強くなったぞ…"
"DCG_VO_earthshaker_permanent_health_03"	"戦わずして死ねるか…"
"DCG_VO_earthshaker_permanent_health_04"	"俺を押しのけて通るなんて、無理だ…"
"DCG_VO_earthshaker_permanent_health_05"	"今まで以上にタフになったぞ…"
"DCG_VO_earthshaker_cast_spell_01"	"私の力を思い知るがいい！"
"DCG_VO_earthshaker_cast_spell_02"	"俺の気合には敵わんだろ！"
"DCG_VO_earthshaker_cast_spell_03"	"これは受けきれんだろう…"
"DCG_VO_earthshaker_cast_spell_04"	"大地を引き裂いてやる！"
"DCG_VO_earthshaker_cast_spell_05"	"この戦場は俺が支配する！"
"DCG_VO_earthshaker_cast_spell_06"	"ハハッ！"
"DCG_VO_earthshaker_cast_spell_07"	"俺に勝てると思うのか？"
"DCG_VO_earthshaker_cast_spell_08"	"まだこんなものじゃないぞ…"
"DCG_VO_earthshaker_cast_spell_09"	"お前もいつまでも持つまい…"
"DCG_VO_earthshaker_cast_spell_10"	"お前に残された時間はわずかだぞ…"
"DCG_VO_earthshaker_buff_ally_01"	"力を分けてやろう…"
"DCG_VO_earthshaker_buff_ally_02"	"手を貸しに来たぞ…"
"DCG_VO_earthshaker_buff_ally_03"	"共に敵に立ち向かおう…"
"DCG_VO_earthshaker_buff_ally_04"	"堂々と戦え…"
"DCG_VO_earthshaker_buff_ally_05"	"お前は戦いを生き延びる…"
"DCG_VO_earthshaker_buff_ally_06"	"敵を粉砕しろ…"
"DCG_VO_earthshaker_buff_ally_07"	"強くなるのだ。"
"DCG_VO_earthshaker_buff_ally_08"	"負けるわけにはいかない…"
"DCG_VO_earthshaker_buff_ally_09"	"アースシェイカーの祝福だ…"
"DCG_VO_earthshaker_buff_ally_10"	"お前を助けてやる。カンナが俺を助けたように…"
"DCG_VO_earthshaker_debuff_enemy_01"	"お前、もうガタガタじゃないか…"
"DCG_VO_earthshaker_debuff_enemy_02"	"お前に勝ち目があるのか？"
"DCG_VO_earthshaker_debuff_enemy_03"	"あがくだけ無駄だ…"
"DCG_VO_earthshaker_debuff_enemy_04"	"じきに死がお前を訪れる…"
"DCG_VO_earthshaker_debuff_enemy_05"	"お前の命は残りわずかだな…"
"DCG_VO_earthshaker_debuff_enemy_06"	"お前はそのうち倒れる…"
"DCG_VO_earthshaker_debuff_enemy_07"	"さっきまでの威勢はどうした？"
"DCG_VO_earthshaker_debuff_enemy_08"	"あきらめろ、どんどん苦しくなっていくぞ。"
"DCG_VO_earthshaker_debuff_enemy_09"	"お前はもうただの抜け殻だ…"
"DCG_VO_earthshaker_debuff_enemy_10"	"バラバラにしてやる…"
"DCG_VO_earthshaker_single_target_damage_01"	"もらった。"
"DCG_VO_earthshaker_single_target_damage_02"	"お前はもう終わりだ…"
"DCG_VO_earthshaker_single_target_damage_03"	"俺にはお前の想像を超えた力がある…"
"DCG_VO_earthshaker_single_target_damage_04"	"楽勝だな…"
"DCG_VO_earthshaker_single_target_damage_05"	"調子が出てきたところだ…"
"DCG_VO_earthshaker_single_target_damage_06"	"俺の力を思い知れ…"
"DCG_VO_earthshaker_single_target_damage_07"	"お前を葬り去ってくれる…"
"DCG_VO_earthshaker_single_target_damage_08"	"お前の命は没収だ…"
"DCG_VO_earthshaker_single_target_damage_09"	"俺たちには敵わんだろう…"
"DCG_VO_earthshaker_single_target_damage_10"	"お前に勝ち目はなかった…"
"DCG_VO_earthshaker_multi_damage_small_01"	"これは俺の能力のほんの一端だ…"
"DCG_VO_earthshaker_multi_damage_small_02"	"俺がミミズどもを片付ける…"
"DCG_VO_earthshaker_multi_damage_small_03"	"全員相手にしてやる！"
"DCG_VO_earthshaker_multi_damage_small_04"	"これは俺に任せろ…"
"DCG_VO_earthshaker_multi_damage_small_05"	"ちょいと掃き掃除だ…"
"DCG_VO_earthshaker_multi_damage_small_06"	"戦場を整理してやる…"
"DCG_VO_earthshaker_multi_damage_small_07"	"目障りな奴らだ、俺が排除してやろう…"
"DCG_VO_earthshaker_multi_damage_small_08"	"ザコなんぞ恐れん…"
"DCG_VO_earthshaker_multi_damage_small_09"	"形勢を五分五分に戻してやるか…"
"DCG_VO_earthshaker_multi_damage_small_10"	"誰を相手にしているか、思い出させてやる…"
"DCG_VO_earthshaker_multi_damage_large_01"	"共に行くぞ！"
"DCG_VO_earthshaker_multi_damage_large_02"	"これで終わりだ！"
"DCG_VO_earthshaker_multi_damage_large_03"	"決着をつける！"
"DCG_VO_earthshaker_multi_damage_large_04"	"アースシェイカーの力を思い知ったか！"
"DCG_VO_earthshaker_multi_damage_large_05"	"俺の力に上限はない…"
"DCG_VO_earthshaker_multi_damage_large_06"	"こうするしかなかった…"
"DCG_VO_earthshaker_multi_damage_large_07"	"これでお前達は終わりだ…"
"DCG_VO_earthshaker_multi_damage_large_08"	"俺の力、とくと見ろ！"
"DCG_VO_earthshaker_multi_damage_large_09"	"俺は山脈さえ叩き割る！"
"DCG_VO_earthshaker_multi_damage_large_10"	"これが俺の真の力だ！"
"DCG_VO_earthshaker_pleased_01"	"よし。"
"DCG_VO_earthshaker_pleased_02"	"よくやった。"
"DCG_VO_earthshaker_pleased_03"	"上出来だ。"
"DCG_VO_earthshaker_pleased_04"	"順調だ…"
"DCG_VO_earthshaker_pleased_05"	"計画通りだな。"
"DCG_VO_earthshaker_pleased_06"	"ふむ。"
"DCG_VO_earthshaker_pleased_07"	"よし！"
"DCG_VO_earthshaker_pleased_08"	"思いもよらなかったが…"
"DCG_VO_earthshaker_pleased_09"	"面白い…"
"DCG_VO_earthshaker_pleased_10"	"ほう、いいな…"
"DCG_VO_earthshaker_concerned_01"	"うーむ。"
"DCG_VO_earthshaker_concerned_02"	"何か作戦を立てないと。"
"DCG_VO_earthshaker_concerned_03"	"これは良くない…"
"DCG_VO_earthshaker_concerned_04"	"なんとか切り抜けられる…はず…"
"DCG_VO_earthshaker_concerned_05"	"これは不安だ…"
"DCG_VO_earthshaker_concerned_06"	"よく考えないと…"
"DCG_VO_earthshaker_concerned_07"	"これは問題だ…"
"DCG_VO_earthshaker_concerned_08"	"奴らを阻止しないと…"
"DCG_VO_earthshaker_concerned_09"	"もう時間がないぞ…"
"DCG_VO_earthshaker_concerned_10"	"早く何か考えないと…"
"DCG_VO_earthshaker_angry_01"	"ちくしょう！"
"DCG_VO_earthshaker_angry_02"	"何たることだ！"
"DCG_VO_earthshaker_angry_03"	"そんなバカな！"
"DCG_VO_earthshaker_angry_04"	"信じられん！"
"DCG_VO_earthshaker_angry_05"	"よくも！"
"DCG_VO_earthshaker_angry_06"	"これは狂気の沙汰だ！"
"DCG_VO_earthshaker_angry_07"	"自業自得だからな！"
"DCG_VO_earthshaker_angry_08"	"目にものを見せてやる！"
"DCG_VO_earthshaker_angry_09"	"粉々にしてやろうか…"
"DCG_VO_earthshaker_angry_10"	"地の下に埋めてやろうか…"
"DCG_VO_earthshaker_arrogant_01"	"俺に刃向かうのは誰だ？"
"DCG_VO_earthshaker_arrogant_02"	"哀れな奴め…"
"DCG_VO_earthshaker_arrogant_03"	"もう骨のある相手かと思ったが…"
"DCG_VO_earthshaker_arrogant_04"	"これじゃ力試しにならない…"
"DCG_VO_earthshaker_arrogant_05"	"俺の手の一振りでお前は潰れる…"
"DCG_VO_earthshaker_arrogant_06"	"早めに降参しろ、恥をかくだけだ…"
"DCG_VO_earthshaker_arrogant_07"	"実力の差を認めるのは、恥じゃない。"
"DCG_VO_earthshaker_arrogant_08"	"お前とは格が違うんだ。"
"DCG_VO_earthshaker_arrogant_09"	"お前が戦場に出てきた時から結果は決まっていた…"
"DCG_VO_earthshaker_arrogant_10"	"俺が誰だか、思い出させてやろうか？"
"DCG_VO_earthshaker_enigmatic_01"	"戦のドラムが鳴り響いている…"
"DCG_VO_earthshaker_enigmatic_02"	"俺は大地の化身だ。"
"DCG_VO_earthshaker_enigmatic_03"	"俺の中を大地の力が駆け巡る…"
"DCG_VO_earthshaker_enigmatic_04"	"恐れるものなどない。"
"DCG_VO_earthshaker_enigmatic_05"	"俺には誰もかなわない…"
"DCG_VO_earthshaker_enigmatic_06"	"見せてやろう。素晴らしく、そして恐ろしいものを…"
"DCG_VO_earthshaker_enigmatic_07"	"俺のトーテムが呼んでいる…"
"DCG_VO_earthshaker_enigmatic_08"	"あのドラムが聞こえるか？お前の破滅の音だ…"
"DCG_VO_earthshaker_enigmatic_09"	"岩のままでいるより、生きてこの戦場で死ぬ方がいい…"
"DCG_VO_earthshaker_enigmatic_10"	"俺の魂は砕けない…"
"DCG_VO_earthshaker_death_01"	"<i>叫び声</i>"
"DCG_VO_drow_ranger_intro"	"力って面白いものね。誰もが欲しいのに、求めることは浅ましいと教わる。でも力は善でも悪でもない。それは自由、自分の望む生き方を選ぶためのもの。人は力の出自を非難するけど、そんなことはいつかは忘れられる… 後世に残るのは、その力で何をしたかということだけ。カンナを助けることで、人は私を責めるでしょう。でもいつかきっと理解してくれるはず。"
"DCG_VO_drow_avernus_blessing_new"	"アバドンがアヴァーナスの霧を分けてくれないなら、奪う方法を探すまで。"
"DCG_VO_drow_ranger_caught_unprepared"	"銃などいらない。銃を持つ相手よりも素早く弓を引けばいいだけ。"
"DCG_VO_drow_ranger_friendly_fire"	"仲間を当てにするとこうなるのよ。"
"DCG_VO_drow_ranger_grazing_shot"	"ウィンドレンジャーは弓が下手なわけじゃない。ただ、どうしようもなくイマイチなだけ。"
"DCG_VO_drow_ranger_gust"	"決して勝利を確信してはだめ… 敵にもう勝ち目はないと油断した瞬間に、敗北は訪れるもの。"
"DCG_VO_drow_ranger_juke"	"私がここまで生きながらえているのは、動き続けたから…"
"DCG_VO_drow_ranger_equip_generic_weapon_01"	"ちょうど必要だった…"
"DCG_VO_drow_ranger_equip_generic_weapon_02"	"敵を一瞬で片付けてみせるわ。"
"DCG_VO_drow_ranger_equip_generic_weapon_03"	"私に狩れないものなどないわ。"
"DCG_VO_drow_ranger_equip_generic_weapon_04"	"使いこなしてみよう…"
"DCG_VO_drow_ranger_equip_generic_weapon_05"	"逃げるなら今よ…"
"DCG_VO_drow_ranger_equip_generic_armor_01"	"私は戦場から去ったりしない…"
"DCG_VO_drow_ranger_equip_generic_armor_02"	"良かった。まだまだ死ぬ気はないの。"
"DCG_VO_drow_ranger_equip_generic_armor_03"	"賢い投資ね。"
"DCG_VO_drow_ranger_equip_generic_armor_04"	"私は常に先に備えているの…"
"DCG_VO_drow_ranger_equip_generic_armor_05"	"私はサバイバー…"
"DCG_VO_drow_ranger_equip_generic_accessory_01"	"私が生き延びれば、それだけあなたたちの役に立てるのよ…"
"DCG_VO_drow_ranger_equip_generic_accessory_02"	"私はどこへも行かない。"
"DCG_VO_drow_ranger_equip_generic_accessory_03"	"これは使える…"
"DCG_VO_drow_ranger_equip_generic_accessory_04"	"完璧ね。"
"DCG_VO_drow_ranger_equip_generic_accessory_05"	"ちょうど欲しかったの。"
"DCG_VO_drow_ranger_kill_rival_01"	"あなたはここで死ぬ。"
"DCG_VO_drow_ranger_kill_rival_02"	"おやすみなさい。"
"DCG_VO_drow_ranger_kill_rival_03"	"あなたに恨みはない。"
"DCG_VO_drow_ranger_kill_rival_04"	"ここにいたのが間違いよ。"
"DCG_VO_drow_ranger_kill_rival_05"	"あなたはここに来るべきじゃなかった。"
"DCG_VO_drow_ranger_kill_rival_06"	"私に並ぶものはいない。"
"DCG_VO_drow_ranger_kill_rival_07"	"最強の敵に敗れることは恥ではないわ。"
"DCG_VO_drow_ranger_kill_rival_08"	"これは不可抗力。"
"DCG_VO_drow_ranger_kill_rival_09"	"こんな芸当、あのウィンドレンジャーにはできない…"
"DCG_VO_drow_ranger_kill_rival_10"	"楽勝だね。"
"DCG_VO_drow_ranger_use_include_01"	"そうはさせない…"
"DCG_VO_drow_ranger_use_include_02"	"静かに。"
"DCG_VO_drow_ranger_use_include_03"	"小賢しいマネは終わりよ。"
"DCG_VO_drow_ranger_unique_01"	"せめて笑顔で死なせてあげる。"
"DCG_VO_drow_ranger_unique_02"	"プレレックス、あなたは狂信者…"
"DCG_VO_drow_ranger_unique_03"	"カンナ、あなたは一線を越えた…"
"DCG_VO_drow_ranger_unique_04"	"頼りになるわね、ルーフトレレン…"
"DCG_VO_drow_ranger_unique_05"	"これは私の栄光の瞬間よ。あなたのではなく…"
"DCG_VO_drow_ranger_unique_06"	"そうはさせない！"
"DCG_VO_drow_ranger_unique_07"	"ここは確実に…"
"DCG_VO_drow_ranger_unique_08"	"あなたの目論見など一考の価値もない…"
"DCG_VO_drow_ranger_unique_09"	"約束は守るわ、カンナ。あなたも条件を忘れないで。"
"DCG_VO_drow_ranger_unique_10"	"カンナ、あなたには力がある。それは認めるわ…"
"DCG_VO_drow_ranger_unique_11"	"手は貸すわ。でも私には岩を崇拝する趣味はないことは覚えておいてね…"
"DCG_VO_drow_ranger_unique_12"	"あなたの寺院に興味はない。それでもよければ、うまくやっていけるわ。"
"DCG_VO_drow_ranger_unique_13"	"あなたの病的な陽気さにはついていけないわ、ライライ…"
"DCG_VO_drow_ranger_unique_14"	"弓ではないけど、代わりにはなるわ。"
"DCG_VO_drow_ranger_unique_15"	"仲間を呼ぶ時が来たようね…"
"DCG_VO_drow_ranger_unique_16"	"私が勝利をもたらす…"
"DCG_VO_drow_ranger_unique_17"	"私についてくれば、簡単に勝てる。"
"DCG_VO_drow_ranger_unique_18"	"ライカンのことは残念だったわね…"
"DCG_VO_drow_ranger_unique_19"	"私の生存は不可欠。"
"DCG_VO_drow_ranger_unique_20"	"私を守って、ルーフトレレン。私にはやるべきことがある。"
"DCG_VO_drow_ranger_healed_01"	"おおお"
"DCG_VO_drow_ranger_healed_02"	"ありがとう"
"DCG_VO_drow_ranger_healed_03"	"感謝する"
"DCG_VO_drow_ranger_healed_04"	"親切にされるのに慣れてないの"
"DCG_VO_drow_ranger_healed_05"	"借りができたようね。"
"DCG_VO_drow_ranger_taunt_generic_01"	"ここは私に任せて…"
"DCG_VO_drow_ranger_taunt_generic_02"	"長くはかからない…"
"DCG_VO_drow_ranger_taunt_generic_03"	"彼らは私を心底嫌うでしょうね…"
"DCG_VO_drow_ranger_taunt_generic_04"	"私達の強さを知ってるのね…"
"DCG_VO_drow_ranger_taunt_generic_05"	"うぬぼれないで。"
"DCG_VO_drow_ranger_taunt_generic_06"	"勝利を取りこぼさないで。"
"DCG_VO_drow_ranger_taunt_generic_07"	"面白くなりそうね…"
"DCG_VO_drow_ranger_taunt_generic_08"	"こちらの望み通りね…"
"DCG_VO_drow_ranger_taunt_generic_09"	"計画通りね。"
"DCG_VO_drow_ranger_taunt_generic_10"	"思ったより簡単そうね…"
"DCG_VO_drow_ranger_potential_kill_01"	"おやすみ。"
"DCG_VO_drow_ranger_potential_kill_02"	"いい夢を見なさい。"
"DCG_VO_drow_ranger_potential_kill_03"	"さよならよ。"
"DCG_VO_drow_ranger_potential_kill_04"	"すぐ死なせてやるわ。"
"DCG_VO_drow_ranger_potential_kill_05"	"心配しないで。きれいに殺してあげる。"
"DCG_VO_drow_ranger_potential_save_01"	"私を倒せるとでも思ったの？"
"DCG_VO_drow_ranger_potential_save_02"	"あなたなんて私の敵ではない。"
"DCG_VO_drow_ranger_potential_save_03"	"残念だったわね。"
"DCG_VO_drow_ranger_potential_save_04"	"今日は死なない。"
"DCG_VO_drow_ranger_potential_save_05"	"今日は死ぬつもりはない。"
"DCG_VO_drow_ranger_permanent_armor_01"	"これが必要だったの。"
"DCG_VO_drow_ranger_permanent_armor_02"	"これは予想できないはずよ…"
"DCG_VO_drow_ranger_permanent_armor_03"	"怖いものなんてないわ。"
"DCG_VO_drow_ranger_permanent_armor_04"	"いつでも戦えるわよ。"
"DCG_VO_drow_ranger_permanent_armor_05"	"ここが踏ん張り時よ。"
"DCG_VO_drow_ranger_permanent_attack_01"	"我が思いは真なり。"
"DCG_VO_drow_ranger_permanent_attack_02"	"敵はここに来たことを後悔するわよ。"
"DCG_VO_drow_ranger_permanent_attack_03"	"私の弓から逃げられる者はいない。"
"DCG_VO_drow_ranger_permanent_attack_04"	"もっと大きな獲物を狩ってやるか…"
"DCG_VO_drow_ranger_permanent_attack_05"	"敵のすすり泣きが聞こえてきそうだわ…"
"DCG_VO_drow_ranger_permanent_health_01"	"すごい力が…"
"DCG_VO_drow_ranger_permanent_health_02"	"力が…みなぎってきたわ…"
"DCG_VO_drow_ranger_permanent_health_03"	"計画通りね…"
"DCG_VO_drow_ranger_permanent_health_04"	"助かった…"
"DCG_VO_drow_ranger_permanent_health_05"	"私を殺せる者などいない…"
"DCG_VO_drow_ranger_cast_spell_01"	"常に用意は周到よ…"
"DCG_VO_drow_ranger_cast_spell_02"	"どんな問題にも解決策はある…"
"DCG_VO_drow_ranger_cast_spell_03"	"勝てると思っているの？可愛いわね…"
"DCG_VO_drow_ranger_cast_spell_04"	"相手が誰だか分かっているの？"
"DCG_VO_drow_ranger_cast_spell_05"	"微妙なやり方が効くときもある…"
"DCG_VO_drow_ranger_cast_spell_06"	"だから私は「伝説」って呼ばれてるの…"
"DCG_VO_drow_ranger_cast_spell_07"	"私を見くびらないほうが賢明よ。"
"DCG_VO_drow_ranger_cast_spell_08"	"怖がらなくていいわ。もうすぐ全てが終わる。"
"DCG_VO_drow_ranger_cast_spell_09"	"まだ早いわよ。"
"DCG_VO_drow_ranger_cast_spell_10"	"まだ終わっていない！"
"DCG_VO_drow_ranger_buff_ally_01"	"ほら！"
"DCG_VO_drow_ranger_buff_ally_02"	"私がついているわ。"
"DCG_VO_drow_ranger_buff_ally_03"	"戦いで役に立つはずよ。"
"DCG_VO_drow_ranger_buff_ally_04"	"共に戦いましょう。"
"DCG_VO_drow_ranger_buff_ally_05"	"私に任せて…"
"DCG_VO_drow_ranger_buff_ally_06"	"戦い続けるのよ！"
"DCG_VO_drow_ranger_buff_ally_07"	"あなたは強力な味方になりそうね…"
"DCG_VO_drow_ranger_buff_ally_08"	"死んでもらっては困るのよ。"
"DCG_VO_drow_ranger_buff_ally_09"	"助け合いが肝心よ…"
"DCG_VO_drow_ranger_buff_ally_10"	"まだやるべきことが残っている…"
"DCG_VO_drow_ranger_debuff_enemy_01"	"さっきまでの勢いはどうしたの？"
"DCG_VO_drow_ranger_debuff_enemy_02"	"あら、何か問題でも？"
"DCG_VO_drow_ranger_debuff_enemy_03"	"身の程を思い知らせてやるわ。"
"DCG_VO_drow_ranger_debuff_enemy_04"	"急に迫力がなくなったわね…"
"DCG_VO_drow_ranger_debuff_enemy_05"	"あなたなど怖れるに足りないわ。"
"DCG_VO_drow_ranger_debuff_enemy_06"	"あなたよりも大きな獲物を狩ってきたのよ。"
"DCG_VO_drow_ranger_debuff_enemy_07"	"まだ始まったばかりよ…"
"DCG_VO_drow_ranger_debuff_enemy_08"	"覚悟しなさい。"
"DCG_VO_drow_ranger_debuff_enemy_09"	"まず弱らせてから殺してやるわ。"
"DCG_VO_drow_ranger_debuff_enemy_10"	"チクタクチクタク…"
"DCG_VO_drow_ranger_single_target_damage_01"	"あなたはもう死んだも同じ。"
"DCG_VO_drow_ranger_single_target_damage_02"	"私の攻撃にどれだけ耐えられるかしら。"
"DCG_VO_drow_ranger_single_target_damage_03"	"私は絶対に狙いは外さない。"
"DCG_VO_drow_ranger_single_target_damage_04"	"あなたが死ぬまでやめないわよ。"
"DCG_VO_drow_ranger_single_target_damage_05"	"ここから生きて帰れると思わないことね。"
"DCG_VO_drow_ranger_single_target_damage_06"	"あなたよりもっと強い奴を倒してきたのよ。"
"DCG_VO_drow_ranger_single_target_damage_07"	"まだ終わってないわ。"
"DCG_VO_drow_ranger_single_target_damage_08"	"永遠の眠りに就くといいわ。"
"DCG_VO_drow_ranger_single_target_damage_09"	"あなたに残された時間は少ない。"
"DCG_VO_drow_ranger_single_target_damage_10"	"もうすぐよ。"
"DCG_VO_drow_ranger_multi_damage_small_01"	"もっと味方を連れてくるべきだったわね…"
"DCG_VO_drow_ranger_multi_damage_small_02"	"必要なことをするまでよ！"
"DCG_VO_drow_ranger_multi_damage_small_03"	"手を緩めないで！"
"DCG_VO_drow_ranger_multi_damage_small_04"	"敵の力を削り取ってやれ！"
"DCG_VO_drow_ranger_multi_damage_small_05"	"ウィンドレンジャーにこれができるかしら！"
"DCG_VO_drow_ranger_multi_damage_small_06"	"私の力を見せてやるわ…"
"DCG_VO_drow_ranger_multi_damage_small_07"	"矢の雨を降らせてやるわ！"
"DCG_VO_drow_ranger_multi_damage_small_08"	"敵の力を削り取ってやるわ。"
"DCG_VO_drow_ranger_multi_damage_small_09"	"少しだけ時間をちょうだい…"
"DCG_VO_drow_ranger_multi_damage_small_10"	"こいつらは私に任せて…"
"DCG_VO_drow_ranger_multi_damage_large_01"	"もうお終いです。"
"DCG_VO_drow_ranger_multi_damage_large_02"	"私にまかせて。"
"DCG_VO_drow_ranger_multi_damage_large_03"	"あなたたちとは格が違うの。"
"DCG_VO_drow_ranger_multi_damage_large_04"	"まとめて相手になるわ！"
"DCG_VO_drow_ranger_multi_damage_large_05"	"これで終わりよ！"
"DCG_VO_drow_ranger_multi_damage_large_06"	"決着をつけましょう！"
"DCG_VO_drow_ranger_multi_damage_large_07"	"敵が何人いても関係ないわ！"
"DCG_VO_drow_ranger_multi_damage_large_08"	"私達は死ぬ気はないわよ…"
"DCG_VO_drow_ranger_multi_damage_large_09"	"今度はもっと仲間を連れてくるのね…"
"DCG_VO_drow_ranger_multi_damage_large_10"	"あなたなど最初から私の敵ではないわ。"
"DCG_VO_drow_ranger_pleased_01"	"いいわ。"
"DCG_VO_drow_ranger_pleased_02"	"いいわね。"
"DCG_VO_drow_ranger_pleased_03"	"素晴らしい。"
"DCG_VO_drow_ranger_pleased_04"	"最高ね。"
"DCG_VO_drow_ranger_pleased_05"	"今日はいい日になったわ。"
"DCG_VO_drow_ranger_pleased_06"	"ふむ。"
"DCG_VO_drow_ranger_pleased_07"	"悪くない。"
"DCG_VO_drow_ranger_pleased_08"	"なかなかやるわね…"
"DCG_VO_drow_ranger_pleased_09"	"意外にやるじゃない…"
"DCG_VO_drow_ranger_pleased_10"	"気に入ったわ。"
"DCG_VO_drow_ranger_concerned_01"	"あら…"
"DCG_VO_drow_ranger_concerned_02"	"まずいわ…"
"DCG_VO_drow_ranger_concerned_03"	"どういうこと？"
"DCG_VO_drow_ranger_concerned_04"	"こんなはずでは…"
"DCG_VO_drow_ranger_concerned_05"	"負けそうよ…"
"DCG_VO_drow_ranger_concerned_06"	"作戦を変えたほうが…"
"DCG_VO_drow_ranger_concerned_07"	"このままではまずいわ…"
"DCG_VO_drow_ranger_concerned_08"	"予想外の事態だわ…"
"DCG_VO_drow_ranger_concerned_09"	"まずいわ。"
"DCG_VO_drow_ranger_concerned_10"	"トラクセクス、考えるのよ…"
"DCG_VO_drow_ranger_angry_01"	"チッ！"
"DCG_VO_drow_ranger_angry_02"	"まだ終わってないわよ！"
"DCG_VO_drow_ranger_angry_03"	"やったわね！"
"DCG_VO_drow_ranger_angry_04"	"償わせてやるわ！"
"DCG_VO_drow_ranger_angry_05"	"いい度胸ね！"
"DCG_VO_drow_ranger_angry_06"	"ここに来たことを後悔すればいいわ！"
"DCG_VO_drow_ranger_angry_07"	"人生最後の過ちを犯したようね！"
"DCG_VO_drow_ranger_angry_08"	"責任をとってもらうわよ…"
"DCG_VO_drow_ranger_angry_09"	"ゆっくり虐めてあげるわ…"
"DCG_VO_drow_ranger_angry_10"	"あなたの苦しむ顔が早く見たいわ。"
"DCG_VO_drow_ranger_arrogant_01"	"私が誰か分かっているの？"
"DCG_VO_drow_ranger_arrogant_02"	"私に勝てる者などいないわ。"
"DCG_VO_drow_ranger_arrogant_03"	"ウィンドレンジャーのお手並み拝見ね…"
"DCG_VO_drow_ranger_arrogant_04"	"楽々と勝ってみせるわ。"
"DCG_VO_drow_ranger_arrogant_05"	"悪あがきをするならすればいい…"
"DCG_VO_drow_ranger_arrogant_06"	"もっと骨のある相手と思っていたのに…"
"DCG_VO_drow_ranger_arrogant_07"	"いつか本物の敵が見つかるでしょう…"
"DCG_VO_drow_ranger_arrogant_08"	"せいぜい頑張るのね。"
